CarGm,Team,Player,pfr_id,Date,Season,Week,Season_type,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp
0,CIN,Mark Walton,WaltMa00,2018-09-09,2018,1,DNP,0,0,0,0,0,0,0,0,0,0
0,CIN,Mark Walton,WaltMa00,2018-09-13,2018,2,DNP,0,0,0,0,0,0,0,0,0,0
1,CIN,Mark Walton,WaltMa00,2018-09-23,2018,3,REG,0,0,0,0,0,0,0,0,7,0
2,CIN,Mark Walton,WaltMa00,2018-09-30,2018,4,REG,0,5,9,0,4,2,28,0,28,0
3,CIN,Mark Walton,WaltMa00,2018-10-07,2018,5,REG,0,0,0,0,3,2,3,0,12,0
4,CIN,Mark Walton,WaltMa00,2018-10-14,2018,6,REG,0,2,-2,0,0,0,0,0,19,1
5,CIN,Mark Walton,WaltMa00,2018-10-21,2018,7,REG,0,4,10,0,0,0,0,0,13,1
6,CIN,Mark Walton,WaltMa00,2018-10-28,2018,8,REG,0,2,7,0,1,1,10,0,11,7
0,CIN,Mark Walton,WaltMa00,1970-01-01,2018,9,BYE,0,0,0,0,0,0,0,0,0,0
7,CIN,Mark Walton,WaltMa00,2018-11-11,2018,10,REG,0,0,0,0,0,0,0,0,2,8
8,CIN,Mark Walton,WaltMa00,2018-11-18,2018,11,REG,0,0,0,0,0,0,0,0,0,19
9,CIN,Mark Walton,WaltMa00,2018-11-25,2018,12,REG,0,0,0,0,0,0,0,0,0,10
10,CIN,Mark Walton,WaltMa00,2018-12-02,2018,13,REG,0,1,10,0,0,0,0,0,1,14
11,CIN,Mark Walton,WaltMa00,2018-12-09,2018,14,REG,0,0,0,0,0,0,0,0,0,17
12,CIN,Mark Walton,WaltMa00,2018-12-16,2018,15,REG,0,0,0,0,0,0,0,0,0,23
13,CIN,Mark Walton,WaltMa00,2018-12-23,2018,16,REG,0,0,0,0,0,0,0,0,0,19
14,CIN,Mark Walton,WaltMa00,2018-12-30,2018,17,REG,0,0,0,0,0,0,0,0,0,18
15,MIA,Mark Walton,WaltMa00,2019-09-08,2019,1,REG,0,1,1,0,0,0,0,0,4,5
16,MIA,Mark Walton,WaltMa00,2019-09-15,2019,2,REG,0,3,15,0,2,1,12,0,10,0
0,MIA,Mark Walton,WaltMa00,2019-09-22,2019,3,DNP,0,0,0,0,0,0,0,0,0,0
17,MIA,Mark Walton,WaltMa00,2019-09-29,2019,4,REG,0,6,23,0,2,2,11,0,13,4
0,MIA,Mark Walton,WaltMa00,1970-01-01,2019,5,BYE,0,0,0,0,0,0,0,0,0,0
18,MIA,Mark Walton,WaltMa00,2019-10-13,2019,6,REG,1,6,32,0,6,5,43,0,31,14
19,MIA,Mark Walton,WaltMa00,2019-10-20,2019,7,REG,1,14,66,0,1,1,-8,0,38,5
20,MIA,Mark Walton,WaltMa00,2019-10-28,2019,8,REG,1,11,35,0,6,3,19,0,50,3
21,MIA,Mark Walton,WaltMa00,2019-11-03,2019,9,REG,1,12,29,0,4,3,12,0,51,4
0,MIA,Mark Walton,WaltMa00,2019-11-10,2019,10,SUSP,0,0,0,0,0,0,0,0,0,0
0,MIA,Mark Walton,WaltMa00,2019-11-17,2019,11,SUSP,0,0,0,0,0,0,0,0,0,0
0,MIA,Mark Walton,WaltMa00,2019-11-24,2019,12,SUSP,0,0,0,0,0,0,0,0,0,0
0,MIA,Mark Walton,WaltMa00,2019-12-01,2019,13,SUSP,0,0,0,0,0,0,0,0,0,0
0,MIA,Mark Walton,WaltMa00,2019-12-08,2019,14,DNP,0,0,0,0,0,0,0,0,0,0
0,MIA,Mark Walton,WaltMa00,2019-12-15,2019,15,DNP,0,0,0,0,0,0,0,0,0,0
0,MIA,Mark Walton,WaltMa00,2019-12-22,2019,16,DNP,0,0,0,0,0,0,0,0,0,0
0,MIA,Mark Walton,WaltMa00,2019-12-29,2019,17,DNP,0,0,0,0,0,0,0,0,0,0
