CarGm,Team,Player,pfr_id,Date,Season,Week,Season_type,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp
1,NWE,Marrio Grier,GrieMa00,1996-09-01,1996,1,REG,0,0,0,0,0,0,0,0,0,0
2,NWE,Marrio Grier,GrieMa00,1996-09-08,1996,2,REG,0,0,0,0,0,0,0,0,0,0
3,NWE,Marrio Grier,GrieMa00,1996-09-15,1996,3,REG,0,5,28,0,0,0,0,0,0,0
4,NWE,Marrio Grier,GrieMa00,1996-09-22,1996,4,REG,0,0,0,0,0,0,0,0,0,0
0,NWE,Marrio Grier,GrieMa00,,1996,5,BYE,0,0,0,0,0,0,0,0,0,0
5,NWE,Marrio Grier,GrieMa00,1996-10-06,1996,6,REG,0,0,0,0,0,0,0,0,0,0
6,NWE,Marrio Grier,GrieMa00,1996-10-13,1996,7,REG,0,0,0,0,0,0,0,0,0,0
7,NWE,Marrio Grier,GrieMa00,1996-10-20,1996,8,REG,0,0,0,0,0,0,0,0,0,0
8,NWE,Marrio Grier,GrieMa00,1996-10-27,1996,9,REG,0,0,0,0,0,0,0,0,0,0
9,NWE,Marrio Grier,GrieMa00,1996-11-03,1996,10,REG,0,0,0,0,0,0,0,0,0,0
10,NWE,Marrio Grier,GrieMa00,1996-11-10,1996,11,REG,0,0,0,0,0,0,0,0,0,0
11,NWE,Marrio Grier,GrieMa00,1996-11-17,1996,12,REG,0,0,0,0,0,0,0,0,0,0
12,NWE,Marrio Grier,GrieMa00,1996-11-24,1996,13,REG,0,3,35,0,0,0,0,0,0,0
13,NWE,Marrio Grier,GrieMa00,1996-12-01,1996,14,REG,0,12,23,0,0,0,0,0,0,0
14,NWE,Marrio Grier,GrieMa00,1996-12-08,1996,15,REG,0,7,19,1,0,0,0,0,0,0
15,NWE,Marrio Grier,GrieMa00,1996-12-15,1996,16,REG,0,0,0,0,0,0,0,0,0,0
16,NWE,Marrio Grier,GrieMa00,1996-12-21,1996,17,REG,0,0,0,0,1,1,8,0,0,0
17,NWE,Marrio Grier,GrieMa00,1997-01-05,1996,19,POST,0,5,7,0,0,0,0,0,0,0
18,NWE,Marrio Grier,GrieMa00,1997-01-12,1996,20,POST,1,0,0,0,0,0,0,0,0,0
19,NWE,Marrio Grier,GrieMa00,1997-01-26,1996,21,POST,0,0,0,0,0,0,0,0,0,0
20,NWE,Marrio Grier,GrieMa00,1997-08-31,1997,1,REG,0,0,0,0,0,0,0,0,0,0
21,NWE,Marrio Grier,GrieMa00,1997-09-07,1997,2,REG,0,0,0,0,0,0,0,0,0,0
22,NWE,Marrio Grier,GrieMa00,1997-09-14,1997,3,REG,0,0,0,0,0,0,0,0,0,0
23,NWE,Marrio Grier,GrieMa00,1997-09-21,1997,4,REG,0,4,10,0,0,0,0,0,0,0
0,NWE,Marrio Grier,GrieMa00,,1997,5,BYE,0,0,0,0,0,0,0,0,0,0
24,NWE,Marrio Grier,GrieMa00,1997-10-06,1997,6,REG,0,0,0,0,0,0,0,0,0,0
25,NWE,Marrio Grier,GrieMa00,1997-10-12,1997,7,REG,0,8,24,0,0,0,0,0,0,0
26,NWE,Marrio Grier,GrieMa00,1997-10-19,1997,8,REG,0,0,0,0,0,0,0,0,0,0
27,NWE,Marrio Grier,GrieMa00,1997-10-27,1997,9,REG,0,0,0,0,0,0,0,0,0,0
28,NWE,Marrio Grier,GrieMa00,1997-11-02,1997,10,REG,0,0,0,0,0,0,0,0,0,0
29,NWE,Marrio Grier,GrieMa00,1997-11-09,1997,11,REG,0,4,5,0,0,0,0,0,0,0
30,NWE,Marrio Grier,GrieMa00,1997-11-16,1997,12,REG,0,0,0,0,0,0,0,0,0,0
31,NWE,Marrio Grier,GrieMa00,1997-11-23,1997,13,REG,0,0,0,0,0,0,0,0,0,0
32,NWE,Marrio Grier,GrieMa00,1997-11-30,1997,14,REG,0,0,0,0,0,0,0,0,0,0
33,NWE,Marrio Grier,GrieMa00,1997-12-07,1997,15,REG,0,10,20,0,0,0,0,0,0,0
34,NWE,Marrio Grier,GrieMa00,1997-12-13,1997,16,REG,0,6,14,0,0,0,0,0,0,0
35,NWE,Marrio Grier,GrieMa00,1997-12-22,1997,17,REG,0,1,2,1,0,0,0,0,0,0
36,NWE,Marrio Grier,GrieMa00,1997-12-28,1997,18,POST,0,6,16,0,0,0,0,0,0,0
37,NWE,Marrio Grier,GrieMa00,1998-01-03,1997,19,POST,0,0,0,0,0,0,0,0,0,0
