CarGm,Team,Player,pfr_id,Date,Season,Week,Season_type,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp
1,IND,Marshall Faulk,FaulMa00,1994-09-04,1994,1,REG,1,23,143,3,1,1,31,0,0,0
2,IND,Marshall Faulk,FaulMa00,1994-09-11,1994,2,REG,1,18,104,0,7,7,82,0,0,0
3,IND,Marshall Faulk,FaulMa00,1994-09-18,1994,3,REG,1,15,61,0,1,1,11,0,0,0
4,IND,Marshall Faulk,FaulMa00,1994-09-25,1994,4,REG,1,22,61,1,6,4,27,0,0,0
5,IND,Marshall Faulk,FaulMa00,1994-10-02,1994,5,REG,1,26,90,2,8,4,23,0,0,0
6,IND,Marshall Faulk,FaulMa00,1994-10-09,1994,6,REG,1,20,93,0,5,4,26,0,0,0
7,IND,Marshall Faulk,FaulMa00,1994-10-16,1994,7,REG,1,26,64,0,2,2,22,0,0,0
8,IND,Marshall Faulk,FaulMa00,1994-10-23,1994,8,REG,1,22,86,0,12,8,127,1,0,0
9,IND,Marshall Faulk,FaulMa00,1994-10-30,1994,9,REG,1,24,110,2,3,2,21,0,0,0
10,IND,Marshall Faulk,FaulMa00,1994-11-06,1994,10,REG,1,14,69,1,7,5,43,0,0,0
0,IND,Marshall Faulk,FaulMa00,,1994,11,BYE,0,0,0,0,0,0,0,0,0,0
11,IND,Marshall Faulk,FaulMa00,1994-11-20,1994,12,REG,1,16,28,1,1,1,7,0,0,0
12,IND,Marshall Faulk,FaulMa00,1994-11-27,1994,13,REG,1,11,48,0,8,5,42,0,0,0
13,IND,Marshall Faulk,FaulMa00,1994-12-04,1994,14,REG,1,27,129,1,1,1,9,0,0,0
14,IND,Marshall Faulk,FaulMa00,1994-12-11,1994,15,REG,1,17,50,0,4,2,16,0,0,0
15,IND,Marshall Faulk,FaulMa00,1994-12-18,1994,16,REG,1,16,64,0,4,2,15,0,0,0
16,IND,Marshall Faulk,FaulMa00,1994-12-24,1994,17,REG,1,17,82,0,4,3,20,0,0,0
17,IND,Marshall Faulk,FaulMa00,1995-09-03,1995,1,REG,1,19,49,0,3,3,41,0,0,0
18,IND,Marshall Faulk,FaulMa00,1995-09-10,1995,2,REG,1,21,81,0,11,8,58,1,0,0
19,IND,Marshall Faulk,FaulMa00,1995-09-17,1995,3,REG,1,15,47,1,4,2,23,1,0,0
0,IND,Marshall Faulk,FaulMa00,,1995,4,BYE,0,0,0,0,0,0,0,0,0,0
20,IND,Marshall Faulk,FaulMa00,1995-10-01,1995,5,REG,1,19,177,3,7,5,45,0,0,0
21,IND,Marshall Faulk,FaulMa00,1995-10-08,1995,6,REG,1,16,42,0,2,2,17,0,0,0
