CarGm,Team,Player,pfr_id,Date,Season,Week,Season_type,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp
0,NOR,Marvin Powell,PoweMa00,1999-09-12,1999,1,DNP,0,0,0,0,0,0,0,0,0,0
0,NOR,Marvin Powell,PoweMa00,1999-09-19,1999,2,DNP,0,0,0,0,0,0,0,0,0,0
0,NOR,Marvin Powell,PoweMa00,1970-01-01,1999,3,BYE,0,0,0,0,0,0,0,0,0,0
0,NOR,Marvin Powell,PoweMa00,1999-10-03,1999,4,DNP,0,0,0,0,0,0,0,0,0,0
0,NOR,Marvin Powell,PoweMa00,1999-10-10,1999,5,DNP,0,0,0,0,0,0,0,0,0,0
0,NOR,Marvin Powell,PoweMa00,1999-10-17,1999,6,DNP,0,0,0,0,0,0,0,0,0,0
1,NOR,Marvin Powell,PoweMa00,1999-10-24,1999,7,REG,0,1,1,0,0,0,0,0,0,0
2,NOR,Marvin Powell,PoweMa00,1999-10-31,1999,8,REG,0,0,0,0,1,0,0,0,0,0
3,NOR,Marvin Powell,PoweMa00,1999-11-07,1999,9,REG,0,0,0,0,0,0,0,0,0,0
4,NOR,Marvin Powell,PoweMa00,1999-11-14,1999,10,REG,0,0,0,0,0,0,0,0,0,0
0,NOR,Marvin Powell,PoweMa00,1999-11-21,1999,11,DNP,0,0,0,0,0,0,0,0,0,0
5,NOR,Marvin Powell,PoweMa00,1999-11-28,1999,12,REG,0,0,0,0,0,0,0,0,0,0
6,NOR,Marvin Powell,PoweMa00,1999-12-05,1999,13,REG,0,0,0,0,0,0,0,0,0,0
7,NOR,Marvin Powell,PoweMa00,1999-12-12,1999,14,REG,0,0,0,0,0,0,0,0,0,0
8,NOR,Marvin Powell,PoweMa00,1999-12-19,1999,15,REG,0,0,0,0,0,0,0,0,0,0
9,NOR,Marvin Powell,PoweMa00,1999-12-24,1999,16,REG,0,0,0,0,0,0,0,0,0,0
0,NOR,Marvin Powell,PoweMa00,2000-01-02,1999,17,DNP,0,0,0,0,0,0,0,0,0,0
