CarGm,Team,Player,pfr_id,Date,Season,Week,Season_type,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp
1,MIN,Matt Asiata,AsiaMa00,2012-09-09,2012,1,REG,0,0,0,0,1,1,2,0,1,12
2,MIN,Matt Asiata,AsiaMa00,2012-09-16,2012,2,REG,0,0,0,0,0,0,0,0,1,6
3,MIN,Matt Asiata,AsiaMa00,2012-09-23,2012,3,REG,0,0,0,0,0,0,0,0,4,7
4,MIN,Matt Asiata,AsiaMa00,2012-09-30,2012,4,REG,0,0,0,0,0,0,0,0,2,9
5,MIN,Matt Asiata,AsiaMa00,2012-10-07,2012,5,REG,0,2,8,0,0,0,0,0,3,9
6,MIN,Matt Asiata,AsiaMa00,2012-10-14,2012,6,REG,0,0,0,0,0,0,0,0,0,10
7,MIN,Matt Asiata,AsiaMa00,2012-10-21,2012,7,REG,0,0,0,0,0,0,0,0,0,9
8,MIN,Matt Asiata,AsiaMa00,2012-10-25,2012,8,REG,0,0,0,0,0,0,0,0,0,14
9,MIN,Matt Asiata,AsiaMa00,2012-11-04,2012,9,REG,0,0,0,0,0,0,0,0,3,10
10,MIN,Matt Asiata,AsiaMa00,2012-11-11,2012,10,REG,0,0,0,0,0,0,0,0,0,13
0,MIN,Matt Asiata,AsiaMa00,,2012,11,BYE,0,0,0,0,0,0,0,0,0,0
11,MIN,Matt Asiata,AsiaMa00,2012-11-25,2012,12,REG,0,0,0,0,0,0,0,0,0,10
12,MIN,Matt Asiata,AsiaMa00,2012-12-02,2012,13,REG,0,0,0,0,0,0,0,0,0,11
13,MIN,Matt Asiata,AsiaMa00,2012-12-09,2012,14,REG,0,0,0,0,0,0,0,0,3,8
14,MIN,Matt Asiata,AsiaMa00,2012-12-16,2012,15,REG,0,0,0,0,0,0,0,0,2,14
15,MIN,Matt Asiata,AsiaMa00,2012-12-23,2012,16,REG,0,1,1,0,0,0,0,0,3,16
16,MIN,Matt Asiata,AsiaMa00,2012-12-30,2012,17,REG,0,0,0,0,0,0,0,0,0,18
17,MIN,Matt Asiata,AsiaMa00,2013-01-05,2012,18,POST,0,0,0,0,0,0,0,0,0,21
18,MIN,Matt Asiata,AsiaMa00,2013-09-08,2013,1,REG,0,0,0,0,0,0,0,0,0,15
19,MIN,Matt Asiata,AsiaMa00,2013-09-15,2013,2,REG,0,0,0,0,0,0,0,0,0,12
20,MIN,Matt Asiata,AsiaMa00,2013-09-22,2013,3,REG,0,0,0,0,0,0,0,0,0,11
21,MIN,Matt Asiata,AsiaMa00,2013-09-29,2013,4,REG,0,0,0,0,0,0,0,0,0,9
0,MIN,Matt Asiata,AsiaMa00,,2013,5,BYE,0,0,0,0,0,0,0,0,0,0
22,MIN,Matt Asiata,AsiaMa00,2013-10-13,2013,6,REG,0,0,0,0,0,0,0,0,0,9
23,MIN,Matt Asiata,AsiaMa00,2013-10-21,2013,7,REG,0,0,0,0,0,0,0,0,0,12
0,MIN,Matt Asiata,AsiaMa00,2013-10-27,2013,8,DNP,0,0,0,0,0,0,0,0,0,0
0,MIN,Matt Asiata,AsiaMa00,2013-11-03,2013,9,DNP,0,0,0,0,0,0,0,0,0,0
0,MIN,Matt Asiata,AsiaMa00,2013-11-07,2013,10,DNP,0,0,0,0,0,0,0,0,0,0
0,MIN,Matt Asiata,AsiaMa00,2013-11-17,2013,11,DNP,0,0,0,0,0,0,0,0,0,0
24,MIN,Matt Asiata,AsiaMa00,2013-11-24,2013,12,REG,0,0,0,0,0,0,0,0,0,26
25,MIN,Matt Asiata,AsiaMa00,2013-12-01,2013,13,REG,0,0,0,0,0,0,0,0,0,20
26,MIN,Matt Asiata,AsiaMa00,2013-12-08,2013,14,REG,0,0,0,0,0,0,0,0,3,26
27,MIN,Matt Asiata,AsiaMa00,2013-12-15,2013,15,REG,1,30,51,3,5,3,15,0,65,1
0,MIN,Matt Asiata,AsiaMa00,2013-12-22,2013,16,DNP,0,0,0,0,0,0,0,0,0,0
28,MIN,Matt Asiata,AsiaMa00,2013-12-29,2013,17,REG,0,14,115,0,3,2,-2,0,50,0
29,MIN,Matt Asiata,AsiaMa00,2014-09-07,2014,1,REG,0,2,10,0,1,1,5,0,15,22
30,MIN,Matt Asiata,AsiaMa00,2014-09-14,2014,2,REG,1,13,36,0,7,5,48,1,45,0
31,MIN,Matt Asiata,AsiaMa00,2014-09-21,2014,3,REG,1,12,35,0,6,3,36,0,40,0
32,MIN,Matt Asiata,AsiaMa00,2014-09-28,2014,4,REG,1,20,78,3,4,3,22,0,44,0
33,MIN,Matt Asiata,AsiaMa00,2014-10-02,2014,5,REG,1,15,72,0,3,0,0,0,44,0
34,MIN,Matt Asiata,AsiaMa00,2014-10-12,2014,6,REG,0,2,-5,0,2,1,18,0,16,4
35,MIN,Matt Asiata,AsiaMa00,2014-10-19,2014,7,REG,0,6,24,0,2,1,13,0,25,8
36,MIN,Matt Asiata,AsiaMa00,2014-10-26,2014,8,REG,0,4,1,0,5,4,26,0,27,11
37,MIN,Matt Asiata,AsiaMa00,2014-11-02,2014,9,REG,0,10,26,3,5,4,31,0,37,10
0,MIN,Matt Asiata,AsiaMa00,,2014,10,BYE,0,0,0,0,0,0,0,0,0,0
38,MIN,Matt Asiata,AsiaMa00,2014-11-16,2014,11,REG,0,1,2,0,5,3,12,0,20,5
0,MIN,Matt Asiata,AsiaMa00,2014-11-23,2014,12,DNP,0,0,0,0,0,0,0,0,0,0
39,MIN,Matt Asiata,AsiaMa00,2014-11-30,2014,13,REG,1,14,52,0,4,4,5,0,36,3
40,MIN,Matt Asiata,AsiaMa00,2014-12-07,2014,14,REG,1,19,54,0,4,3,10,0,45,7
41,MIN,Matt Asiata,AsiaMa00,2014-12-14,2014,15,REG,1,11,36,1,7,7,50,0,45,4
42,MIN,Matt Asiata,AsiaMa00,2014-12-21,2014,16,REG,1,16,58,2,4,3,19,0,46,6
43,MIN,Matt Asiata,AsiaMa00,2014-12-28,2014,17,REG,1,19,91,0,4,2,17,0,40,4
