CarGm,Team,Player,pfr_id,Date,Season,Week,Season_type,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp
1,CLE,Matt Dayes,DayeMa00,2017-09-10,2017,1,REG,0,3,7,0,2,2,9,0,13,20
2,CLE,Matt Dayes,DayeMa00,2017-09-17,2017,2,REG,0,0,0,0,0,0,0,0,2,18
3,CLE,Matt Dayes,DayeMa00,2017-09-24,2017,3,REG,0,0,0,0,0,0,0,0,0,20
4,CLE,Matt Dayes,DayeMa00,2017-10-01,2017,4,REG,0,1,2,0,0,0,0,0,8,17
5,CLE,Matt Dayes,DayeMa00,2017-10-08,2017,5,REG,0,0,0,0,0,0,0,0,0,11
6,CLE,Matt Dayes,DayeMa00,2017-10-15,2017,6,REG,0,0,0,0,0,0,0,0,5,20
7,CLE,Matt Dayes,DayeMa00,2017-10-22,2017,7,REG,0,0,0,0,0,0,0,0,0,16
8,CLE,Matt Dayes,DayeMa00,2017-10-29,2017,8,REG,0,0,0,0,1,1,15,0,6,22
0,CLE,Matt Dayes,DayeMa00,,2017,9,BYE,0,0,0,0,0,0,0,0,0,0
9,CLE,Matt Dayes,DayeMa00,2017-11-12,2017,10,REG,0,0,0,0,0,0,0,0,0,21
10,CLE,Matt Dayes,DayeMa00,2017-11-19,2017,11,REG,0,0,0,0,2,1,5,0,6,25
11,CLE,Matt Dayes,DayeMa00,2017-11-26,2017,12,REG,0,0,0,0,0,0,0,0,0,16
12,CLE,Matt Dayes,DayeMa00,2017-12-03,2017,13,REG,0,0,0,0,0,0,0,0,0,12
13,CLE,Matt Dayes,DayeMa00,2017-12-10,2017,14,REG,0,0,0,0,0,0,0,0,0,17
14,CLE,Matt Dayes,DayeMa00,2017-12-17,2017,15,REG,0,0,0,0,0,0,0,0,0,15
15,CLE,Matt Dayes,DayeMa00,2017-12-24,2017,16,REG,0,1,4,0,0,0,0,0,1,20
16,CLE,Matt Dayes,DayeMa00,2017-12-31,2017,17,REG,0,0,0,0,0,0,0,0,0,13
0,SFO,Matt Dayes,DayeMa00,2018-09-09,2018,1,DNP,0,0,0,0,0,0,0,0,0,0
0,SFO,Matt Dayes,DayeMa00,2018-09-16,2018,2,DNP,0,0,0,0,0,0,0,0,0,0
0,SFO,Matt Dayes,DayeMa00,2018-09-23,2018,3,DNP,0,0,0,0,0,0,0,0,0,0
0,SFO,Matt Dayes,DayeMa00,2018-09-30,2018,4,DNP,0,0,0,0,0,0,0,0,0,0
0,SFO,Matt Dayes,DayeMa00,2018-10-07,2018,5,DNP,0,0,0,0,0,0,0,0,0,0
0,SFO,Matt Dayes,DayeMa00,2018-10-15,2018,6,DNP,0,0,0,0,0,0,0,0,0,0
0,SFO,Matt Dayes,DayeMa00,2018-10-21,2018,7,DNP,0,0,0,0,0,0,0,0,0,0
0,SFO,Matt Dayes,DayeMa00,2018-10-28,2018,8,DNP,0,0,0,0,0,0,0,0,0,0
0,SFO,Matt Dayes,DayeMa00,2018-11-01,2018,9,DNP,0,0,0,0,0,0,0,0,0,0
17,SFO,Matt Dayes,DayeMa00,2018-11-12,2018,10,REG,0,0,0,0,0,0,0,0,1,12
0,SFO,Matt Dayes,DayeMa00,,2018,11,BYE,0,0,0,0,0,0,0,0,0,0
18,SFO,Matt Dayes,DayeMa00,2018-11-25,2018,12,REG,0,0,0,0,0,0,0,0,0,14
19,SFO,Matt Dayes,DayeMa00,2018-12-02,2018,13,REG,0,0,0,0,0,0,0,0,1,14
20,SFO,Matt Dayes,DayeMa00,2018-12-09,2018,14,REG,0,0,0,0,0,0,0,0,0,13
21,SFO,Matt Dayes,DayeMa00,2018-12-16,2018,15,REG,0,0,0,0,0,0,0,0,0,18
22,SFO,Matt Dayes,DayeMa00,2018-12-23,2018,16,REG,0,0,0,0,0,0,0,0,0,7
23,SFO,Matt Dayes,DayeMa00,2018-12-30,2018,17,REG,0,0,0,0,0,0,0,0,1,16
