CarGm,Team,Player,pfr_id,Date,Season,Week,Season_type,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp
1,NOR,Mel Gray,GrayMe00,1986-09-07,1986,1,REG,0,0,0,0,0,0,0,0,0,0
2,NOR,Mel Gray,GrayMe00,1986-09-14,1986,2,REG,0,0,0,0,0,0,0,0,0,0
3,NOR,Mel Gray,GrayMe00,1986-09-21,1986,3,REG,0,0,0,0,0,0,0,0,0,0
4,NOR,Mel Gray,GrayMe00,1986-09-28,1986,4,REG,0,0,0,0,0,0,0,0,0,0
5,NOR,Mel Gray,GrayMe00,1986-10-05,1986,5,REG,0,1,6,0,0,0,0,0,0,0
6,NOR,Mel Gray,GrayMe00,1986-10-12,1986,6,REG,0,1,11,0,0,0,0,0,0,0
7,NOR,Mel Gray,GrayMe00,1986-10-19,1986,7,REG,0,2,4,0,1,0,0,0,0,0
8,NOR,Mel Gray,GrayMe00,1986-10-26,1986,8,REG,0,1,2,0,1,0,0,0,0,0
9,NOR,Mel Gray,GrayMe00,1986-11-02,1986,9,REG,0,0,0,0,0,0,0,0,0,0
10,NOR,Mel Gray,GrayMe00,1986-11-09,1986,10,REG,0,0,0,0,0,0,0,0,0,0
11,NOR,Mel Gray,GrayMe00,1986-11-16,1986,11,REG,0,0,0,0,2,2,45,0,0,0
12,NOR,Mel Gray,GrayMe00,1986-11-23,1986,12,REG,0,0,0,0,0,0,0,0,0,0
13,NOR,Mel Gray,GrayMe00,1986-11-30,1986,13,REG,0,0,0,0,1,0,0,0,0,0
14,NOR,Mel Gray,GrayMe00,1986-12-07,1986,14,REG,0,1,6,0,0,0,0,0,0,0
15,NOR,Mel Gray,GrayMe00,1986-12-14,1986,15,REG,0,0,0,0,0,0,0,0,0,0
16,NOR,Mel Gray,GrayMe00,1986-12-21,1986,16,REG,0,0,0,0,0,0,0,0,0,0
17,NOR,Mel Gray,GrayMe00,1987-09-13,1987,1,REG,0,1,11,0,3,2,18,0,0,0
18,NOR,Mel Gray,GrayMe00,1987-09-20,1987,2,REG,0,0,0,0,2,1,-1,0,0,0
19,NOR,Mel Gray,GrayMe00,1987-10-25,1987,7,REG,0,2,-1,0,4,2,8,0,0,0
20,NOR,Mel Gray,GrayMe00,1987-11-01,1987,8,REG,1,5,27,1,1,0,0,0,0,0
21,NOR,Mel Gray,GrayMe00,1987-11-08,1987,9,REG,0,0,0,0,4,1,5,0,0,0
22,NOR,Mel Gray,GrayMe00,1987-11-15,1987,10,REG,0,0,0,0,0,0,0,0,0,0
23,NOR,Mel Gray,GrayMe00,1987-11-22,1987,11,REG,0,0,0,0,0,0,0,0,0,0
24,NOR,Mel Gray,GrayMe00,1987-11-29,1987,12,REG,0,0,0,0,0,0,0,0,0,0
25,NOR,Mel Gray,GrayMe00,1987-12-06,1987,13,REG,0,0,0,0,0,0,0,0,0,0
26,NOR,Mel Gray,GrayMe00,1987-12-13,1987,14,REG,0,0,0,0,0,0,0,0,0,0
27,NOR,Mel Gray,GrayMe00,1987-12-20,1987,15,REG,0,0,0,0,0,0,0,0,0,0
28,NOR,Mel Gray,GrayMe00,1987-12-27,1987,16,REG,0,0,0,0,0,0,0,0,0,0
29,NOR,Mel Gray,GrayMe00,1988-01-03,1987,17,POST,0,0,0,0,0,0,0,0,0,0
30,NOR,Mel Gray,GrayMe00,1988-09-04,1988,1,REG,0,0,0,0,0,0,0,0,0,0
31,NOR,Mel Gray,GrayMe00,1988-09-11,1988,2,REG,0,0,0,0,0,0,0,0,0,0
32,NOR,Mel Gray,GrayMe00,1988-09-18,1988,3,REG,0,0,0,0,0,0,0,0,0,0
33,NOR,Mel Gray,GrayMe00,1988-09-25,1988,4,REG,0,0,0,0,0,0,0,0,0,0
34,NOR,Mel Gray,GrayMe00,1988-10-03,1988,5,REG,0,0,0,0,0,0,0,0,0,0
35,NOR,Mel Gray,GrayMe00,1988-10-09,1988,6,REG,0,0,0,0,0,0,0,0,0,0
36,NOR,Mel Gray,GrayMe00,1988-10-16,1988,7,REG,0,0,0,0,0,0,0,0,0,0
