CarGm,Team,Player,pfr_id,Date,Season,Week,Season_type,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp
1,SFO,Michael Robinson,RobiMi00,2006-09-10,2006,1,REG,0,1,-2,0,1,1,9,0,0,0
2,SFO,Michael Robinson,RobiMi00,2006-09-17,2006,2,REG,0,1,1,0,0,0,0,0,0,0
3,SFO,Michael Robinson,RobiMi00,2006-09-24,2006,3,REG,0,5,29,2,3,2,3,0,0,0
4,SFO,Michael Robinson,RobiMi00,2006-10-01,2006,4,REG,0,4,13,0,0,0,0,0,0,0
5,SFO,Michael Robinson,RobiMi00,2006-10-08,2006,5,REG,0,12,21,0,0,0,0,0,0,0
6,SFO,Michael Robinson,RobiMi00,2006-10-15,2006,6,REG,0,1,2,0,0,0,0,0,0,0
0,SFO,Michael Robinson,RobiMi00,,2006,7,BYE,0,0,0,0,0,0,0,0,0,0
7,SFO,Michael Robinson,RobiMi00,2006-10-29,2006,8,REG,0,1,-4,0,3,2,7,0,0,0
8,SFO,Michael Robinson,RobiMi00,2006-11-05,2006,9,REG,0,3,3,0,1,1,5,0,0,0
9,SFO,Michael Robinson,RobiMi00,2006-11-12,2006,10,REG,0,5,4,0,0,0,0,0,0,0
10,SFO,Michael Robinson,RobiMi00,2006-11-19,2006,11,REG,0,2,10,0,0,0,0,0,0,0
11,SFO,Michael Robinson,RobiMi00,2006-11-26,2006,12,REG,0,2,6,0,0,0,0,0,0,0
12,SFO,Michael Robinson,RobiMi00,2006-12-03,2006,13,REG,0,0,0,0,0,0,0,0,0,0
13,SFO,Michael Robinson,RobiMi00,2006-12-10,2006,14,REG,0,0,0,0,1,1,4,0,0,0
14,SFO,Michael Robinson,RobiMi00,2006-12-14,2006,15,REG,0,1,33,0,0,0,0,0,0,0
15,SFO,Michael Robinson,RobiMi00,2006-12-24,2006,16,REG,0,0,0,0,0,0,0,0,0,0
16,SFO,Michael Robinson,RobiMi00,2006-12-31,2006,17,REG,0,0,0,0,3,2,19,0,0,0
17,SFO,Michael Robinson,RobiMi00,2007-09-10,2007,1,REG,0,0,0,0,0,0,0,0,0,0
18,SFO,Michael Robinson,RobiMi00,2007-09-16,2007,2,REG,0,1,3,0,0,0,0,0,0,0
