CarGm,Team,Player,pfr_id,Date,Season,Week,Season_type,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp
1,TEN,Mike Green,GreeMi00,2000-09-03,2000,1,REG,0,0,0,0,0,0,0,0,0,0
0,TEN,Mike Green,GreeMi00,2000-09-10,2000,2,DNP,0,0,0,0,0,0,0,0,0,0
0,TEN,Mike Green,GreeMi00,,2000,3,BYE,0,0,0,0,0,0,0,0,0,0
0,TEN,Mike Green,GreeMi00,2000-09-24,2000,4,DNP,0,0,0,0,0,0,0,0,0,0
0,TEN,Mike Green,GreeMi00,2000-10-01,2000,5,DNP,0,0,0,0,0,0,0,0,0,0
0,TEN,Mike Green,GreeMi00,2000-10-08,2000,6,DNP,0,0,0,0,0,0,0,0,0,0
0,TEN,Mike Green,GreeMi00,2000-10-16,2000,7,DNP,0,0,0,0,0,0,0,0,0,0
0,TEN,Mike Green,GreeMi00,2000-10-22,2000,8,DNP,0,0,0,0,0,0,0,0,0,0
0,TEN,Mike Green,GreeMi00,2000-10-30,2000,9,DNP,0,0,0,0,0,0,0,0,0,0
0,TEN,Mike Green,GreeMi00,2000-11-05,2000,10,DNP,0,0,0,0,0,0,0,0,0,0
0,TEN,Mike Green,GreeMi00,2000-11-12,2000,11,DNP,0,0,0,0,0,0,0,0,0,0
0,TEN,Mike Green,GreeMi00,2000-11-19,2000,12,DNP,0,0,0,0,0,0,0,0,0,0
0,TEN,Mike Green,GreeMi00,2000-11-26,2000,13,DNP,0,0,0,0,0,0,0,0,0,0
0,TEN,Mike Green,GreeMi00,2000-12-03,2000,14,DNP,0,0,0,0,0,0,0,0,0,0
0,TEN,Mike Green,GreeMi00,2000-12-10,2000,15,DNP,0,0,0,0,0,0,0,0,0,0
0,TEN,Mike Green,GreeMi00,2000-12-17,2000,16,DNP,0,0,0,0,0,0,0,0,0,0
0,TEN,Mike Green,GreeMi00,2000-12-25,2000,17,DNP,0,0,0,0,0,0,0,0,0,0
2,TEN,Mike Green,GreeMi00,2001-01-07,2000,19,POST,0,0,0,0,0,0,0,0,0,0
3,TEN,Mike Green,GreeMi00,2001-09-09,2001,1,REG,0,0,0,0,0,0,0,0,0,0
4,TEN,Mike Green,GreeMi00,2001-09-23,2001,2,REG,0,2,8,0,1,1,10,0,0,0
0,TEN,Mike Green,GreeMi00,,2001,3,BYE,0,0,0,0,0,0,0,0,0,0
5,TEN,Mike Green,GreeMi00,2001-10-07,2001,4,REG,0,1,9,0,1,1,7,0,0,0
6,TEN,Mike Green,GreeMi00,2001-10-14,2001,5,REG,0,3,3,0,2,2,13,0,0,0
7,TEN,Mike Green,GreeMi00,2001-10-21,2001,6,REG,0,0,0,0,0,0,0,0,0,0
8,TEN,Mike Green,GreeMi00,2001-10-29,2001,7,REG,0,5,27,0,3,2,7,0,0,0
9,TEN,Mike Green,GreeMi00,2001-11-04,2001,8,REG,0,0,0,0,0,0,0,0,0,0
10,TEN,Mike Green,GreeMi00,2001-11-12,2001,9,REG,0,0,0,0,0,0,0,0,0,0
11,TEN,Mike Green,GreeMi00,2001-11-18,2001,10,REG,0,0,0,0,1,1,4,0,0,0
12,TEN,Mike Green,GreeMi00,2001-11-25,2001,11,REG,0,0,0,0,0,0,0,0,0,0
13,TEN,Mike Green,GreeMi00,2001-12-02,2001,12,REG,0,0,0,0,0,0,0,0,0,0
14,TEN,Mike Green,GreeMi00,2001-12-09,2001,13,REG,0,0,0,0,0,0,0,0,0,0
15,TEN,Mike Green,GreeMi00,2001-12-16,2001,14,REG,0,0,0,0,2,2,8,1,0,0
16,TEN,Mike Green,GreeMi00,2001-12-22,2001,15,REG,1,0,0,0,3,3,15,0,0,0
17,TEN,Mike Green,GreeMi00,2001-12-30,2001,16,REG,0,4,24,1,0,0,0,0,0,0
18,TEN,Mike Green,GreeMi00,2002-01-06,2001,17,REG,0,0,0,0,0,0,0,0,0,0
0,TEN,Mike Green,GreeMi00,2002-09-08,2002,1,DNP,0,0,0,0,0,0,0,0,0,0
19,TEN,Mike Green,GreeMi00,2002-09-15,2002,2,REG,0,1,12,0,3,1,12,0,0,0
20,TEN,Mike Green,GreeMi00,2002-09-22,2002,3,REG,0,4,9,0,0,0,0,0,0,0
21,TEN,Mike Green,GreeMi00,2002-09-29,2002,4,REG,0,0,0,0,1,1,21,0,0,0
22,TEN,Mike Green,GreeMi00,2002-10-06,2002,5,REG,0,0,0,0,0,0,0,0,0,0
23,TEN,Mike Green,GreeMi00,2002-10-13,2002,6,REG,0,3,12,0,0,0,0,0,0,0
0,TEN,Mike Green,GreeMi00,,2002,7,BYE,0,0,0,0,0,0,0,0,0,0
24,TEN,Mike Green,GreeMi00,2002-10-27,2002,8,REG,1,0,0,0,1,1,11,0,0,0
25,TEN,Mike Green,GreeMi00,2002-11-03,2002,9,REG,1,2,8,0,3,3,9,1,0,0
26,TEN,Mike Green,GreeMi00,2002-11-10,2002,10,REG,0,4,10,0,1,1,4,0,0,0
27,TEN,Mike Green,GreeMi00,2002-11-17,2002,11,REG,0,0,0,0,0,0,0,0,0,0
