CarGm,Team,Player,pfr_id,Date,Season,Week,Season_type,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp
1,WAS,Mike Oliphant,OlipMi00,1988-09-05,1988,1,REG,0,0,0,0,0,0,0,0,0,0
2,WAS,Mike Oliphant,OlipMi00,1988-09-11,1988,2,REG,0,0,0,0,1,1,7,0,0,0
3,WAS,Mike Oliphant,OlipMi00,1988-09-18,1988,3,REG,0,0,0,0,0,0,0,0,0,0
4,WAS,Mike Oliphant,OlipMi00,1988-11-21,1988,12,REG,0,4,29,0,10,5,31,0,0,0
5,WAS,Mike Oliphant,OlipMi00,1988-11-27,1988,13,REG,0,2,5,0,3,1,16,0,0,0
6,WAS,Mike Oliphant,OlipMi00,1988-12-04,1988,14,REG,0,1,-3,0,4,4,29,0,0,0
7,WAS,Mike Oliphant,OlipMi00,1988-12-11,1988,15,REG,0,1,-1,0,6,3,20,0,0,0
8,WAS,Mike Oliphant,OlipMi00,1988-12-17,1988,16,REG,0,0,0,0,1,1,8,0,0,0
9,CLE,Mike Oliphant,OlipMi00,1989-09-10,1989,1,REG,0,6,48,1,0,0,0,0,0,0
10,CLE,Mike Oliphant,OlipMi00,1989-09-17,1989,2,REG,0,0,0,0,0,0,0,0,0,0
11,CLE,Mike Oliphant,OlipMi00,1989-10-08,1989,5,REG,0,0,0,0,0,0,0,0,0,0
12,CLE,Mike Oliphant,OlipMi00,1989-10-15,1989,6,REG,0,5,30,0,0,0,0,0,0,0
13,CLE,Mike Oliphant,OlipMi00,1989-10-23,1989,7,REG,0,2,10,0,0,0,0,0,0,0
14,CLE,Mike Oliphant,OlipMi00,1989-10-29,1989,8,REG,0,0,0,0,0,0,0,0,0,0
15,CLE,Mike Oliphant,OlipMi00,1989-11-05,1989,9,REG,0,1,14,0,1,1,9,0,0,0
16,CLE,Mike Oliphant,OlipMi00,1989-11-12,1989,10,REG,0,0,0,0,0,0,0,0,0,0
17,CLE,Mike Oliphant,OlipMi00,1989-11-19,1989,11,REG,0,1,-5,0,2,2,13,0,0,0
18,CLE,Mike Oliphant,OlipMi00,1989-11-23,1989,12,REG,0,0,0,0,0,0,0,0,0,0
19,CLE,Mike Oliphant,OlipMi00,1989-12-03,1989,13,REG,0,0,0,0,0,0,0,0,0,0
20,CLE,Mike Oliphant,OlipMi00,1989-12-10,1989,14,REG,0,0,0,0,0,0,0,0,0,0
21,CLE,Mike Oliphant,OlipMi00,1989-12-17,1989,15,REG,0,0,0,0,0,0,0,0,0,0
22,CLE,Mike Oliphant,OlipMi00,1989-12-23,1989,16,REG,0,0,0,0,0,0,0,0,0,0
23,CLE,Mike Oliphant,OlipMi00,1990-01-06,1989,18,POST,0,0,0,0,0,0,0,0,0,0
24,CLE,Mike Oliphant,OlipMi00,1990-01-14,1989,19,POST,0,0,0,0,0,0,0,0,0,0
25,CLE,Mike Oliphant,OlipMi00,1991-09-01,1991,1,REG,0,0,0,0,0,0,0,0,0,0
26,CLE,Mike Oliphant,OlipMi00,1991-09-08,1991,2,REG,0,0,0,0,0,0,0,0,0,0
27,CLE,Mike Oliphant,OlipMi00,1991-09-15,1991,3,REG,0,0,0,0,0,0,0,0,0,0
28,CLE,Mike Oliphant,OlipMi00,1991-09-22,1991,4,REG,0,0,0,0,0,0,0,0,0,0
0,CLE,Mike Oliphant,OlipMi00,,1991,5,BYE,0,0,0,0,0,0,0,0,0,0
0,CLE,Mike Oliphant,OlipMi00,1991-10-06,1991,6,DNP,0,0,0,0,0,0,0,0,0,0
0,CLE,Mike Oliphant,OlipMi00,1991-10-13,1991,7,DNP,0,0,0,0,0,0,0,0,0,0
0,CLE,Mike Oliphant,OlipMi00,1991-10-20,1991,8,DNP,0,0,0,0,0,0,0,0,0,0
0,CLE,Mike Oliphant,OlipMi00,1991-10-27,1991,9,DNP,0,0,0,0,0,0,0,0,0,0
0,CLE,Mike Oliphant,OlipMi00,1991-11-03,1991,10,DNP,0,0,0,0,0,0,0,0,0,0
0,CLE,Mike Oliphant,OlipMi00,1991-11-10,1991,11,DNP,0,0,0,0,0,0,0,0,0,0
0,CLE,Mike Oliphant,OlipMi00,1991-11-17,1991,12,DNP,0,0,0,0,0,0,0,0,0,0
0,CLE,Mike Oliphant,OlipMi00,1991-11-24,1991,13,DNP,0,0,0,0,0,0,0,0,0,0
0,CLE,Mike Oliphant,OlipMi00,1991-12-01,1991,14,DNP,0,0,0,0,0,0,0,0,0,0
0,CLE,Mike Oliphant,OlipMi00,1991-12-08,1991,15,DNP,0,0,0,0,0,0,0,0,0,0
0,CLE,Mike Oliphant,OlipMi00,1991-12-15,1991,16,DNP,0,0,0,0,0,0,0,0,0,0
0,CLE,Mike Oliphant,OlipMi00,1991-12-22,1991,17,DNP,0,0,0,0,0,0,0,0,0,0
