CarGm,Team,Player,pfr_id,Date,Season,Week,Season_type,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp
1,MIN,Naufahu Tahi,TahiNa00,2007-09-09,2007,1,REG,0,2,5,0,0,0,0,0,0,0
2,MIN,Naufahu Tahi,TahiNa00,2007-09-16,2007,2,REG,0,0,0,0,1,1,7,0,0,0
3,MIN,Naufahu Tahi,TahiNa00,2007-09-23,2007,3,REG,0,0,0,0,0,0,0,0,0,0
4,MIN,Naufahu Tahi,TahiNa00,2007-09-30,2007,4,REG,0,0,0,0,0,0,0,0,0,0
0,MIN,Naufahu Tahi,TahiNa00,,2007,5,BYE,0,0,0,0,0,0,0,0,0,0
5,MIN,Naufahu Tahi,TahiNa00,2007-10-14,2007,6,REG,0,0,0,0,0,0,0,0,0,0
0,MIN,Naufahu Tahi,TahiNa00,2007-10-21,2007,7,DNP,0,0,0,0,0,0,0,0,0,0
6,MIN,Naufahu Tahi,TahiNa00,2007-10-28,2007,8,REG,0,0,0,0,0,0,0,0,0,0
0,MIN,Naufahu Tahi,TahiNa00,2007-11-04,2007,9,DNP,0,0,0,0,0,0,0,0,0,0
0,MIN,Naufahu Tahi,TahiNa00,2007-11-11,2007,10,DNP,0,0,0,0,0,0,0,0,0,0
7,MIN,Naufahu Tahi,TahiNa00,2007-11-18,2007,11,REG,0,4,10,0,0,0,0,0,0,0
8,MIN,Naufahu Tahi,TahiNa00,2007-11-25,2007,12,REG,0,0,0,0,0,0,0,0,0,0
9,MIN,Naufahu Tahi,TahiNa00,2007-12-02,2007,13,REG,0,0,0,0,0,0,0,0,0,0
0,MIN,Naufahu Tahi,TahiNa00,2007-12-09,2007,14,DNP,0,0,0,0,0,0,0,0,0,0
10,MIN,Naufahu Tahi,TahiNa00,2007-12-17,2007,15,REG,0,0,0,0,0,0,0,0,0,0
0,MIN,Naufahu Tahi,TahiNa00,2007-12-23,2007,16,DNP,0,0,0,0,0,0,0,0,0,0
0,MIN,Naufahu Tahi,TahiNa00,2007-12-30,2007,17,DNP,0,0,0,0,0,0,0,0,0,0
11,MIN,Naufahu Tahi,TahiNa00,2008-09-08,2008,1,REG,0,0,0,0,0,0,0,0,0,0
12,MIN,Naufahu Tahi,TahiNa00,2008-09-14,2008,2,REG,0,0,0,0,2,2,-2,0,0,0
13,MIN,Naufahu Tahi,TahiNa00,2008-09-21,2008,3,REG,0,0,0,0,3,2,6,0,0,0
14,MIN,Naufahu Tahi,TahiNa00,2008-09-28,2008,4,REG,1,0,0,0,3,2,9,0,0,0
15,MIN,Naufahu Tahi,TahiNa00,2008-10-06,2008,5,REG,1,0,0,0,0,0,0,0,0,0
16,MIN,Naufahu Tahi,TahiNa00,2008-10-12,2008,6,REG,0,0,0,0,1,0,0,0,0,0
17,MIN,Naufahu Tahi,TahiNa00,2008-10-19,2008,7,REG,0,0,0,0,1,0,0,0,0,0
0,MIN,Naufahu Tahi,TahiNa00,,2008,8,BYE,0,0,0,0,0,0,0,0,0,0
18,MIN,Naufahu Tahi,TahiNa00,2008-11-02,2008,9,REG,1,0,0,0,1,1,4,0,0,0
19,MIN,Naufahu Tahi,TahiNa00,2008-11-09,2008,10,REG,0,0,0,0,1,1,3,0,0,0
20,MIN,Naufahu Tahi,TahiNa00,2008-11-16,2008,11,REG,1,0,0,0,0,0,0,0,0,0
21,MIN,Naufahu Tahi,TahiNa00,2008-11-23,2008,12,REG,0,0,0,0,2,2,6,0,0,0
22,MIN,Naufahu Tahi,TahiNa00,2008-11-30,2008,13,REG,0,0,0,0,1,1,4,0,0,0
23,MIN,Naufahu Tahi,TahiNa00,2008-12-07,2008,14,REG,0,0,0,0,0,0,0,0,0,0
24,MIN,Naufahu Tahi,TahiNa00,2008-12-14,2008,15,REG,0,0,0,0,2,2,4,0,0,0
25,MIN,Naufahu Tahi,TahiNa00,2008-12-21,2008,16,REG,1,0,0,0,1,1,-1,0,0,0
26,MIN,Naufahu Tahi,TahiNa00,2008-12-28,2008,17,REG,0,0,0,0,3,2,4,0,0,0
27,MIN,Naufahu Tahi,TahiNa00,2009-01-04,2008,18,POST,0,0,0,0,0,0,0,0,0,0
28,MIN,Naufahu Tahi,TahiNa00,2009-09-13,2009,1,REG,0,1,2,0,0,0,0,0,0,0
29,MIN,Naufahu Tahi,TahiNa00,2009-09-20,2009,2,REG,0,1,1,0,0,0,0,0,0,0
30,MIN,Naufahu Tahi,TahiNa00,2009-09-27,2009,3,REG,1,0,0,0,0,0,0,0,0,0
31,MIN,Naufahu Tahi,TahiNa00,2009-10-05,2009,4,REG,0,0,0,0,2,2,8,0,0,0
32,MIN,Naufahu Tahi,TahiNa00,2009-10-11,2009,5,REG,0,0,0,0,1,1,32,0,0,0
33,MIN,Naufahu Tahi,TahiNa00,2009-10-18,2009,6,REG,0,0,0,0,1,1,0,0,0,0
34,MIN,Naufahu Tahi,TahiNa00,2009-10-25,2009,7,REG,0,0,0,0,4,3,13,0,0,0
0,MIN,Naufahu Tahi,TahiNa00,2009-11-01,2009,8,DNP,0,0,0,0,0,0,0,0,0,0
0,MIN,Naufahu Tahi,TahiNa00,,2009,9,BYE,0,0,0,0,0,0,0,0,0,0
35,MIN,Naufahu Tahi,TahiNa00,2009-11-15,2009,10,REG,0,0,0,0,0,0,0,0,0,0
