CarGm,Team,Player,pfr_id,Date,Season,Week,Season_type,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp
0,RAI,Nick Bell,BellNi00,1991-09-01,1991,1,DNP,0,0,0,0,0,0,0,0,0,0
0,RAI,Nick Bell,BellNi00,1991-09-08,1991,2,DNP,0,0,0,0,0,0,0,0,0,0
0,RAI,Nick Bell,BellNi00,1991-09-15,1991,3,DNP,0,0,0,0,0,0,0,0,0,0
0,RAI,Nick Bell,BellNi00,1991-09-22,1991,4,DNP,0,0,0,0,0,0,0,0,0,0
1,RAI,Nick Bell,BellNi00,1991-09-29,1991,5,REG,0,7,31,0,3,3,23,0,0,0
2,RAI,Nick Bell,BellNi00,1991-10-06,1991,6,REG,0,8,26,0,0,0,0,0,0,0
3,RAI,Nick Bell,BellNi00,1991-10-13,1991,7,REG,0,16,75,0,2,2,15,0,0,0
4,RAI,Nick Bell,BellNi00,1991-10-20,1991,8,REG,0,15,54,1,2,1,24,0,0,0
5,RAI,Nick Bell,BellNi00,1991-10-28,1991,9,REG,1,2,1,1,0,0,0,0,0,0
0,RAI,Nick Bell,BellNi00,1970-01-01,1991,10,BYE,0,0,0,0,0,0,0,0,0,0
0,RAI,Nick Bell,BellNi00,1991-11-10,1991,11,DNP,0,0,0,0,0,0,0,0,0,0
0,RAI,Nick Bell,BellNi00,1991-11-17,1991,12,DNP,0,0,0,0,0,0,0,0,0,0
0,RAI,Nick Bell,BellNi00,1991-11-24,1991,13,DNP,0,0,0,0,0,0,0,0,0,0
6,RAI,Nick Bell,BellNi00,1991-12-01,1991,14,REG,0,10,58,0,0,0,0,0,0,0
7,RAI,Nick Bell,BellNi00,1991-12-08,1991,15,REG,0,15,36,1,0,0,0,0,0,0
8,RAI,Nick Bell,BellNi00,1991-12-16,1991,16,REG,0,5,26,0,0,0,0,0,0,0
9,RAI,Nick Bell,BellNi00,1991-12-22,1991,17,REG,0,0,0,0,0,0,0,0,0,0
