CarGm,Team,Player,pfr_id,Date,Season,Week,Season_type,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp
1,OAK,Oren ONeal,ONeaOr00,2007-09-09,2007,1,REG,0,0,0,0,0,0,0,0,0,0
2,OAK,Oren ONeal,ONeaOr00,2007-09-16,2007,2,REG,0,0,0,0,0,0,0,0,0,0
0,OAK,Oren ONeal,ONeaOr00,2007-09-23,2007,3,DNP,0,0,0,0,0,0,0,0,0,0
0,OAK,Oren ONeal,ONeaOr00,2007-09-30,2007,4,DNP,0,0,0,0,0,0,0,0,0,0
0,OAK,Oren ONeal,ONeaOr00,,2007,5,BYE,0,0,0,0,0,0,0,0,0,0
3,OAK,Oren ONeal,ONeaOr00,2007-10-14,2007,6,REG,0,0,0,0,0,0,0,0,0,0
4,OAK,Oren ONeal,ONeaOr00,2007-10-21,2007,7,REG,0,0,0,0,0,0,0,0,0,0
5,OAK,Oren ONeal,ONeaOr00,2007-10-28,2007,8,REG,0,0,0,0,1,1,1,0,0,0
6,OAK,Oren ONeal,ONeaOr00,2007-11-04,2007,9,REG,0,0,0,0,0,0,0,0,0,0
7,OAK,Oren ONeal,ONeaOr00,2007-11-11,2007,10,REG,0,0,0,0,0,0,0,0,0,0
8,OAK,Oren ONeal,ONeaOr00,2007-11-18,2007,11,REG,0,0,0,0,0,0,0,0,0,0
9,OAK,Oren ONeal,ONeaOr00,2007-11-25,2007,12,REG,0,0,0,0,0,0,0,0,0,0
10,OAK,Oren ONeal,ONeaOr00,2007-12-02,2007,13,REG,0,0,0,0,0,0,0,0,0,0
11,OAK,Oren ONeal,ONeaOr00,2007-12-09,2007,14,REG,0,0,0,0,0,0,0,0,0,0
12,OAK,Oren ONeal,ONeaOr00,2007-12-16,2007,15,REG,0,0,0,0,0,0,0,0,0,0
13,OAK,Oren ONeal,ONeaOr00,2007-12-23,2007,16,REG,1,0,0,0,0,0,0,0,0,0
14,OAK,Oren ONeal,ONeaOr00,2007-12-30,2007,17,REG,0,0,0,0,0,0,0,0,0,0
15,OAK,Oren ONeal,ONeaOr00,2009-09-14,2009,1,REG,0,0,0,0,0,0,0,0,0,0
16,OAK,Oren ONeal,ONeaOr00,2009-09-20,2009,2,REG,0,1,0,0,0,0,0,0,0,0
17,OAK,Oren ONeal,ONeaOr00,2009-09-27,2009,3,REG,0,0,0,0,0,0,0,0,0,0
18,OAK,Oren ONeal,ONeaOr00,2009-10-04,2009,4,REG,0,0,0,0,0,0,0,0,0,0
0,OAK,Oren ONeal,ONeaOr00,2009-10-11,2009,5,DNP,0,0,0,0,0,0,0,0,0,0
0,OAK,Oren ONeal,ONeaOr00,2009-10-18,2009,6,DNP,0,0,0,0,0,0,0,0,0,0
0,OAK,Oren ONeal,ONeaOr00,2009-10-25,2009,7,DNP,0,0,0,0,0,0,0,0,0,0
0,OAK,Oren ONeal,ONeaOr00,2009-11-01,2009,8,DNP,0,0,0,0,0,0,0,0,0,0
0,OAK,Oren ONeal,ONeaOr00,,2009,9,BYE,0,0,0,0,0,0,0,0,0,0
0,OAK,Oren ONeal,ONeaOr00,2009-11-15,2009,10,DNP,0,0,0,0,0,0,0,0,0,0
0,OAK,Oren ONeal,ONeaOr00,2009-11-22,2009,11,DNP,0,0,0,0,0,0,0,0,0,0
0,OAK,Oren ONeal,ONeaOr00,2009-11-26,2009,12,DNP,0,0,0,0,0,0,0,0,0,0
0,OAK,Oren ONeal,ONeaOr00,2009-12-06,2009,13,DNP,0,0,0,0,0,0,0,0,0,0
0,OAK,Oren ONeal,ONeaOr00,2009-12-13,2009,14,DNP,0,0,0,0,0,0,0,0,0,0
0,OAK,Oren ONeal,ONeaOr00,2009-12-20,2009,15,DNP,0,0,0,0,0,0,0,0,0,0
0,OAK,Oren ONeal,ONeaOr00,2009-12-27,2009,16,DNP,0,0,0,0,0,0,0,0,0,0
0,OAK,Oren ONeal,ONeaOr00,2010-01-03,2009,17,DNP,0,0,0,0,0,0,0,0,0,0
