CarGm,Team,Player,pfr_id,Date,Season,Week,Season_type,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp
0,SEA,Owen Schmitt,SchmOw00,2008-09-07,2008,1,DNP,0,0,0,0,0,0,0,0,0,0
1,SEA,Owen Schmitt,SchmOw00,2008-09-14,2008,2,REG,0,0,0,0,1,1,6,0,0,0
2,SEA,Owen Schmitt,SchmOw00,2008-09-21,2008,3,REG,0,1,2,0,0,0,0,0,0,0
0,SEA,Owen Schmitt,SchmOw00,1970-01-01,2008,4,BYE,0,0,0,0,0,0,0,0,0,0
3,SEA,Owen Schmitt,SchmOw00,2008-10-05,2008,5,REG,0,0,0,0,0,0,0,0,0,0
4,SEA,Owen Schmitt,SchmOw00,2008-10-12,2008,6,REG,0,0,0,0,0,0,0,0,0,0
5,SEA,Owen Schmitt,SchmOw00,2008-10-19,2008,7,REG,0,0,0,0,0,0,0,0,0,0
6,SEA,Owen Schmitt,SchmOw00,2008-10-26,2008,8,REG,0,1,0,0,0,0,0,0,0,0
7,SEA,Owen Schmitt,SchmOw00,2008-11-02,2008,9,REG,1,0,0,0,5,3,10,0,0,0
8,SEA,Owen Schmitt,SchmOw00,2008-11-09,2008,10,REG,0,3,19,0,1,1,6,0,0,0
9,SEA,Owen Schmitt,SchmOw00,2008-11-16,2008,11,REG,0,0,0,0,1,1,7,0,0,0
10,SEA,Owen Schmitt,SchmOw00,2008-11-23,2008,12,REG,0,0,0,0,0,0,0,0,0,0
11,SEA,Owen Schmitt,SchmOw00,2008-11-27,2008,13,REG,0,0,0,0,0,0,0,0,0,0
12,SEA,Owen Schmitt,SchmOw00,2008-12-07,2008,14,REG,0,0,0,0,0,0,0,0,0,0
13,SEA,Owen Schmitt,SchmOw00,2008-12-14,2008,15,REG,0,0,0,0,0,0,0,0,0,0
14,SEA,Owen Schmitt,SchmOw00,2008-12-21,2008,16,REG,0,0,0,0,0,0,0,0,0,0
15,SEA,Owen Schmitt,SchmOw00,2008-12-28,2008,17,REG,0,0,0,0,0,0,0,0,0,0
