CarGm,Team,Player,pfr_id,Date,Season,Week,Season_type,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp
1,BAL,Patrick Ricard,RicaPa00,2017-09-10,2017,1,REG,0,0,0,0,0,0,0,0,12,1
2,BAL,Patrick Ricard,RicaPa00,2017-09-17,2017,2,REG,0,0,0,0,0,0,0,0,5,5
3,BAL,Patrick Ricard,RicaPa00,2017-09-24,2017,3,REG,0,0,0,0,0,0,0,0,6,9
4,BAL,Patrick Ricard,RicaPa00,2017-10-01,2017,4,REG,0,0,0,0,0,0,0,0,1,6
5,BAL,Patrick Ricard,RicaPa00,2017-10-08,2017,5,REG,0,0,0,0,0,0,0,0,10,5
6,BAL,Patrick Ricard,RicaPa00,2017-10-15,2017,6,REG,0,0,0,0,0,0,0,0,3,6
7,BAL,Patrick Ricard,RicaPa00,2017-10-22,2017,7,REG,0,0,0,0,0,0,0,0,3,8
8,BAL,Patrick Ricard,RicaPa00,2017-10-26,2017,8,REG,0,0,0,0,1,1,1,0,18,1
9,BAL,Patrick Ricard,RicaPa00,2017-11-05,2017,9,REG,0,0,0,0,0,0,0,0,6,6
0,BAL,Patrick Ricard,RicaPa00,,2017,10,BYE,0,0,0,0,0,0,0,0,0,0
10,BAL,Patrick Ricard,RicaPa00,2017-11-19,2017,11,REG,0,0,0,0,0,0,0,0,7,2
11,BAL,Patrick Ricard,RicaPa00,2017-11-27,2017,12,REG,0,0,0,0,0,0,0,0,13,6
12,BAL,Patrick Ricard,RicaPa00,2017-12-03,2017,13,REG,0,0,0,0,1,1,3,1,18,5
13,BAL,Patrick Ricard,RicaPa00,2017-12-10,2017,14,REG,0,0,0,0,1,1,6,1,15,10
14,BAL,Patrick Ricard,RicaPa00,2017-12-17,2017,15,REG,0,0,0,0,0,0,0,0,20,9
15,BAL,Patrick Ricard,RicaPa00,2017-12-23,2017,16,REG,0,0,0,0,0,0,0,0,3,1
16,BAL,Patrick Ricard,RicaPa00,2017-12-31,2017,17,REG,0,0,0,0,1,1,2,0,9,14
17,BAL,Patrick Ricard,RicaPa00,2018-09-09,2018,1,REG,0,0,0,0,0,0,0,0,14,2
