CarGm,Team,Player,pfr_id,Date,Season,Week,Season_type,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp
0,GNB,Patrick Taylor,TaylPa01,2021-09-12,2021,1,DNP,0,0,0,0,0,0,0,0,0,0
0,GNB,Patrick Taylor,TaylPa01,2021-09-20,2021,2,DNP,0,0,0,0,0,0,0,0,0,0
0,GNB,Patrick Taylor,TaylPa01,2021-09-26,2021,3,DNP,0,0,0,0,0,0,0,0,0,0
0,GNB,Patrick Taylor,TaylPa01,2021-10-03,2021,4,DNP,0,0,0,0,0,0,0,0,0,0
0,GNB,Patrick Taylor,TaylPa01,2021-10-10,2021,5,DNP,0,0,0,0,0,0,0,0,0,0
0,GNB,Patrick Taylor,TaylPa01,2021-10-17,2021,6,DNP,0,0,0,0,0,0,0,0,0,0
0,GNB,Patrick Taylor,TaylPa01,2021-10-24,2021,7,DNP,0,0,0,0,0,0,0,0,0,0
0,GNB,Patrick Taylor,TaylPa01,2021-10-28,2021,8,DNP,0,0,0,0,0,0,0,0,0,0
1,GNB,Patrick Taylor,TaylPa01,2021-11-07,2021,9,REG,0,0,0,0,0,0,0,0,0,8
2,GNB,Patrick Taylor,TaylPa01,2021-11-14,2021,10,REG,0,2,7,0,0,0,0,0,3,1
3,GNB,Patrick Taylor,TaylPa01,2021-11-21,2021,11,REG,0,4,11,0,0,0,0,0,15,0
4,GNB,Patrick Taylor,TaylPa01,2021-11-28,2021,12,REG,0,0,0,0,0,0,0,0,0,4
0,GNB,Patrick Taylor,TaylPa01,1970-01-01,2021,13,BYE,0,0,0,0,0,0,0,0,0,0
5,GNB,Patrick Taylor,TaylPa01,2021-12-12,2021,14,REG,0,0,0,0,0,0,0,0,2,15
6,GNB,Patrick Taylor,TaylPa01,2021-12-19,2021,15,REG,0,0,0,0,0,0,0,0,0,4
7,GNB,Patrick Taylor,TaylPa01,2021-12-25,2021,16,REG,0,0,0,0,0,0,0,0,0,5
8,GNB,Patrick Taylor,TaylPa01,2022-01-02,2021,17,REG,0,6,18,0,0,0,0,0,12,0
9,GNB,Patrick Taylor,TaylPa01,2022-01-09,2021,18,REG,0,11,53,1,2,2,3,0,31,8
10,GNB,Patrick Taylor,TaylPa01,2022-01-22,2021,20,POST,0,0,0,0,0,0,0,0,1,1
0,GNB,Patrick Taylor,TaylPa01,2022-09-11,2022,1,DNP,0,0,0,0,0,0,0,0,0,0
11,GNB,Patrick Taylor,TaylPa01,2022-09-18,2022,2,REG,0,0,0,0,0,0,0,0,0,8
12,GNB,Patrick Taylor,TaylPa01,2022-09-25,2022,3,REG,0,0,0,0,0,0,0,0,0,10
13,GNB,Patrick Taylor,TaylPa01,2022-10-02,2022,4,REG,0,0,0,0,0,0,0,0,0,11
14,GNB,Patrick Taylor,TaylPa01,2022-10-09,2022,5,REG,0,0,0,0,0,0,0,0,0,10
15,GNB,Patrick Taylor,TaylPa01,2022-10-16,2022,6,REG,0,0,0,0,0,0,0,0,1,12
16,GNB,Patrick Taylor,TaylPa01,2022-10-23,2022,7,REG,0,0,0,0,0,0,0,0,0,11
17,GNB,Patrick Taylor,TaylPa01,2022-10-30,2022,8,REG,0,0,0,0,0,0,0,0,0,7
0,GNB,Patrick Taylor,TaylPa01,2022-11-06,2022,9,DNP,0,0,0,0,0,0,0,0,0,0
0,GNB,Patrick Taylor,TaylPa01,2022-11-13,2022,10,DNP,0,0,0,0,0,0,0,0,0,0
18,GNB,Patrick Taylor,TaylPa01,2022-11-17,2022,11,REG,0,0,0,0,0,0,0,0,0,9
19,GNB,Patrick Taylor,TaylPa01,2022-11-27,2022,12,REG,0,0,0,0,0,0,0,0,0,10
20,GNB,Patrick Taylor,TaylPa01,2022-12-04,2022,13,REG,0,1,6,0,0,0,0,0,6,8
0,GNB,Patrick Taylor,TaylPa01,1970-01-01,2022,14,BYE,0,0,0,0,0,0,0,0,0,0
21,GNB,Patrick Taylor,TaylPa01,2022-12-19,2022,15,REG,0,4,15,0,0,0,0,0,9,5
22,GNB,Patrick Taylor,TaylPa01,2022-12-25,2022,16,REG,0,0,0,0,1,1,17,0,5,7
23,GNB,Patrick Taylor,TaylPa01,2023-01-01,2022,17,REG,0,5,10,0,0,0,0,0,12,6
24,GNB,Patrick Taylor,TaylPa01,2023-01-08,2022,18,REG,0,0,0,0,0,0,0,0,0,8
25,GNB,Patrick Taylor,TaylPa01,2023-09-10,2023,1,REG,0,5,22,0,0,0,0,0,7,9
26,GNB,Patrick Taylor,TaylPa01,2023-09-17,2023,2,REG,0,1,1,0,1,0,0,0,11,11
27,GNB,Patrick Taylor,TaylPa01,2023-09-24,2023,3,REG,0,3,6,0,4,3,23,0,31,8
0,GNB,Patrick Taylor,TaylPa01,2023-09-28,2023,4,DNP,0,0,0,0,0,0,0,0,0,0
28,GNB,Patrick Taylor,TaylPa01,2023-10-09,2023,5,REG,0,2,2,0,5,2,5,0,21,3
0,GNB,Patrick Taylor,TaylPa01,1970-01-01,2023,6,BYE,0,0,0,0,0,0,0,0,0,0
0,GNB,Patrick Taylor,TaylPa01,2023-10-22,2023,7,DNP,0,0,0,0,0,0,0,0,0,0
0,GNB,Patrick Taylor,TaylPa01,2023-10-29,2023,8,DNP,0,0,0,0,0,0,0,0,0,0
0,GNB,Patrick Taylor,TaylPa01,2023-11-05,2023,9,DNP,0,0,0,0,0,0,0,0,0,0
0,GNB,Patrick Taylor,TaylPa01,2023-11-12,2023,10,DNP,0,0,0,0,0,0,0,0,0,0
0,GNB,Patrick Taylor,TaylPa01,2023-11-19,2023,11,DNP,0,0,0,0,0,0,0,0,0,0
29,GNB,Patrick Taylor,TaylPa01,2023-11-23,2023,12,REG,0,3,11,0,1,1,4,0,27,14
30,GNB,Patrick Taylor,TaylPa01,2023-12-03,2023,13,REG,0,2,29,0,1,0,0,0,20,7
31,GNB,Patrick Taylor,TaylPa01,2023-12-11,2023,14,REG,0,4,30,0,2,2,22,0,32,13
32,GNB,Patrick Taylor,TaylPa01,2023-12-17,2023,15,REG,0,1,6,0,2,2,-4,0,26,9
33,GNB,Patrick Taylor,TaylPa01,2023-12-24,2023,16,REG,0,3,4,0,1,1,-1,0,20,16
34,GNB,Patrick Taylor,TaylPa01,2023-12-31,2023,17,REG,0,8,30,0,0,0,0,0,20,11
35,GNB,Patrick Taylor,TaylPa01,2024-01-07,2023,18,REG,0,0,0,0,0,0,0,0,11,8
36,GNB,Patrick Taylor,TaylPa01,2024-01-14,2023,19,POST,0,3,6,0,0,0,0,0,6,9
37,GNB,Patrick Taylor,TaylPa01,2024-01-20,2023,20,POST,0,0,0,0,0,0,0,0,8,6
38,SFO,Patrick Taylor,TaylPa01,2024-09-09,2024,1,REG,0,0,0,0,0,0,0,0,0,1
39,SFO,Patrick Taylor,TaylPa01,2024-09-15,2024,2,REG,0,0,0,0,0,0,0,0,0,7
40,SFO,Patrick Taylor,TaylPa01,2024-09-22,2024,3,REG,0,0,0,0,0,0,0,0,0,6
41,SFO,Patrick Taylor,TaylPa01,2024-09-29,2024,4,REG,0,0,0,0,0,0,0,0,0,8
42,SFO,Patrick Taylor,TaylPa01,2024-10-06,2024,5,REG,0,0,0,0,0,0,0,0,0,12
43,SFO,Patrick Taylor,TaylPa01,2024-10-10,2024,6,REG,0,5,16,0,1,1,12,0,16,14
44,SFO,Patrick Taylor,TaylPa01,2024-10-20,2024,7,REG,0,0,0,0,0,0,0,0,0,12
45,SFO,Patrick Taylor,TaylPa01,2024-10-27,2024,8,REG,0,2,9,0,0,0,0,0,5,17
0,SFO,Patrick Taylor,TaylPa01,1970-01-01,2024,9,BYE,0,0,0,0,0,0,0,0,0,0
