CarGm,Team,Player,pfr_id,Date,Season,Week,Season_type,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp
0,NYG,Paul Perkins,PerkPa00,2016-09-11,2016,1,DNP,0,0,0,0,0,0,0,0,0,0
0,NYG,Paul Perkins,PerkPa00,2016-09-18,2016,2,DNP,0,0,0,0,0,0,0,0,0,0
1,NYG,Paul Perkins,PerkPa00,2016-09-25,2016,3,REG,0,0,0,0,0,0,0,0,0,16
2,NYG,Paul Perkins,PerkPa00,2016-10-03,2016,4,REG,0,2,8,0,3,2,72,0,15,13
3,NYG,Paul Perkins,PerkPa00,2016-10-09,2016,5,REG,0,2,9,0,2,1,13,0,14,15
4,NYG,Paul Perkins,PerkPa00,2016-10-16,2016,6,REG,0,2,10,0,2,2,16,0,7,17
5,NYG,Paul Perkins,PerkPa00,2016-10-23,2016,7,REG,0,4,12,0,1,1,4,0,16,9
0,NYG,Paul Perkins,PerkPa00,1970-01-01,2016,8,BYE,0,0,0,0,0,0,0,0,0,0
6,NYG,Paul Perkins,PerkPa00,2016-11-06,2016,9,REG,0,11,32,0,3,3,15,0,22,14
7,NYG,Paul Perkins,PerkPa00,2016-11-14,2016,10,REG,0,9,31,0,3,0,0,0,30,14
8,NYG,Paul Perkins,PerkPa00,2016-11-20,2016,11,REG,0,4,16,0,2,2,19,0,20,15
9,NYG,Paul Perkins,PerkPa00,2016-11-27,2016,12,REG,0,9,29,0,2,2,14,0,22,15
10,NYG,Paul Perkins,PerkPa00,2016-12-04,2016,13,REG,0,7,38,0,0,0,0,0,23,15
11,NYG,Paul Perkins,PerkPa00,2016-12-11,2016,14,REG,0,15,45,0,1,1,0,0,25,13
12,NYG,Paul Perkins,PerkPa00,2016-12-18,2016,15,REG,0,11,56,0,1,0,0,0,25,13
13,NYG,Paul Perkins,PerkPa00,2016-12-22,2016,16,REG,0,15,68,0,2,1,9,0,34,16
14,NYG,Paul Perkins,PerkPa00,2017-01-01,2016,17,REG,1,21,102,0,2,0,0,0,37,8
15,NYG,Paul Perkins,PerkPa00,2017-01-08,2016,18,POST,1,10,30,0,5,3,27,0,36,8
16,NYG,Paul Perkins,PerkPa00,2017-09-10,2017,1,REG,1,7,16,0,3,2,9,0,18,0
17,NYG,Paul Perkins,PerkPa00,2017-09-18,2017,2,REG,1,7,10,0,2,2,12,0,28,0
18,NYG,Paul Perkins,PerkPa00,2017-09-24,2017,3,REG,1,9,22,0,2,2,8,0,35,0
19,NYG,Paul Perkins,PerkPa00,2017-10-01,2017,4,REG,1,9,13,0,2,1,6,0,27,0
0,NYG,Paul Perkins,PerkPa00,2017-10-08,2017,5,DNP,0,0,0,0,0,0,0,0,0,0
0,NYG,Paul Perkins,PerkPa00,2017-10-15,2017,6,DNP,0,0,0,0,0,0,0,0,0,0
0,NYG,Paul Perkins,PerkPa00,2017-10-22,2017,7,DNP,0,0,0,0,0,0,0,0,0,0
0,NYG,Paul Perkins,PerkPa00,1970-01-01,2017,8,BYE,0,0,0,0,0,0,0,0,0,0
20,NYG,Paul Perkins,PerkPa00,2017-11-05,2017,9,REG,0,0,0,0,0,0,0,0,0,21
21,NYG,Paul Perkins,PerkPa00,2017-11-12,2017,10,REG,0,0,0,0,0,0,0,0,0,14
0,NYG,Paul Perkins,PerkPa00,2017-11-19,2017,11,DNP,0,0,0,0,0,0,0,0,0,0
22,NYG,Paul Perkins,PerkPa00,2017-11-23,2017,12,REG,0,0,0,0,0,0,0,0,1,13
23,NYG,Paul Perkins,PerkPa00,2017-12-03,2017,13,REG,0,3,12,0,0,0,0,0,4,12
24,NYG,Paul Perkins,PerkPa00,2017-12-10,2017,14,REG,0,0,0,0,0,0,0,0,0,13
0,NYG,Paul Perkins,PerkPa00,2017-12-17,2017,15,DNP,0,0,0,0,0,0,0,0,0,0
25,NYG,Paul Perkins,PerkPa00,2017-12-24,2017,16,REG,0,3,10,0,0,0,0,0,3,13
26,NYG,Paul Perkins,PerkPa00,2017-12-31,2017,17,REG,0,3,7,0,1,1,11,0,7,15
0,NYG,Paul Perkins,PerkPa00,2018-09-09,2018,1,DNP,0,0,0,0,0,0,0,0,0,0
0,NYG,Paul Perkins,PerkPa00,2018-09-16,2018,2,DNP,0,0,0,0,0,0,0,0,0,0
0,NYG,Paul Perkins,PerkPa00,2018-09-23,2018,3,DNP,0,0,0,0,0,0,0,0,0,0
0,NYG,Paul Perkins,PerkPa00,2018-09-30,2018,4,DNP,0,0,0,0,0,0,0,0,0,0
0,NYG,Paul Perkins,PerkPa00,2018-10-07,2018,5,DNP,0,0,0,0,0,0,0,0,0,0
0,NYG,Paul Perkins,PerkPa00,2018-10-11,2018,6,DNP,0,0,0,0,0,0,0,0,0,0
0,NYG,Paul Perkins,PerkPa00,2018-10-22,2018,7,DNP,0,0,0,0,0,0,0,0,0,0
