CarGm,Team,Player,pfr_id,Date,Season,Week,Season_type,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp
1,TAM,Peyton Barber,BarbPe01,2016-09-11,2016,1,REG,0,0,0,0,0,0,0,0,0,13
0,TAM,Peyton Barber,BarbPe01,2016-09-18,2016,2,DNP,0,0,0,0,0,0,0,0,0,0
2,TAM,Peyton Barber,BarbPe01,2016-09-25,2016,3,REG,0,0,0,0,0,0,0,0,0,13
3,TAM,Peyton Barber,BarbPe01,2016-10-02,2016,4,REG,0,0,0,0,0,0,0,0,0,19
4,TAM,Peyton Barber,BarbPe01,2016-10-10,2016,5,REG,0,3,6,0,0,0,0,0,5,10
0,TAM,Peyton Barber,BarbPe01,,2016,6,BYE,0,0,0,0,0,0,0,0,0,0
5,TAM,Peyton Barber,BarbPe01,2016-10-23,2016,7,REG,0,12,84,1,0,0,0,0,17,12
6,TAM,Peyton Barber,BarbPe01,2016-10-30,2016,8,REG,0,1,1,0,0,0,0,0,3,18
7,TAM,Peyton Barber,BarbPe01,2016-11-03,2016,9,REG,1,11,31,0,5,4,24,0,36,0
8,TAM,Peyton Barber,BarbPe01,2016-11-13,2016,10,REG,0,12,38,0,0,0,0,0,21,1
9,TAM,Peyton Barber,BarbPe01,2016-11-20,2016,11,REG,0,4,22,0,0,0,0,0,10,0
10,TAM,Peyton Barber,BarbPe01,2016-11-27,2016,12,REG,0,5,16,0,1,1,4,0,14,1
11,TAM,Peyton Barber,BarbPe01,2016-12-04,2016,13,REG,0,2,6,0,0,0,0,0,9,10
12,TAM,Peyton Barber,BarbPe01,2016-12-11,2016,14,REG,0,0,0,0,0,0,0,0,1,14
13,TAM,Peyton Barber,BarbPe01,2016-12-18,2016,15,REG,0,0,0,0,0,0,0,0,0,18
14,TAM,Peyton Barber,BarbPe01,2016-12-24,2016,16,REG,0,0,0,0,0,0,0,0,0,16
15,TAM,Peyton Barber,BarbPe01,2017-01-01,2016,17,REG,0,5,19,0,0,0,0,0,20,15
0,TAM,Peyton Barber,BarbPe01,,2017,1,BYE,0,0,0,0,0,0,0,0,0,0
16,TAM,Peyton Barber,BarbPe01,2017-09-17,2017,2,REG,0,10,47,0,0,0,0,0,16,9
17,TAM,Peyton Barber,BarbPe01,2017-09-24,2017,3,REG,0,0,0,0,0,0,0,0,0,19
18,TAM,Peyton Barber,BarbPe01,2017-10-01,2017,4,REG,0,2,2,0,0,0,0,0,4,19
19,TAM,Peyton Barber,BarbPe01,2017-10-05,2017,5,REG,0,0,0,0,0,0,0,0,0,18
20,TAM,Peyton Barber,BarbPe01,2017-10-15,2017,6,REG,0,0,0,0,0,0,0,0,0,19
21,TAM,Peyton Barber,BarbPe01,2017-10-22,2017,7,REG,0,0,0,0,0,0,0,0,3,17
22,TAM,Peyton Barber,BarbPe01,2017-10-29,2017,8,REG,0,0,0,0,0,0,0,0,3,19
23,TAM,Peyton Barber,BarbPe01,2017-11-05,2017,9,REG,0,11,34,0,3,2,20,0,23,18
24,TAM,Peyton Barber,BarbPe01,2017-11-12,2017,10,REG,0,2,-2,0,0,0,0,0,7,18
25,TAM,Peyton Barber,BarbPe01,2017-11-19,2017,11,REG,0,0,0,0,2,2,11,0,3,18
26,TAM,Peyton Barber,BarbPe01,2017-11-26,2017,12,REG,0,5,7,2,0,0,0,0,10,16
27,TAM,Peyton Barber,BarbPe01,2017-12-03,2017,13,REG,1,23,102,0,4,4,41,0,52,0
