CarGm,Team,Player,pfr_id,Date,Season,Week,Season_type,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp
0,NWE,Pierre Strong,StroPi00,2022-09-11,2022,1,DNP,0,0,0,0,0,0,0,0,0,0
1,NWE,Pierre Strong,StroPi00,2022-09-18,2022,2,REG,0,0,0,0,0,0,0,0,3,5
2,NWE,Pierre Strong,StroPi00,2022-09-25,2022,3,REG,0,0,0,0,0,0,0,0,0,2
3,NWE,Pierre Strong,StroPi00,2022-10-02,2022,4,REG,0,0,0,0,0,0,0,0,0,4
0,NWE,Pierre Strong,StroPi00,2022-10-09,2022,5,DNP,0,0,0,0,0,0,0,0,0,0
4,NWE,Pierre Strong,StroPi00,2022-10-16,2022,6,REG,0,1,5,0,0,0,0,0,4,9
5,NWE,Pierre Strong,StroPi00,2022-10-24,2022,7,REG,0,0,0,0,0,0,0,0,3,2
6,NWE,Pierre Strong,StroPi00,2022-10-30,2022,8,REG,0,0,0,0,0,0,0,0,0,13
7,NWE,Pierre Strong,StroPi00,2022-11-06,2022,9,REG,0,0,0,0,0,0,0,0,0,18
0,NWE,Pierre Strong,StroPi00,1970-01-01,2022,10,BYE,0,0,0,0,0,0,0,0,0,0
8,NWE,Pierre Strong,StroPi00,2022-11-20,2022,11,REG,0,0,0,0,0,0,0,0,0,16
9,NWE,Pierre Strong,StroPi00,2022-11-24,2022,12,REG,0,0,0,0,0,0,0,0,0,17
10,NWE,Pierre Strong,StroPi00,2022-12-01,2022,13,REG,0,0,0,0,0,0,0,0,0,9
11,NWE,Pierre Strong,StroPi00,2022-12-12,2022,14,REG,0,5,70,1,2,2,20,0,19,7
12,NWE,Pierre Strong,StroPi00,2022-12-18,2022,15,REG,0,4,25,0,3,3,12,0,17,13
13,NWE,Pierre Strong,StroPi00,2022-12-24,2022,16,REG,0,0,0,0,2,2,10,0,2,10
14,NWE,Pierre Strong,StroPi00,2023-01-01,2022,17,REG,0,0,0,0,0,0,0,0,2,13
15,NWE,Pierre Strong,StroPi00,2023-01-08,2022,18,REG,0,0,0,0,0,0,0,0,1,5
16,CLE,Pierre Strong,StroPi00,2023-09-10,2023,1,REG,0,0,0,0,0,0,0,0,0,13
