CarGm,Team,Player,pfr_id,Date,Season,Week,Season_type,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp
0,ATL,Qadree Ollison,OlliQa00,2019-09-08,2019,1,DNP,0,0,0,0,0,0,0,0,0,0
0,ATL,Qadree Ollison,OlliQa00,2019-09-15,2019,2,DNP,0,0,0,0,0,0,0,0,0,0
0,ATL,Qadree Ollison,OlliQa00,2019-09-22,2019,3,DNP,0,0,0,0,0,0,0,0,0,0
0,ATL,Qadree Ollison,OlliQa00,2019-09-29,2019,4,DNP,0,0,0,0,0,0,0,0,0,0
0,ATL,Qadree Ollison,OlliQa00,2019-10-06,2019,5,DNP,0,0,0,0,0,0,0,0,0,0
0,ATL,Qadree Ollison,OlliQa00,2019-10-13,2019,6,DNP,0,0,0,0,0,0,0,0,0,0
0,ATL,Qadree Ollison,OlliQa00,2019-10-20,2019,7,DNP,0,0,0,0,0,0,0,0,0,0
0,ATL,Qadree Ollison,OlliQa00,2019-10-27,2019,8,DNP,0,0,0,0,0,0,0,0,0,0
0,ATL,Qadree Ollison,OlliQa00,1970-01-01,2019,9,BYE,0,0,0,0,0,0,0,0,0,0
1,ATL,Qadree Ollison,OlliQa00,2019-11-10,2019,10,REG,0,0,0,0,0,0,0,0,0,6
2,ATL,Qadree Ollison,OlliQa00,2019-11-17,2019,11,REG,0,4,11,1,1,0,0,0,12,9
3,ATL,Qadree Ollison,OlliQa00,2019-11-24,2019,12,REG,0,8,20,1,1,1,7,0,22,18
4,ATL,Qadree Ollison,OlliQa00,2019-11-28,2019,13,REG,0,0,0,0,0,0,0,0,0,13
5,ATL,Qadree Ollison,OlliQa00,2019-12-08,2019,14,REG,0,4,6,0,0,0,0,0,10,18
6,ATL,Qadree Ollison,OlliQa00,2019-12-15,2019,15,REG,0,1,1,1,0,0,0,0,1,15
7,ATL,Qadree Ollison,OlliQa00,2019-12-22,2019,16,REG,0,1,3,1,0,0,0,0,1,10
8,ATL,Qadree Ollison,OlliQa00,2019-12-29,2019,17,REG,0,4,9,0,0,0,0,0,10,9
0,ATL,Qadree Ollison,OlliQa00,2020-09-13,2020,1,DNP,0,0,0,0,0,0,0,0,0,0
0,ATL,Qadree Ollison,OlliQa00,2020-09-20,2020,2,DNP,0,0,0,0,0,0,0,0,0,0
9,ATL,Qadree Ollison,OlliQa00,2020-09-27,2020,3,REG,0,0,0,0,0,0,0,0,0,11
0,ATL,Qadree Ollison,OlliQa00,2020-10-05,2020,4,DNP,0,0,0,0,0,0,0,0,0,0
0,ATL,Qadree Ollison,OlliQa00,2020-10-11,2020,5,DNP,0,0,0,0,0,0,0,0,0,0
0,ATL,Qadree Ollison,OlliQa00,2020-10-18,2020,6,DNP,0,0,0,0,0,0,0,0,0,0
0,ATL,Qadree Ollison,OlliQa00,2020-10-25,2020,7,DNP,0,0,0,0,0,0,0,0,0,0
10,ATL,Qadree Ollison,OlliQa00,2020-10-29,2020,8,REG,0,1,3,0,0,0,0,0,8,4
