CarGm,Team,Player,pfr_id,Date,Season,Week,Season_type,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp
0,TEN,Quinton Ganther,GantQu00,2006-09-10,2006,1,DNP,0,0,0,0,0,0,0,0,0,0
1,TEN,Quinton Ganther,GantQu00,2006-09-17,2006,2,REG,0,0,0,0,0,0,0,0,0,0
2,TEN,Quinton Ganther,GantQu00,2006-09-24,2006,3,REG,0,0,0,0,0,0,0,0,0,0
0,TEN,Quinton Ganther,GantQu00,2006-10-01,2006,4,DNP,0,0,0,0,0,0,0,0,0,0
0,TEN,Quinton Ganther,GantQu00,2006-10-08,2006,5,DNP,0,0,0,0,0,0,0,0,0,0
0,TEN,Quinton Ganther,GantQu00,2006-10-15,2006,6,DNP,0,0,0,0,0,0,0,0,0,0
0,TEN,Quinton Ganther,GantQu00,1970-01-01,2006,7,BYE,0,0,0,0,0,0,0,0,0,0
0,TEN,Quinton Ganther,GantQu00,2006-10-29,2006,8,DNP,0,0,0,0,0,0,0,0,0,0
0,TEN,Quinton Ganther,GantQu00,2006-11-05,2006,9,DNP,0,0,0,0,0,0,0,0,0,0
0,TEN,Quinton Ganther,GantQu00,2006-11-12,2006,10,DNP,0,0,0,0,0,0,0,0,0,0
0,TEN,Quinton Ganther,GantQu00,2006-11-19,2006,11,DNP,0,0,0,0,0,0,0,0,0,0
0,TEN,Quinton Ganther,GantQu00,2006-11-26,2006,12,DNP,0,0,0,0,0,0,0,0,0,0
0,TEN,Quinton Ganther,GantQu00,2006-12-03,2006,13,DNP,0,0,0,0,0,0,0,0,0,0
0,TEN,Quinton Ganther,GantQu00,2006-12-10,2006,14,DNP,0,0,0,0,0,0,0,0,0,0
0,TEN,Quinton Ganther,GantQu00,2006-12-17,2006,15,DNP,0,0,0,0,0,0,0,0,0,0
0,TEN,Quinton Ganther,GantQu00,2006-12-24,2006,16,DNP,0,0,0,0,0,0,0,0,0,0
0,TEN,Quinton Ganther,GantQu00,2006-12-31,2006,17,DNP,0,0,0,0,0,0,0,0,0,0
0,TEN,Quinton Ganther,GantQu00,2007-09-09,2007,1,DNP,0,0,0,0,0,0,0,0,0,0
0,TEN,Quinton Ganther,GantQu00,2007-09-16,2007,2,DNP,0,0,0,0,0,0,0,0,0,0
0,TEN,Quinton Ganther,GantQu00,2007-09-24,2007,3,DNP,0,0,0,0,0,0,0,0,0,0
0,TEN,Quinton Ganther,GantQu00,1970-01-01,2007,4,BYE,0,0,0,0,0,0,0,0,0,0
0,TEN,Quinton Ganther,GantQu00,2007-10-07,2007,5,DNP,0,0,0,0,0,0,0,0,0,0
0,TEN,Quinton Ganther,GantQu00,2007-10-14,2007,6,DNP,0,0,0,0,0,0,0,0,0,0
3,TEN,Quinton Ganther,GantQu00,2007-10-21,2007,7,REG,0,0,0,0,0,0,0,0,0,0
4,TEN,Quinton Ganther,GantQu00,2007-10-28,2007,8,REG,0,0,0,0,1,0,0,0,0,0
0,TEN,Quinton Ganther,GantQu00,2007-11-04,2007,9,DNP,0,0,0,0,0,0,0,0,0,0
0,TEN,Quinton Ganther,GantQu00,2007-11-11,2007,10,DNP,0,0,0,0,0,0,0,0,0,0
0,TEN,Quinton Ganther,GantQu00,2007-11-19,2007,11,DNP,0,0,0,0,0,0,0,0,0,0
0,TEN,Quinton Ganther,GantQu00,2007-11-25,2007,12,DNP,0,0,0,0,0,0,0,0,0,0
0,TEN,Quinton Ganther,GantQu00,2007-12-02,2007,13,DNP,0,0,0,0,0,0,0,0,0,0
0,TEN,Quinton Ganther,GantQu00,2007-12-09,2007,14,DNP,0,0,0,0,0,0,0,0,0,0
0,TEN,Quinton Ganther,GantQu00,2007-12-16,2007,15,DNP,0,0,0,0,0,0,0,0,0,0
0,TEN,Quinton Ganther,GantQu00,2007-12-23,2007,16,DNP,0,0,0,0,0,0,0,0,0,0
0,TEN,Quinton Ganther,GantQu00,2007-12-30,2007,17,DNP,0,0,0,0,0,0,0,0,0,0
0,TEN,Quinton Ganther,GantQu00,2008-09-07,2008,1,DNP,0,0,0,0,0,0,0,0,0,0
0,TEN,Quinton Ganther,GantQu00,2008-09-14,2008,2,DNP,0,0,0,0,0,0,0,0,0,0
5,TEN,Quinton Ganther,GantQu00,2008-09-21,2008,3,REG,0,0,0,0,0,0,0,0,0,0
6,TEN,Quinton Ganther,GantQu00,2008-09-28,2008,4,REG,0,0,0,0,0,0,0,0,0,0
7,TEN,Quinton Ganther,GantQu00,2008-10-05,2008,5,REG,0,0,0,0,0,0,0,0,0,0
0,TEN,Quinton Ganther,GantQu00,1970-01-01,2008,6,BYE,0,0,0,0,0,0,0,0,0,0
8,TEN,Quinton Ganther,GantQu00,2008-10-19,2008,7,REG,0,2,11,0,0,0,0,0,0,0
9,TEN,Quinton Ganther,GantQu00,2008-10-27,2008,8,REG,0,0,0,0,0,0,0,0,0,0
10,TEN,Quinton Ganther,GantQu00,2008-11-02,2008,9,REG,0,0,0,0,0,0,0,0,0,0
