CarGm,Team,Player,pfr_id,Date,Season,Week,Season_type,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp
0,BAL,Rasheen Ali,AlixRa00,2024-09-05,2024,1,DNP,0,0,0,0,0,0,0,0,0,0
0,BAL,Rasheen Ali,AlixRa00,2024-09-15,2024,2,DNP,0,0,0,0,0,0,0,0,0,0
0,BAL,Rasheen Ali,AlixRa00,2024-09-22,2024,3,DNP,0,0,0,0,0,0,0,0,0,0
0,BAL,Rasheen Ali,AlixRa00,2024-09-29,2024,4,DNP,0,0,0,0,0,0,0,0,0,0
0,BAL,Rasheen Ali,AlixRa00,2024-10-06,2024,5,DNP,0,0,0,0,0,0,0,0,0,0
1,BAL,Rasheen Ali,AlixRa00,2024-10-13,2024,6,REG,0,0,0,0,0,0,0,0,0,9
0,BAL,Rasheen Ali,AlixRa00,2024-10-21,2024,7,DNP,0,0,0,0,0,0,0,0,0,0
0,BAL,Rasheen Ali,AlixRa00,2024-10-27,2024,8,DNP,0,0,0,0,0,0,0,0,0,0
0,BAL,Rasheen Ali,AlixRa00,2024-11-03,2024,9,DNP,0,0,0,0,0,0,0,0,0,0
0,BAL,Rasheen Ali,AlixRa00,2024-11-07,2024,10,DNP,0,0,0,0,0,0,0,0,0,0
0,BAL,Rasheen Ali,AlixRa00,2024-11-17,2024,11,DNP,0,0,0,0,0,0,0,0,0,0
0,BAL,Rasheen Ali,AlixRa00,2024-11-25,2024,12,DNP,0,0,0,0,0,0,0,0,0,0
2,BAL,Rasheen Ali,AlixRa00,2024-12-01,2024,13,REG,0,0,0,0,0,0,0,0,0,13
0,BAL,Rasheen Ali,AlixRa00,1970-01-01,2024,14,BYE,0,0,0,0,0,0,0,0,0,0
3,BAL,Rasheen Ali,AlixRa00,2024-12-15,2024,15,REG,0,8,32,0,0,0,0,0,10,7
4,BAL,Rasheen Ali,AlixRa00,2024-12-21,2024,16,REG,0,1,2,0,0,0,0,0,9,6
5,BAL,Rasheen Ali,AlixRa00,2024-12-25,2024,17,REG,0,1,-3,0,0,0,0,0,5,2
6,BAL,Rasheen Ali,AlixRa00,2025-01-04,2024,18,REG,0,0,0,0,2,0,0,0,5,3
7,BAL,Rasheen Ali,AlixRa00,2025-09-07,2025,1,REG,0,1,5,0,0,0,0,0,1,21
