CarGm,Team,Player,pfr_id,Date,Season,Week,Season_type,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp
1,DEN,Reggie Rivers,RiveRe00,1991-09-01,1991,1,REG,0,0,0,0,0,0,0,0,0,0
2,DEN,Reggie Rivers,RiveRe00,1991-09-08,1991,2,REG,0,0,0,0,1,0,0,0,0,0
3,DEN,Reggie Rivers,RiveRe00,1991-09-15,1991,3,REG,0,0,0,0,0,0,0,0,0,0
4,DEN,Reggie Rivers,RiveRe00,1991-09-22,1991,4,REG,0,1,3,0,0,0,0,0,0,0
5,DEN,Reggie Rivers,RiveRe00,1991-09-29,1991,5,REG,0,0,0,0,0,0,0,0,0,0
6,DEN,Reggie Rivers,RiveRe00,1991-10-06,1991,6,REG,0,0,0,0,0,0,0,0,0,0
0,DEN,Reggie Rivers,RiveRe00,,1991,7,BYE,0,0,0,0,0,0,0,0,0,0
7,DEN,Reggie Rivers,RiveRe00,1991-10-20,1991,8,REG,0,0,0,0,0,0,0,0,0,0
8,DEN,Reggie Rivers,RiveRe00,1991-10-27,1991,9,REG,0,0,0,0,0,0,0,0,0,0
9,DEN,Reggie Rivers,RiveRe00,1991-11-03,1991,10,REG,0,0,0,0,0,0,0,0,0,0
10,DEN,Reggie Rivers,RiveRe00,1991-11-10,1991,11,REG,0,0,0,0,0,0,0,0,0,0
11,DEN,Reggie Rivers,RiveRe00,1991-11-17,1991,12,REG,0,0,0,0,0,0,0,0,0,0
12,DEN,Reggie Rivers,RiveRe00,1991-11-24,1991,13,REG,0,0,0,0,0,0,0,0,0,0
13,DEN,Reggie Rivers,RiveRe00,1991-12-01,1991,14,REG,0,0,0,0,0,0,0,0,0,0
14,DEN,Reggie Rivers,RiveRe00,1991-12-08,1991,15,REG,0,0,0,0,0,0,0,0,0,0
15,DEN,Reggie Rivers,RiveRe00,1991-12-15,1991,16,REG,0,1,2,0,0,0,0,0,0,0
16,DEN,Reggie Rivers,RiveRe00,1991-12-22,1991,17,REG,0,0,0,0,0,0,0,0,0,0
17,DEN,Reggie Rivers,RiveRe00,1992-01-04,1991,19,POST,0,1,3,0,0,0,0,0,0,0
18,DEN,Reggie Rivers,RiveRe00,1992-01-12,1991,20,POST,0,0,0,0,0,0,0,0,0,0
19,DEN,Reggie Rivers,RiveRe00,1992-09-06,1992,1,REG,0,1,1,1,1,1,24,0,0,0
20,DEN,Reggie Rivers,RiveRe00,1992-09-13,1992,2,REG,0,4,21,0,0,0,0,0,0,0
21,DEN,Reggie Rivers,RiveRe00,1992-09-20,1992,3,REG,0,2,0,0,0,0,0,0,0,0
22,DEN,Reggie Rivers,RiveRe00,1992-09-27,1992,4,REG,0,8,66,0,2,1,17,0,0,0
23,DEN,Reggie Rivers,RiveRe00,1992-10-04,1992,5,REG,0,6,34,0,3,2,14,0,0,0
24,DEN,Reggie Rivers,RiveRe00,1992-10-12,1992,6,REG,0,4,5,0,1,1,7,0,0,0
25,DEN,Reggie Rivers,RiveRe00,1992-10-18,1992,7,REG,0,1,20,1,2,2,17,0,0,0
26,DEN,Reggie Rivers,RiveRe00,1992-10-25,1992,8,REG,0,3,12,0,11,9,76,0,0,0
0,DEN,Reggie Rivers,RiveRe00,,1992,9,BYE,0,0,0,0,0,0,0,0,0,0
27,DEN,Reggie Rivers,RiveRe00,1992-11-08,1992,10,REG,1,7,27,0,3,3,13,0,0,0
28,DEN,Reggie Rivers,RiveRe00,1992-11-15,1992,11,REG,0,5,6,1,6,5,70,0,0,0
29,DEN,Reggie Rivers,RiveRe00,1992-11-22,1992,12,REG,0,5,8,0,6,5,46,0,0,0
30,DEN,Reggie Rivers,RiveRe00,1992-11-30,1992,13,REG,1,9,12,0,5,1,16,0,0,0
31,DEN,Reggie Rivers,RiveRe00,1992-12-06,1992,14,REG,0,3,8,0,8,4,38,1,0,0
32,DEN,Reggie Rivers,RiveRe00,1992-12-12,1992,15,REG,0,8,21,0,6,2,22,0,0,0
33,DEN,Reggie Rivers,RiveRe00,1992-12-20,1992,16,REG,1,4,17,0,7,7,51,0,0,0
34,DEN,Reggie Rivers,RiveRe00,1992-12-27,1992,17,REG,0,4,24,0,2,2,38,0,0,0
35,DEN,Reggie Rivers,RiveRe00,1993-09-05,1993,1,REG,1,1,0,0,1,1,9,0,0,0
36,DEN,Reggie Rivers,RiveRe00,1993-09-12,1993,2,REG,1,2,3,0,3,2,24,1,0,0
37,DEN,Reggie Rivers,RiveRe00,1993-09-20,1993,3,REG,0,0,0,0,1,1,2,0,0,0
0,DEN,Reggie Rivers,RiveRe00,,1993,4,BYE,0,0,0,0,0,0,0,0,0,0
38,DEN,Reggie Rivers,RiveRe00,1993-10-03,1993,5,REG,0,1,4,0,0,0,0,0,0,0
39,DEN,Reggie Rivers,RiveRe00,1993-10-10,1993,6,REG,0,0,0,0,0,0,0,0,0,0
40,DEN,Reggie Rivers,RiveRe00,1993-10-18,1993,7,REG,0,0,0,0,0,0,0,0,0,0
0,DEN,Reggie Rivers,RiveRe00,,1993,8,BYE,0,0,0,0,0,0,0,0,0,0
