CarGm,Team,Player,pfr_id,Date,Season,Week,Season_type,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp
1,MIA,Rob Konrad,KonrRo00,1999-09-13,1999,1,REG,1,2,7,0,3,3,26,1,0,0
2,MIA,Rob Konrad,KonrRo00,1999-09-19,1999,2,REG,1,3,3,0,5,2,12,0,0,0
0,MIA,Rob Konrad,KonrRo00,,1999,3,BYE,0,0,0,0,0,0,0,0,0,0
3,MIA,Rob Konrad,KonrRo00,1999-10-04,1999,4,REG,1,0,0,0,4,3,48,0,0,0
4,MIA,Rob Konrad,KonrRo00,1999-10-10,1999,5,REG,1,1,0,0,7,4,33,0,0,0
5,MIA,Rob Konrad,KonrRo00,1999-10-17,1999,6,REG,1,1,3,0,1,1,3,0,0,0
0,MIA,Rob Konrad,KonrRo00,1999-10-24,1999,7,DNP,0,0,0,0,0,0,0,0,0,0
6,MIA,Rob Konrad,KonrRo00,1999-10-31,1999,8,REG,0,0,0,0,2,1,11,0,0,0
7,MIA,Rob Konrad,KonrRo00,1999-11-07,1999,9,REG,1,0,0,0,3,1,8,0,0,0
8,MIA,Rob Konrad,KonrRo00,1999-11-14,1999,10,REG,1,1,1,0,3,1,2,0,0,0
9,MIA,Rob Konrad,KonrRo00,1999-11-21,1999,11,REG,1,0,0,0,4,2,0,0,0,0
10,MIA,Rob Konrad,KonrRo00,1999-11-25,1999,12,REG,0,0,0,0,8,2,7,0,0,0
11,MIA,Rob Konrad,KonrRo00,1999-12-05,1999,13,REG,0,0,0,0,1,0,0,0,0,0
12,MIA,Rob Konrad,KonrRo00,1999-12-12,1999,14,REG,1,0,0,0,8,3,29,0,0,0
13,MIA,Rob Konrad,KonrRo00,1999-12-19,1999,15,REG,0,0,0,0,2,0,0,0,0,0
14,MIA,Rob Konrad,KonrRo00,1999-12-27,1999,16,REG,0,0,0,0,3,1,4,0,0,0
15,MIA,Rob Konrad,KonrRo00,2000-01-02,1999,17,REG,0,1,2,0,12,10,68,0,0,0
16,MIA,Rob Konrad,KonrRo00,2000-01-09,1999,18,POST,1,0,0,0,1,1,7,0,0,0
17,MIA,Rob Konrad,KonrRo00,2000-01-15,1999,19,POST,0,0,0,0,4,3,30,0,0,0
18,MIA,Rob Konrad,KonrRo00,2000-09-03,2000,1,REG,1,7,19,0,2,2,6,0,0,0
19,MIA,Rob Konrad,KonrRo00,2000-09-10,2000,2,REG,1,0,0,0,3,0,0,0,0,0
20,MIA,Rob Konrad,KonrRo00,2000-09-17,2000,3,REG,1,0,0,0,0,0,0,0,0,0
21,MIA,Rob Konrad,KonrRo00,2000-09-24,2000,4,REG,1,0,0,0,3,2,11,0,0,0
22,MIA,Rob Konrad,KonrRo00,2000-10-01,2000,5,REG,1,0,0,0,0,0,0,0,0,0
0,MIA,Rob Konrad,KonrRo00,2000-10-08,2000,6,DNP,0,0,0,0,0,0,0,0,0,0
0,MIA,Rob Konrad,KonrRo00,,2000,7,BYE,0,0,0,0,0,0,0,0,0,0
23,MIA,Rob Konrad,KonrRo00,2000-10-23,2000,8,REG,1,5,11,0,1,1,7,0,0,0
24,MIA,Rob Konrad,KonrRo00,2000-10-29,2000,9,REG,1,0,0,0,2,1,-1,0,0,0
25,MIA,Rob Konrad,KonrRo00,2000-11-05,2000,10,REG,1,3,9,0,3,2,10,0,0,0
26,MIA,Rob Konrad,KonrRo00,2000-11-12,2000,11,REG,0,0,0,0,1,1,5,0,0,0
27,MIA,Rob Konrad,KonrRo00,2000-11-19,2000,12,REG,1,0,0,0,3,2,6,0,0,0
28,MIA,Rob Konrad,KonrRo00,2000-11-26,2000,13,REG,1,0,0,0,0,0,0,0,0,0
29,MIA,Rob Konrad,KonrRo00,2000-12-03,2000,14,REG,1,0,0,0,2,1,18,0,0,0
30,MIA,Rob Konrad,KonrRo00,2000-12-10,2000,15,REG,1,0,0,0,2,2,21,0,0,0
31,MIA,Rob Konrad,KonrRo00,2000-12-17,2000,16,REG,1,0,0,0,1,0,0,0,0,0
32,MIA,Rob Konrad,KonrRo00,2000-12-24,2000,17,REG,1,0,0,0,1,0,0,0,0,0
33,MIA,Rob Konrad,KonrRo00,2000-12-30,2000,18,POST,0,0,0,0,2,0,0,0,0,0
34,MIA,Rob Konrad,KonrRo00,2001-01-06,2000,19,POST,1,0,0,0,0,0,0,0,0,0
35,MIA,Rob Konrad,KonrRo00,2001-09-09,2001,1,REG,1,0,0,0,1,0,0,0,0,0
36,MIA,Rob Konrad,KonrRo00,2001-09-23,2001,2,REG,1,0,0,0,0,0,0,0,0,0
0,MIA,Rob Konrad,KonrRo00,2001-09-30,2001,3,DNP,0,0,0,0,0,0,0,0,0,0
0,MIA,Rob Konrad,KonrRo00,2001-10-07,2001,4,DNP,0,0,0,0,0,0,0,0,0,0
37,MIA,Rob Konrad,KonrRo00,2001-10-14,2001,5,REG,0,0,0,0,0,0,0,0,0,0
0,MIA,Rob Konrad,KonrRo00,,2001,6,BYE,0,0,0,0,0,0,0,0,0,0
38,MIA,Rob Konrad,KonrRo00,2001-10-28,2001,7,REG,0,0,0,0,1,1,15,0,0,0
39,MIA,Rob Konrad,KonrRo00,2001-11-04,2001,8,REG,1,1,1,0,3,2,13,1,0,0
40,MIA,Rob Konrad,KonrRo00,2001-11-11,2001,9,REG,1,1,2,0,2,0,0,0,0,0
41,MIA,Rob Konrad,KonrRo00,2001-11-18,2001,10,REG,1,0,0,0,1,0,0,0,0,0
42,MIA,Rob Konrad,KonrRo00,2001-11-25,2001,11,REG,1,0,0,0,0,0,0,0,0,0
43,MIA,Rob Konrad,KonrRo00,2001-12-02,2001,12,REG,0,0,0,0,0,0,0,0,0,0
44,MIA,Rob Konrad,KonrRo00,2001-12-10,2001,13,REG,1,3,19,1,3,1,17,0,0,0
45,MIA,Rob Konrad,KonrRo00,2001-12-16,2001,14,REG,1,0,0,0,0,0,0,0,0,0
46,MIA,Rob Konrad,KonrRo00,2001-12-22,2001,15,REG,1,0,0,0,2,1,7,0,0,0
0,MIA,Rob Konrad,KonrRo00,2001-12-30,2001,16,DNP,0,0,0,0,0,0,0,0,0,0
0,MIA,Rob Konrad,KonrRo00,2002-01-06,2001,17,DNP,0,0,0,0,0,0,0,0,0,0
47,MIA,Rob Konrad,KonrRo00,2002-09-08,2002,1,REG,1,1,-1,0,4,4,35,0,0,0
48,MIA,Rob Konrad,KonrRo00,2002-09-15,2002,2,REG,0,0,0,0,1,1,9,1,0,0
49,MIA,Rob Konrad,KonrRo00,2002-09-22,2002,3,REG,1,0,0,0,2,1,6,0,0,0
50,MIA,Rob Konrad,KonrRo00,2002-09-29,2002,4,REG,1,0,0,0,4,4,28,1,0,0
51,MIA,Rob Konrad,KonrRo00,2002-10-06,2002,5,REG,1,1,1,0,5,2,14,0,0,0
52,MIA,Rob Konrad,KonrRo00,2002-10-13,2002,6,REG,1,0,0,0,3,2,13,0,0,0
