CarGm,Team,Player,pfr_id,Date,Season,Week,Season_type,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp
0,SDG,Robert Chancey,ChanRo20,1997-08-31,1997,1,DNP,0,0,0,0,0,0,0,0,0,0
0,SDG,Robert Chancey,ChanRo20,1997-09-07,1997,2,DNP,0,0,0,0,0,0,0,0,0,0
0,SDG,Robert Chancey,ChanRo20,1997-09-14,1997,3,DNP,0,0,0,0,0,0,0,0,0,0
0,SDG,Robert Chancey,ChanRo20,1997-09-21,1997,4,DNP,0,0,0,0,0,0,0,0,0,0
0,SDG,Robert Chancey,ChanRo20,1997-09-28,1997,5,DNP,0,0,0,0,0,0,0,0,0,0
0,SDG,Robert Chancey,ChanRo20,1997-10-05,1997,6,DNP,0,0,0,0,0,0,0,0,0,0
0,SDG,Robert Chancey,ChanRo20,1970-01-01,1997,7,BYE,0,0,0,0,0,0,0,0,0,0
0,SDG,Robert Chancey,ChanRo20,1997-10-16,1997,8,DNP,0,0,0,0,0,0,0,0,0,0
0,SDG,Robert Chancey,ChanRo20,1997-10-26,1997,9,DNP,0,0,0,0,0,0,0,0,0,0
0,SDG,Robert Chancey,ChanRo20,1997-11-02,1997,10,DNP,0,0,0,0,0,0,0,0,0,0
1,SDG,Robert Chancey,ChanRo20,1997-11-09,1997,11,REG,0,0,0,0,0,0,0,0,0,0
2,SDG,Robert Chancey,ChanRo20,1997-11-16,1997,12,REG,0,0,0,0,0,0,0,0,0,0
3,SDG,Robert Chancey,ChanRo20,1997-11-23,1997,13,REG,0,0,0,0,0,0,0,0,0,0
4,SDG,Robert Chancey,ChanRo20,1997-11-30,1997,14,REG,0,0,0,0,0,0,0,0,0,0
0,SDG,Robert Chancey,ChanRo20,1997-12-07,1997,15,DNP,0,0,0,0,0,0,0,0,0,0
5,SDG,Robert Chancey,ChanRo20,1997-12-14,1997,16,REG,0,0,0,0,0,0,0,0,0,0
6,SDG,Robert Chancey,ChanRo20,1997-12-21,1997,17,REG,0,0,0,0,0,0,0,0,0,0
7,CHI,Robert Chancey,ChanRo20,1998-09-06,1998,1,REG,0,3,8,0,0,0,0,0,0,0
8,CHI,Robert Chancey,ChanRo20,1998-09-13,1998,2,REG,0,1,2,0,1,1,11,0,0,0
9,CHI,Robert Chancey,ChanRo20,1998-09-20,1998,3,REG,1,3,9,0,2,1,9,0,0,0
10,CHI,Robert Chancey,ChanRo20,1998-09-27,1998,4,REG,0,0,0,0,1,1,9,0,0,0
11,CHI,Robert Chancey,ChanRo20,1998-10-04,1998,5,REG,0,2,13,0,3,3,32,0,0,0
12,CHI,Robert Chancey,ChanRo20,1998-10-11,1998,6,REG,0,0,0,0,0,0,0,0,0,0
13,CHI,Robert Chancey,ChanRo20,1998-10-18,1998,7,REG,0,3,17,0,1,1,9,0,0,0
14,CHI,Robert Chancey,ChanRo20,1998-10-25,1998,8,REG,0,1,1,1,1,1,15,0,0,0
0,CHI,Robert Chancey,ChanRo20,1970-01-01,1998,9,BYE,0,0,0,0,0,0,0,0,0,0
15,CHI,Robert Chancey,ChanRo20,1998-11-08,1998,10,REG,0,1,14,0,0,0,0,0,0,0
16,CHI,Robert Chancey,ChanRo20,1998-11-15,1998,11,REG,0,1,4,0,2,0,0,0,0,0
17,CHI,Robert Chancey,ChanRo20,1998-11-22,1998,12,REG,0,2,12,0,0,0,0,0,0,0
18,CHI,Robert Chancey,ChanRo20,1998-11-29,1998,13,REG,0,2,9,0,0,0,0,0,0,0
19,CHI,Robert Chancey,ChanRo20,1998-12-06,1998,14,REG,0,0,0,0,0,0,0,0,0,0
20,CHI,Robert Chancey,ChanRo20,1998-12-13,1998,15,REG,0,0,0,0,1,1,6,0,0,0
21,CHI,Robert Chancey,ChanRo20,1998-12-20,1998,16,REG,0,6,14,1,1,1,8,0,0,0
22,CHI,Robert Chancey,ChanRo20,1998-12-27,1998,17,REG,0,4,19,0,2,1,3,0,0,0
0,DAL,Robert Chancey,ChanRo20,1999-09-12,1999,1,DNP,0,0,0,0,0,0,0,0,0,0
0,DAL,Robert Chancey,ChanRo20,1999-09-20,1999,2,DNP,0,0,0,0,0,0,0,0,0,0
0,DAL,Robert Chancey,ChanRo20,1970-01-01,1999,3,BYE,0,0,0,0,0,0,0,0,0,0
0,DAL,Robert Chancey,ChanRo20,1999-10-03,1999,4,DNP,0,0,0,0,0,0,0,0,0,0
0,DAL,Robert Chancey,ChanRo20,1999-10-10,1999,5,DNP,0,0,0,0,0,0,0,0,0,0
0,DAL,Robert Chancey,ChanRo20,1999-10-18,1999,6,DNP,0,0,0,0,0,0,0,0,0,0
0,DAL,Robert Chancey,ChanRo20,1999-10-24,1999,7,DNP,0,0,0,0,0,0,0,0,0,0
0,DAL,Robert Chancey,ChanRo20,1999-10-31,1999,8,DNP,0,0,0,0,0,0,0,0,0,0
0,DAL,Robert Chancey,ChanRo20,1999-11-08,1999,9,DNP,0,0,0,0,0,0,0,0,0,0
23,DAL,Robert Chancey,ChanRo20,1999-11-14,1999,10,REG,0,14,57,0,0,0,0,0,0,0
0,DAL,Robert Chancey,ChanRo20,1999-11-21,1999,11,DNP,0,0,0,0,0,0,0,0,0,0
24,DAL,Robert Chancey,ChanRo20,1999-11-25,1999,12,REG,0,0,0,0,0,0,0,0,0,0
25,DAL,Robert Chancey,ChanRo20,1999-12-05,1999,13,REG,0,0,0,0,0,0,0,0,0,0
0,DAL,Robert Chancey,ChanRo20,1999-12-12,1999,14,DNP,0,0,0,0,0,0,0,0,0,0
0,DAL,Robert Chancey,ChanRo20,1999-12-19,1999,15,DNP,0,0,0,0,0,0,0,0,0,0
0,DAL,Robert Chancey,ChanRo20,1999-12-24,1999,16,DNP,0,0,0,0,0,0,0,0,0,0
0,DAL,Robert Chancey,ChanRo20,2000-01-02,1999,17,DNP,0,0,0,0,0,0,0,0,0,0
26,SDG,Robert Chancey,ChanRo20,2000-09-03,2000,1,REG,1,23,74,1,1,1,6,0,0,0
27,SDG,Robert Chancey,ChanRo20,2000-09-10,2000,2,REG,1,15,59,1,1,0,0,0,0,0
28,SDG,Robert Chancey,ChanRo20,2000-09-17,2000,3,REG,1,4,8,0,0,0,0,0,0,0
0,SDG,Robert Chancey,ChanRo20,2000-09-24,2000,4,DNP,0,0,0,0,0,0,0,0,0,0
0,SDG,Robert Chancey,ChanRo20,2000-10-01,2000,5,DNP,0,0,0,0,0,0,0,0,0,0
0,SDG,Robert Chancey,ChanRo20,2000-10-08,2000,6,DNP,0,0,0,0,0,0,0,0,0,0
29,SDG,Robert Chancey,ChanRo20,2000-10-15,2000,7,REG,0,0,0,0,0,0,0,0,0,0
0,SDG,Robert Chancey,ChanRo20,1970-01-01,2000,8,BYE,0,0,0,0,0,0,0,0,0,0
0,SDG,Robert Chancey,ChanRo20,2000-10-29,2000,9,DNP,0,0,0,0,0,0,0,0,0,0
0,SDG,Robert Chancey,ChanRo20,2000-11-05,2000,10,DNP,0,0,0,0,0,0,0,0,0,0
0,SDG,Robert Chancey,ChanRo20,2000-11-12,2000,11,DNP,0,0,0,0,0,0,0,0,0,0
0,SDG,Robert Chancey,ChanRo20,2000-11-19,2000,12,DNP,0,0,0,0,0,0,0,0,0,0
0,SDG,Robert Chancey,ChanRo20,2000-11-26,2000,13,DNP,0,0,0,0,0,0,0,0,0,0
0,SDG,Robert Chancey,ChanRo20,2000-12-03,2000,14,DNP,0,0,0,0,0,0,0,0,0,0
0,SDG,Robert Chancey,ChanRo20,2000-12-10,2000,15,DNP,0,0,0,0,0,0,0,0,0,0
