CarGm,Team,Player,pfr_id,Date,Season,Week,Season_type,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp
1,WAS,Robert Green,GreeRo00,1992-09-07,1992,1,REG,0,0,0,0,0,0,0,0,0,0
2,WAS,Robert Green,GreeRo00,1992-09-13,1992,2,REG,0,0,0,0,0,0,0,0,0,0
3,WAS,Robert Green,GreeRo00,1992-09-20,1992,3,REG,0,0,0,0,0,0,0,0,0,0
0,WAS,Robert Green,GreeRo00,,1992,4,BYE,0,0,0,0,0,0,0,0,0,0
4,WAS,Robert Green,GreeRo00,1992-10-04,1992,5,REG,0,0,0,0,0,0,0,0,0,0
5,WAS,Robert Green,GreeRo00,1992-10-12,1992,6,REG,0,3,28,0,0,0,0,0,0,0
6,WAS,Robert Green,GreeRo00,1992-10-18,1992,7,REG,0,0,0,0,0,0,0,0,0,0
7,WAS,Robert Green,GreeRo00,1992-10-25,1992,8,REG,0,0,0,0,0,0,0,0,0,0
8,WAS,Robert Green,GreeRo00,1992-11-01,1992,9,REG,0,0,0,0,0,0,0,0,0,0
9,WAS,Robert Green,GreeRo00,1992-11-08,1992,10,REG,0,1,12,0,0,0,0,0,0,0
10,WAS,Robert Green,GreeRo00,1992-11-15,1992,11,REG,0,1,0,0,1,1,5,0,0,0
11,WAS,Robert Green,GreeRo00,1992-11-23,1992,12,REG,0,0,0,0,0,0,0,0,0,0
12,WAS,Robert Green,GreeRo00,1992-11-29,1992,13,REG,0,0,0,0,0,0,0,0,0,0
13,WAS,Robert Green,GreeRo00,1992-12-06,1992,14,REG,0,3,6,0,0,0,0,0,0,0
14,WAS,Robert Green,GreeRo00,1992-12-13,1992,15,REG,0,0,0,0,0,0,0,0,0,0
0,WAS,Robert Green,GreeRo00,1992-12-20,1992,16,DNP,0,0,0,0,0,0,0,0,0,0
15,WAS,Robert Green,GreeRo00,1992-12-26,1992,17,REG,0,0,0,0,0,0,0,0,0,0
16,WAS,Robert Green,GreeRo00,1993-01-02,1992,18,POST,0,5,17,0,0,0,0,0,0,0
17,WAS,Robert Green,GreeRo00,1993-01-09,1992,19,POST,0,0,0,0,0,0,0,0,0,0
18,CHI,Robert Green,GreeRo00,1993-09-05,1993,1,REG,0,0,0,0,0,0,0,0,0,0
19,CHI,Robert Green,GreeRo00,1993-09-12,1993,2,REG,0,1,-3,0,0,0,0,0,0,0
0,CHI,Robert Green,GreeRo00,,1993,3,BYE,0,0,0,0,0,0,0,0,0,0
20,CHI,Robert Green,GreeRo00,1993-09-26,1993,4,REG,0,6,1,0,1,1,5,0,0,0
21,CHI,Robert Green,GreeRo00,1993-10-03,1993,5,REG,0,0,0,0,0,0,0,0,0,0
22,CHI,Robert Green,GreeRo00,1993-10-10,1993,6,REG,0,0,0,0,0,0,0,0,0,0
0,CHI,Robert Green,GreeRo00,,1993,7,BYE,0,0,0,0,0,0,0,0,0,0
23,CHI,Robert Green,GreeRo00,1993-10-25,1993,8,REG,0,0,0,0,0,0,0,0,0,0
24,CHI,Robert Green,GreeRo00,1993-10-31,1993,9,REG,0,0,0,0,0,0,0,0,0,0
25,CHI,Robert Green,GreeRo00,1993-11-07,1993,10,REG,0,0,0,0,0,0,0,0,0,0
26,CHI,Robert Green,GreeRo00,1993-11-14,1993,11,REG,0,0,0,0,0,0,0,0,0,0
27,CHI,Robert Green,GreeRo00,1993-11-21,1993,12,REG,0,1,10,0,3,3,13,0,0,0
28,CHI,Robert Green,GreeRo00,1993-11-25,1993,13,REG,0,2,8,0,2,1,4,0,0,0
29,CHI,Robert Green,GreeRo00,1993-12-05,1993,14,REG,0,1,5,0,1,0,0,0,0,0
30,CHI,Robert Green,GreeRo00,1993-12-12,1993,15,REG,0,0,0,0,5,5,29,0,0,0
31,CHI,Robert Green,GreeRo00,1993-12-18,1993,16,REG,0,1,0,0,1,0,0,0,0,0
32,CHI,Robert Green,GreeRo00,1993-12-26,1993,17,REG,0,2,3,0,1,0,0,0,0,0
33,CHI,Robert Green,GreeRo00,1994-01-02,1993,18,REG,0,1,5,0,3,3,12,0,0,0
34,CHI,Robert Green,GreeRo00,1994-09-04,1994,1,REG,0,0,0,0,2,2,25,0,0,0
35,CHI,Robert Green,GreeRo00,1994-09-12,1994,2,REG,0,0,0,0,0,0,0,0,0,0
0,CHI,Robert Green,GreeRo00,1994-09-18,1994,3,DNP,0,0,0,0,0,0,0,0,0,0
36,CHI,Robert Green,GreeRo00,1994-09-25,1994,4,REG,0,0,0,0,1,1,10,0,0,0
37,CHI,Robert Green,GreeRo00,1994-10-02,1994,5,REG,0,1,1,0,0,0,0,0,0,0
38,CHI,Robert Green,GreeRo00,1994-10-09,1994,6,REG,0,1,1,0,1,1,9,0,0,0
0,CHI,Robert Green,GreeRo00,,1994,7,BYE,0,0,0,0,0,0,0,0,0,0
39,CHI,Robert Green,GreeRo00,1994-10-23,1994,8,REG,0,4,31,0,5,5,47,0,0,0
40,CHI,Robert Green,GreeRo00,1994-10-31,1994,9,REG,0,5,30,0,6,4,26,0,0,0
41,CHI,Robert Green,GreeRo00,1994-11-06,1994,10,REG,0,2,11,0,3,1,4,1,0,0
42,CHI,Robert Green,GreeRo00,1994-11-13,1994,11,REG,0,0,0,0,0,0,0,0,0,0
43,CHI,Robert Green,GreeRo00,1994-11-20,1994,12,REG,0,3,17,0,1,1,4,0,0,0
44,CHI,Robert Green,GreeRo00,1994-11-27,1994,13,REG,0,0,0,0,0,0,0,0,0,0
45,CHI,Robert Green,GreeRo00,1994-12-01,1994,14,REG,0,3,15,0,7,6,69,1,0,0
46,CHI,Robert Green,GreeRo00,1994-12-11,1994,15,REG,0,4,9,0,4,2,6,0,0,0
47,CHI,Robert Green,GreeRo00,1994-12-18,1994,16,REG,0,1,4,0,1,1,-1,0,0,0
48,CHI,Robert Green,GreeRo00,1994-12-24,1994,17,REG,0,1,3,0,2,0,0,0,0,0
49,CHI,Robert Green,GreeRo00,1995-01-01,1994,18,POST,0,0,0,0,1,1,5,0,0,0
50,CHI,Robert Green,GreeRo00,1995-01-07,1994,19,POST,0,2,8,0,5,5,43,0,0,0
51,CHI,Robert Green,GreeRo00,1995-09-03,1995,1,REG,0,4,64,0,1,1,9,0,0,0
52,CHI,Robert Green,GreeRo00,1995-09-11,1995,2,REG,1,10,63,0,6,5,55,0,0,0
53,CHI,Robert Green,GreeRo00,1995-09-17,1995,3,REG,1,13,72,1,3,2,18,0,0,0
0,CHI,Robert Green,GreeRo00,1995-09-24,1995,4,DNP,0,0,0,0,0,0,0,0,0,0
0,CHI,Robert Green,GreeRo00,,1995,5,BYE,0,0,0,0,0,0,0,0,0,0
54,CHI,Robert Green,GreeRo00,1995-10-08,1995,6,REG,0,6,19,1,5,4,48,0,0,0
55,CHI,Robert Green,GreeRo00,1995-10-15,1995,7,REG,0,7,41,0,1,0,0,0,0,0
56,CHI,Robert Green,GreeRo00,1995-10-22,1995,8,REG,0,3,5,0,4,3,16,0,0,0
57,CHI,Robert Green,GreeRo00,1995-10-30,1995,9,REG,0,11,38,0,1,1,2,0,0,0
58,CHI,Robert Green,GreeRo00,1995-11-05,1995,10,REG,0,4,20,0,0,0,0,0,0,0
59,CHI,Robert Green,GreeRo00,1995-11-12,1995,11,REG,1,16,68,0,3,2,19,0,0,0
60,CHI,Robert Green,GreeRo00,1995-11-19,1995,12,REG,0,13,58,0,5,4,25,0,0,0
61,CHI,Robert Green,GreeRo00,1995-11-26,1995,13,REG,0,12,59,0,5,4,46,0,0,0
62,CHI,Robert Green,GreeRo00,1995-12-04,1995,14,REG,0,8,63,1,4,2,8,0,0,0
0,CHI,Robert Green,GreeRo00,1995-12-10,1995,15,DNP,0,0,0,0,0,0,0,0,0,0
0,CHI,Robert Green,GreeRo00,1995-12-17,1995,16,DNP,0,0,0,0,0,0,0,0,0,0
0,CHI,Robert Green,GreeRo00,1995-12-24,1995,17,DNP,0,0,0,0,0,0,0,0,0,0
63,CHI,Robert Green,GreeRo00,1996-09-02,1996,1,REG,1,17,62,0,6,2,8,0,0,0
64,CHI,Robert Green,GreeRo00,1996-09-08,1996,2,REG,1,20,106,0,3,2,8,0,0,0
65,CHI,Robert Green,GreeRo00,1996-09-15,1996,3,REG,1,14,55,0,6,4,36,0,0,0
66,CHI,Robert Green,GreeRo00,1996-09-22,1996,4,REG,0,1,9,0,1,1,10,0,0,0
0,CHI,Robert Green,GreeRo00,1996-09-29,1996,5,DNP,0,0,0,0,0,0,0,0,0,0
0,CHI,Robert Green,GreeRo00,1996-10-06,1996,6,DNP,0,0,0,0,0,0,0,0,0,0
0,CHI,Robert Green,GreeRo00,1996-10-13,1996,7,DNP,0,0,0,0,0,0,0,0,0,0
0,CHI,Robert Green,GreeRo00,,1996,8,BYE,0,0,0,0,0,0,0,0,0,0
0,CHI,Robert Green,GreeRo00,1996-10-28,1996,9,DNP,0,0,0,0,0,0,0,0,0,0
0,CHI,Robert Green,GreeRo00,1996-11-03,1996,10,DNP,0,0,0,0,0,0,0,0,0,0
0,CHI,Robert Green,GreeRo00,1996-11-10,1996,11,DNP,0,0,0,0,0,0,0,0,0,0
67,CHI,Robert Green,GreeRo00,1996-11-17,1996,12,REG,0,2,0,0,3,1,8,0,0,0
68,CHI,Robert Green,GreeRo00,1996-11-24,1996,13,REG,0,1,3,0,0,0,0,0,0,0
69,CHI,Robert Green,GreeRo00,1996-12-01,1996,14,REG,0,0,0,0,5,3,8,0,0,0
70,CHI,Robert Green,GreeRo00,1996-12-08,1996,15,REG,0,5,14,0,0,0,0,0,0,0
71,CHI,Robert Green,GreeRo00,1996-12-14,1996,16,REG,0,0,0,0,0,0,0,0,0,0
72,CHI,Robert Green,GreeRo00,1996-12-22,1996,17,REG,0,0,0,0,0,0,0,0,0,0
0,MIN,Robert Green,GreeRo00,1997-08-31,1997,1,DNP,0,0,0,0,0,0,0,0,0,0
73,MIN,Robert Green,GreeRo00,1997-09-07,1997,2,REG,0,0,0,0,0,0,0,0,0,0
0,MIN,Robert Green,GreeRo00,1997-09-14,1997,3,DNP,0,0,0,0,0,0,0,0,0,0
74,MIN,Robert Green,GreeRo00,1997-09-21,1997,4,REG,0,1,3,0,0,0,0,0,0,0
0,MIN,Robert Green,GreeRo00,1997-09-28,1997,5,DNP,0,0,0,0,0,0,0,0,0,0
0,MIN,Robert Green,GreeRo00,1997-10-05,1997,6,DNP,0,0,0,0,0,0,0,0,0,0
0,MIN,Robert Green,GreeRo00,1997-10-12,1997,7,DNP,0,0,0,0,0,0,0,0,0,0
0,MIN,Robert Green,GreeRo00,,1997,8,BYE,0,0,0,0,0,0,0,0,0,0
0,MIN,Robert Green,GreeRo00,1997-10-26,1997,9,DNP,0,0,0,0,0,0,0,0,0,0
75,MIN,Robert Green,GreeRo00,1997-11-02,1997,10,REG,1,5,19,0,1,1,5,0,0,0
0,MIN,Robert Green,GreeRo00,1997-11-09,1997,11,DNP,0,0,0,0,0,0,0,0,0,0
0,MIN,Robert Green,GreeRo00,1997-11-16,1997,12,DNP,0,0,0,0,0,0,0,0,0,0
0,MIN,Robert Green,GreeRo00,1997-11-23,1997,13,DNP,0,0,0,0,0,0,0,0,0,0
0,MIN,Robert Green,GreeRo00,1997-12-01,1997,14,DNP,0,0,0,0,0,0,0,0,0,0
0,MIN,Robert Green,GreeRo00,1997-12-07,1997,15,DNP,0,0,0,0,0,0,0,0,0,0
0,MIN,Robert Green,GreeRo00,1997-12-14,1997,16,DNP,0,0,0,0,0,0,0,0,0,0
0,MIN,Robert Green,GreeRo00,1997-12-21,1997,17,DNP,0,0,0,0,0,0,0,0,0,0
