CarGm,Team,Player,pfr_id,Date,Season,Week,Season_type,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp
1,TAM,Robert Wilson,WilsRo00,1991-09-01,1991,1,REG,1,7,20,0,1,0,0,0,0,0
2,TAM,Robert Wilson,WilsRo00,1991-09-08,1991,2,REG,1,4,3,0,5,4,24,0,0,0
3,TAM,Robert Wilson,WilsRo00,1991-09-15,1991,3,REG,1,3,28,0,2,1,13,0,0,0
4,TAM,Robert Wilson,WilsRo00,1991-09-22,1991,4,REG,1,3,24,0,2,2,7,0,0,0
5,TAM,Robert Wilson,WilsRo00,1991-09-29,1991,5,REG,1,4,11,0,5,3,33,0,0,0
6,TAM,Robert Wilson,WilsRo00,1991-10-06,1991,6,REG,1,5,11,0,3,1,8,1,0,0
0,TAM,Robert Wilson,WilsRo00,,1991,7,BYE,0,0,0,0,0,0,0,0,0,0
7,TAM,Robert Wilson,WilsRo00,1991-10-20,1991,8,REG,1,3,17,0,4,4,21,1,0,0
8,TAM,Robert Wilson,WilsRo00,1991-10-27,1991,9,REG,1,0,0,0,2,1,4,0,0,0
9,TAM,Robert Wilson,WilsRo00,1991-11-03,1991,10,REG,1,1,3,0,0,0,0,0,0,0
10,TAM,Robert Wilson,WilsRo00,1991-11-10,1991,11,REG,1,3,10,0,2,0,0,0,0,0
11,TAM,Robert Wilson,WilsRo00,1991-11-17,1991,12,REG,1,1,2,0,1,1,8,0,0,0
12,TAM,Robert Wilson,WilsRo00,1991-11-24,1991,13,REG,0,0,0,0,0,0,0,0,0,0
13,TAM,Robert Wilson,WilsRo00,1991-12-01,1991,14,REG,1,0,0,0,0,0,0,0,0,0
14,TAM,Robert Wilson,WilsRo00,1991-12-08,1991,15,REG,1,2,4,0,1,1,7,0,0,0
15,TAM,Robert Wilson,WilsRo00,1991-12-14,1991,16,REG,1,2,15,0,1,0,0,0,0,0
16,TAM,Robert Wilson,WilsRo00,1991-12-22,1991,17,REG,1,4,31,0,2,2,-4,0,0,0
17,DAL,Robert Wilson,WilsRo00,1994-09-04,1994,1,REG,0,0,0,0,0,0,0,0,0,0
0,DAL,Robert Wilson,WilsRo00,1994-09-11,1994,2,DNP,0,0,0,0,0,0,0,0,0,0
0,DAL,Robert Wilson,WilsRo00,1994-09-19,1994,3,DNP,0,0,0,0,0,0,0,0,0,0
0,DAL,Robert Wilson,WilsRo00,,1994,4,BYE,0,0,0,0,0,0,0,0,0,0
0,DAL,Robert Wilson,WilsRo00,1994-10-02,1994,5,DNP,0,0,0,0,0,0,0,0,0,0
18,DAL,Robert Wilson,WilsRo00,1994-10-09,1994,6,REG,0,1,-1,0,0,0,0,0,0,0
0,DAL,Robert Wilson,WilsRo00,1994-10-16,1994,7,DNP,0,0,0,0,0,0,0,0,0,0
0,DAL,Robert Wilson,WilsRo00,1994-10-23,1994,8,DNP,0,0,0,0,0,0,0,0,0,0
0,DAL,Robert Wilson,WilsRo00,1994-10-30,1994,9,DNP,0,0,0,0,0,0,0,0,0,0
0,DAL,Robert Wilson,WilsRo00,1994-11-07,1994,10,DNP,0,0,0,0,0,0,0,0,0,0
19,MIA,Robert Wilson,WilsRo00,1994-11-13,1994,11,REG,0,0,0,0,0,0,0,0,0,0
20,MIA,Robert Wilson,WilsRo00,1994-11-20,1994,12,REG,0,0,0,0,0,0,0,0,0,0
0,MIA,Robert Wilson,WilsRo00,1994-11-27,1994,13,DNP,0,0,0,0,0,0,0,0,0,0
0,MIA,Robert Wilson,WilsRo00,1994-12-04,1994,14,DNP,0,0,0,0,0,0,0,0,0,0
0,MIA,Robert Wilson,WilsRo00,1994-12-12,1994,15,DNP,0,0,0,0,0,0,0,0,0,0
0,MIA,Robert Wilson,WilsRo00,1994-12-18,1994,16,DNP,0,0,0,0,0,0,0,0,0,0
0,MIA,Robert Wilson,WilsRo00,1994-12-25,1994,17,DNP,0,0,0,0,0,0,0,0,0,0
21,MIA,Robert Wilson,WilsRo00,1995-09-03,1995,1,REG,0,0,0,0,0,0,0,0,0,0
22,MIA,Robert Wilson,WilsRo00,1995-09-10,1995,2,REG,0,0,0,0,1,1,3,0,0,0
23,MIA,Robert Wilson,WilsRo00,1995-09-18,1995,3,REG,0,0,0,0,0,0,0,0,0,0
0,MIA,Robert Wilson,WilsRo00,,1995,4,BYE,0,0,0,0,0,0,0,0,0,0
