CarGm,Team,Player,pfr_id,Date,Season,Week,Season_type,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp
1,STL,Ron Wolfley,WolfRo00,1985-09-08,1985,1,REG,0,0,0,0,0,0,0,0,0,0
2,STL,Ron Wolfley,WolfRo00,1985-09-15,1985,2,REG,0,1,2,0,0,0,0,0,0,0
3,STL,Ron Wolfley,WolfRo00,1985-09-22,1985,3,REG,0,0,0,0,0,0,0,0,0,0
4,STL,Ron Wolfley,WolfRo00,1985-09-29,1985,4,REG,0,0,0,0,0,0,0,0,0,0
5,STL,Ron Wolfley,WolfRo00,1985-10-07,1985,5,REG,0,0,0,0,0,0,0,0,0,0
6,STL,Ron Wolfley,WolfRo00,1985-10-13,1985,6,REG,0,0,0,0,0,0,0,0,0,0
7,STL,Ron Wolfley,WolfRo00,1985-10-20,1985,7,REG,0,0,0,0,0,0,0,0,0,0
8,STL,Ron Wolfley,WolfRo00,1985-10-27,1985,8,REG,0,3,8,0,0,0,0,0,0,0
9,STL,Ron Wolfley,WolfRo00,1985-11-04,1985,9,REG,0,0,0,0,0,0,0,0,0,0
10,STL,Ron Wolfley,WolfRo00,1985-11-10,1985,10,REG,0,0,0,0,0,0,0,0,0,0
11,STL,Ron Wolfley,WolfRo00,1985-11-17,1985,11,REG,0,1,3,0,0,0,0,0,0,0
12,STL,Ron Wolfley,WolfRo00,1985-11-24,1985,12,REG,0,1,1,0,0,0,0,0,0,0
13,STL,Ron Wolfley,WolfRo00,1985-11-28,1985,13,REG,0,9,16,0,1,1,1,0,0,0
14,STL,Ron Wolfley,WolfRo00,1985-12-08,1985,14,REG,0,5,21,0,0,0,0,0,0,0
15,STL,Ron Wolfley,WolfRo00,1985-12-15,1985,15,REG,1,2,7,0,0,0,0,0,0,0
16,STL,Ron Wolfley,WolfRo00,1985-12-21,1985,16,REG,0,2,6,0,1,1,17,0,0,0
17,STL,Ron Wolfley,WolfRo00,1986-09-07,1986,1,REG,0,0,0,0,0,0,0,0,0,0
18,STL,Ron Wolfley,WolfRo00,1986-09-14,1986,2,REG,0,0,0,0,0,0,0,0,0,0
19,STL,Ron Wolfley,WolfRo00,1986-09-21,1986,3,REG,0,0,0,0,0,0,0,0,0,0
20,STL,Ron Wolfley,WolfRo00,1986-09-29,1986,4,REG,1,3,5,0,1,0,0,0,0,0
21,STL,Ron Wolfley,WolfRo00,1986-10-05,1986,5,REG,0,0,0,0,0,0,0,0,0,0
22,STL,Ron Wolfley,WolfRo00,1986-10-12,1986,6,REG,0,0,0,0,0,0,0,0,0,0
23,STL,Ron Wolfley,WolfRo00,1986-10-19,1986,7,REG,0,0,0,0,0,0,0,0,0,0
