CarGm,Team,Player,pfr_id,Date,Season,Week,Season_type,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp
1,GNB,Rondell Mealey,MealRo00,2001-09-09,2001,1,REG,0,0,0,0,0,0,0,0,0,0
2,GNB,Rondell Mealey,MealRo00,2001-09-24,2001,2,REG,0,4,19,0,0,0,0,0,0,0
3,GNB,Rondell Mealey,MealRo00,2001-09-30,2001,3,REG,0,7,18,0,2,2,31,0,0,0
4,GNB,Rondell Mealey,MealRo00,2001-10-07,2001,4,REG,0,0,0,0,0,0,0,0,0,0
5,GNB,Rondell Mealey,MealRo00,2001-10-14,2001,5,REG,0,0,0,0,0,0,0,0,0,0
6,GNB,Rondell Mealey,MealRo00,2001-10-21,2001,6,REG,0,0,0,0,0,0,0,0,0,0
0,GNB,Rondell Mealey,MealRo00,,2001,7,BYE,0,0,0,0,0,0,0,0,0,0
7,GNB,Rondell Mealey,MealRo00,2001-11-04,2001,8,REG,0,0,0,0,0,0,0,0,0,0
8,GNB,Rondell Mealey,MealRo00,2001-11-11,2001,9,REG,0,0,0,0,0,0,0,0,0,0
9,GNB,Rondell Mealey,MealRo00,2001-11-18,2001,10,REG,0,0,0,0,0,0,0,0,0,0
10,GNB,Rondell Mealey,MealRo00,2001-11-22,2001,11,REG,0,0,0,0,0,0,0,0,0,0
11,GNB,Rondell Mealey,MealRo00,2001-12-03,2001,12,REG,0,0,0,0,0,0,0,0,0,0
0,GNB,Rondell Mealey,MealRo00,2001-12-09,2001,13,DNP,0,0,0,0,0,0,0,0,0,0
0,GNB,Rondell Mealey,MealRo00,2001-12-16,2001,14,DNP,0,0,0,0,0,0,0,0,0,0
0,GNB,Rondell Mealey,MealRo00,2001-12-23,2001,15,DNP,0,0,0,0,0,0,0,0,0,0
0,GNB,Rondell Mealey,MealRo00,2001-12-30,2001,16,DNP,0,0,0,0,0,0,0,0,0,0
0,GNB,Rondell Mealey,MealRo00,2002-01-06,2001,17,DNP,0,0,0,0,0,0,0,0,0,0
12,GNB,Rondell Mealey,MealRo00,2002-09-08,2002,1,REG,0,5,30,1,1,1,11,0,0,0
13,GNB,Rondell Mealey,MealRo00,2002-09-15,2002,2,REG,0,1,-1,0,3,3,10,0,0,0
14,GNB,Rondell Mealey,MealRo00,2002-09-22,2002,3,REG,1,5,7,0,5,3,24,0,0,0
0,GNB,Rondell Mealey,MealRo00,2002-09-29,2002,4,DNP,0,0,0,0,0,0,0,0,0,0
0,GNB,Rondell Mealey,MealRo00,2002-10-07,2002,5,DNP,0,0,0,0,0,0,0,0,0,0
0,GNB,Rondell Mealey,MealRo00,2002-10-13,2002,6,DNP,0,0,0,0,0,0,0,0,0,0
0,GNB,Rondell Mealey,MealRo00,2002-10-20,2002,7,DNP,0,0,0,0,0,0,0,0,0,0
0,GNB,Rondell Mealey,MealRo00,,2002,8,BYE,0,0,0,0,0,0,0,0,0,0
0,GNB,Rondell Mealey,MealRo00,2002-11-04,2002,9,DNP,0,0,0,0,0,0,0,0,0,0
0,GNB,Rondell Mealey,MealRo00,2002-11-10,2002,10,DNP,0,0,0,0,0,0,0,0,0,0
0,GNB,Rondell Mealey,MealRo00,2002-11-17,2002,11,DNP,0,0,0,0,0,0,0,0,0,0
0,GNB,Rondell Mealey,MealRo00,2002-11-24,2002,12,DNP,0,0,0,0,0,0,0,0,0,0
0,GNB,Rondell Mealey,MealRo00,2002-12-01,2002,13,DNP,0,0,0,0,0,0,0,0,0,0
0,GNB,Rondell Mealey,MealRo00,2002-12-08,2002,14,DNP,0,0,0,0,0,0,0,0,0,0
0,GNB,Rondell Mealey,MealRo00,2002-12-15,2002,15,DNP,0,0,0,0,0,0,0,0,0,0
0,GNB,Rondell Mealey,MealRo00,2002-12-22,2002,16,DNP,0,0,0,0,0,0,0,0,0,0
0,GNB,Rondell Mealey,MealRo00,2002-12-29,2002,17,DNP,0,0,0,0,0,0,0,0,0,0
