CarGm,Team,Player,pfr_id,Date,Season,Week,Season_type,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp
1,SDG,Ronney Jenkins,JenkRo00,2000-09-03,2000,1,REG,0,0,0,0,0,0,0,0,0,0
2,SDG,Ronney Jenkins,JenkRo00,2000-09-10,2000,2,REG,0,0,0,0,2,1,1,0,0,0
3,SDG,Ronney Jenkins,JenkRo00,2000-09-17,2000,3,REG,0,0,0,0,0,0,0,0,0,0
4,SDG,Ronney Jenkins,JenkRo00,2000-09-24,2000,4,REG,0,0,0,0,0,0,0,0,0,0
5,SDG,Ronney Jenkins,JenkRo00,2000-10-01,2000,5,REG,0,2,6,0,0,0,0,0,0,0
6,SDG,Ronney Jenkins,JenkRo00,2000-10-08,2000,6,REG,0,2,1,0,0,0,0,0,0,0
7,SDG,Ronney Jenkins,JenkRo00,2000-10-15,2000,7,REG,0,0,0,0,0,0,0,0,0,0
0,SDG,Ronney Jenkins,JenkRo00,,2000,8,BYE,0,0,0,0,0,0,0,0,0,0
8,SDG,Ronney Jenkins,JenkRo00,2000-10-29,2000,9,REG,0,3,-3,0,0,0,0,0,0,0
9,SDG,Ronney Jenkins,JenkRo00,2000-11-05,2000,10,REG,0,0,0,0,0,0,0,0,0,0
10,SDG,Ronney Jenkins,JenkRo00,2000-11-12,2000,11,REG,0,1,2,0,0,0,0,0,0,0
11,SDG,Ronney Jenkins,JenkRo00,2000-11-19,2000,12,REG,0,0,0,0,0,0,0,0,0,0
12,SDG,Ronney Jenkins,JenkRo00,2000-11-26,2000,13,REG,0,0,0,0,0,0,0,0,0,0
13,SDG,Ronney Jenkins,JenkRo00,2000-12-03,2000,14,REG,0,0,0,0,0,0,0,0,0,0
14,SDG,Ronney Jenkins,JenkRo00,2000-12-10,2000,15,REG,0,0,0,0,0,0,0,0,0,0
15,SDG,Ronney Jenkins,JenkRo00,2000-12-17,2000,16,REG,0,0,0,0,0,0,0,0,0,0
16,SDG,Ronney Jenkins,JenkRo00,2000-12-24,2000,17,REG,0,0,0,0,0,0,0,0,0,0
17,SDG,Ronney Jenkins,JenkRo00,2001-09-09,2001,1,REG,0,1,-1,0,0,0,0,0,0,0
18,SDG,Ronney Jenkins,JenkRo00,2001-09-23,2001,2,REG,0,0,0,0,0,0,0,0,0,0
19,SDG,Ronney Jenkins,JenkRo00,2001-09-30,2001,3,REG,0,0,0,0,0,0,0,0,0,0
20,SDG,Ronney Jenkins,JenkRo00,2001-10-07,2001,4,REG,0,0,0,0,0,0,0,0,0,0
21,SDG,Ronney Jenkins,JenkRo00,2001-10-14,2001,5,REG,0,0,0,0,0,0,0,0,0,0
22,SDG,Ronney Jenkins,JenkRo00,2001-10-21,2001,6,REG,0,0,0,0,0,0,0,0,0,0
23,SDG,Ronney Jenkins,JenkRo00,2001-10-28,2001,7,REG,0,0,0,0,0,0,0,0,0,0
24,SDG,Ronney Jenkins,JenkRo00,2001-11-04,2001,8,REG,0,0,0,0,0,0,0,0,0,0
25,SDG,Ronney Jenkins,JenkRo00,2001-11-11,2001,9,REG,0,0,0,0,0,0,0,0,0,0
26,SDG,Ronney Jenkins,JenkRo00,2001-11-18,2001,10,REG,0,0,0,0,0,0,0,0,0,0
27,SDG,Ronney Jenkins,JenkRo00,2001-11-25,2001,11,REG,0,0,0,0,0,0,0,0,0,0
28,SDG,Ronney Jenkins,JenkRo00,2001-12-02,2001,12,REG,0,0,0,0,0,0,0,0,0,0
29,SDG,Ronney Jenkins,JenkRo00,2001-12-09,2001,13,REG,0,0,0,0,0,0,0,0,0,0
30,SDG,Ronney Jenkins,JenkRo00,2001-12-15,2001,14,REG,0,0,0,0,0,0,0,0,0,0
31,SDG,Ronney Jenkins,JenkRo00,2001-12-23,2001,15,REG,0,0,0,0,0,0,0,0,0,0
32,SDG,Ronney Jenkins,JenkRo00,2001-12-30,2001,16,REG,0,0,0,0,0,0,0,0,0,0
0,SDG,Ronney Jenkins,JenkRo00,,2001,17,BYE,0,0,0,0,0,0,0,0,0,0
33,SDG,Ronney Jenkins,JenkRo00,2002-09-08,2002,1,REG,0,0,0,0,0,0,0,0,0,0
34,SDG,Ronney Jenkins,JenkRo00,2002-09-15,2002,2,REG,0,0,0,0,0,0,0,0,0,0
35,SDG,Ronney Jenkins,JenkRo00,2002-09-22,2002,3,REG,0,0,0,0,0,0,0,0,0,0
36,SDG,Ronney Jenkins,JenkRo00,2002-09-29,2002,4,REG,0,0,0,0,0,0,0,0,0,0
37,SDG,Ronney Jenkins,JenkRo00,2002-10-06,2002,5,REG,0,0,0,0,0,0,0,0,0,0
38,SDG,Ronney Jenkins,JenkRo00,2002-10-13,2002,6,REG,0,0,0,0,0,0,0,0,0,0
39,SDG,Ronney Jenkins,JenkRo00,2002-10-20,2002,7,REG,0,0,0,0,0,0,0,0,0,0
0,SDG,Ronney Jenkins,JenkRo00,,2002,8,BYE,0,0,0,0,0,0,0,0,0,0
0,SDG,Ronney Jenkins,JenkRo00,2002-11-03,2002,9,DNP,0,0,0,0,0,0,0,0,0,0
40,SDG,Ronney Jenkins,JenkRo00,2002-11-10,2002,10,REG,0,0,0,0,0,0,0,0,0,0
41,SDG,Ronney Jenkins,JenkRo00,2002-11-17,2002,11,REG,0,0,0,0,0,0,0,0,0,0
42,SDG,Ronney Jenkins,JenkRo00,2002-11-24,2002,12,REG,0,0,0,0,0,0,0,0,0,0
43,SDG,Ronney Jenkins,JenkRo00,2002-12-01,2002,13,REG,0,0,0,0,0,0,0,0,0,0
44,SDG,Ronney Jenkins,JenkRo00,2002-12-08,2002,14,REG,0,0,0,0,0,0,0,0,0,0
45,SDG,Ronney Jenkins,JenkRo00,2002-12-15,2002,15,REG,0,0,0,0,0,0,0,0,0,0
0,SDG,Ronney Jenkins,JenkRo00,2002-12-22,2002,16,DNP,0,0,0,0,0,0,0,0,0,0
0,SDG,Ronney Jenkins,JenkRo00,2002-12-29,2002,17,DNP,0,0,0,0,0,0,0,0,0,0
46,OAK,Ronney Jenkins,JenkRo00,2003-09-07,2003,1,REG,0,0,0,0,0,0,0,0,0,0
47,OAK,Ronney Jenkins,JenkRo00,2003-09-14,2003,2,REG,0,0,0,0,1,0,0,0,0,0
48,OAK,Ronney Jenkins,JenkRo00,2003-09-22,2003,3,REG,0,0,0,0,0,0,0,0,0,0
0,OAK,Ronney Jenkins,JenkRo00,2003-09-28,2003,4,DNP,0,0,0,0,0,0,0,0,0,0
49,OAK,Ronney Jenkins,JenkRo00,2003-10-05,2003,5,REG,0,0,0,0,0,0,0,0,0,0
50,OAK,Ronney Jenkins,JenkRo00,2003-10-12,2003,6,REG,0,0,0,0,0,0,0,0,0,0
51,OAK,Ronney Jenkins,JenkRo00,2003-10-20,2003,7,REG,0,0,0,0,0,0,0,0,0,0
0,OAK,Ronney Jenkins,JenkRo00,,2003,8,BYE,0,0,0,0,0,0,0,0,0,0
52,OAK,Ronney Jenkins,JenkRo00,2003-11-02,2003,9,REG,0,0,0,0,0,0,0,0,0,0
0,OAK,Ronney Jenkins,JenkRo00,2003-11-09,2003,10,DNP,0,0,0,0,0,0,0,0,0,0
0,OAK,Ronney Jenkins,JenkRo00,2003-11-16,2003,11,DNP,0,0,0,0,0,0,0,0,0,0
0,OAK,Ronney Jenkins,JenkRo00,2003-11-23,2003,12,DNP,0,0,0,0,0,0,0,0,0,0
0,OAK,Ronney Jenkins,JenkRo00,2003-11-30,2003,13,DNP,0,0,0,0,0,0,0,0,0,0
0,OAK,Ronney Jenkins,JenkRo00,2003-12-07,2003,14,DNP,0,0,0,0,0,0,0,0,0,0
0,OAK,Ronney Jenkins,JenkRo00,2003-12-14,2003,15,DNP,0,0,0,0,0,0,0,0,0,0
0,OAK,Ronney Jenkins,JenkRo00,2003-12-22,2003,16,DNP,0,0,0,0,0,0,0,0,0,0
0,OAK,Ronney Jenkins,JenkRo00,2003-12-28,2003,17,DNP,0,0,0,0,0,0,0,0,0,0
