CarGm,Team,Player,pfr_id,Date,Season,Week,Season_type,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp
1,IND,Roosevelt Potts,PottRo00,1993-09-05,1993,1,REG,0,0,0,0,0,0,0,0,0,0
2,IND,Roosevelt Potts,PottRo00,1993-09-12,1993,2,REG,1,9,36,0,1,0,0,0,0,0
0,IND,Roosevelt Potts,PottRo00,,1993,3,BYE,0,0,0,0,0,0,0,0,0,0
3,IND,Roosevelt Potts,PottRo00,1993-09-26,1993,4,REG,1,17,64,0,2,2,11,0,0,0
4,IND,Roosevelt Potts,PottRo00,1993-10-03,1993,5,REG,1,9,41,0,3,3,51,0,0,0
5,IND,Roosevelt Potts,PottRo00,1993-10-10,1993,6,REG,1,18,113,0,2,0,0,0,0,0
0,IND,Roosevelt Potts,PottRo00,,1993,7,BYE,0,0,0,0,0,0,0,0,0,0
6,IND,Roosevelt Potts,PottRo00,1993-10-24,1993,8,REG,1,15,54,0,2,2,9,0,0,0
7,IND,Roosevelt Potts,PottRo00,1993-10-31,1993,9,REG,1,23,86,0,4,4,20,0,0,0
8,IND,Roosevelt Potts,PottRo00,1993-11-07,1993,10,REG,1,15,33,0,5,5,2,0,0,0
9,IND,Roosevelt Potts,PottRo00,1993-11-14,1993,11,REG,1,6,23,0,2,1,2,0,0,0
10,IND,Roosevelt Potts,PottRo00,1993-11-21,1993,12,REG,1,1,7,0,0,0,0,0,0,0
11,IND,Roosevelt Potts,PottRo00,1993-11-29,1993,13,REG,1,9,34,0,2,1,14,0,0,0
12,IND,Roosevelt Potts,PottRo00,1993-12-05,1993,14,REG,1,15,42,0,0,0,0,0,0,0
13,IND,Roosevelt Potts,PottRo00,1993-12-12,1993,15,REG,1,10,33,0,4,3,38,0,0,0
14,IND,Roosevelt Potts,PottRo00,1993-12-19,1993,16,REG,1,11,31,0,2,1,15,0,0,0
15,IND,Roosevelt Potts,PottRo00,1993-12-26,1993,17,REG,1,7,14,0,2,2,7,0,0,0
16,IND,Roosevelt Potts,PottRo00,1994-01-02,1993,18,REG,1,14,100,0,3,2,20,0,0,0
17,IND,Roosevelt Potts,PottRo00,1994-09-04,1994,1,REG,1,6,24,0,0,0,0,0,0,0
18,IND,Roosevelt Potts,PottRo00,1994-09-11,1994,2,REG,1,9,30,1,1,1,3,0,0,0
19,IND,Roosevelt Potts,PottRo00,1994-09-18,1994,3,REG,1,2,2,0,2,1,9,0,0,0
20,IND,Roosevelt Potts,PottRo00,1994-09-25,1994,4,REG,1,3,9,0,6,6,87,1,0,0
21,IND,Roosevelt Potts,PottRo00,1994-10-02,1994,5,REG,1,3,20,0,3,3,25,0,0,0
22,IND,Roosevelt Potts,PottRo00,1994-10-09,1994,6,REG,1,1,3,0,3,2,17,0,0,0
23,IND,Roosevelt Potts,PottRo00,1994-10-16,1994,7,REG,1,5,23,0,4,4,28,0,0,0
24,IND,Roosevelt Potts,PottRo00,1994-10-23,1994,8,REG,1,5,11,0,1,0,0,0,0,0
25,IND,Roosevelt Potts,PottRo00,1994-10-30,1994,9,REG,1,5,14,0,4,3,41,0,0,0
26,IND,Roosevelt Potts,PottRo00,1994-11-06,1994,10,REG,1,4,7,0,1,0,0,0,0,0
0,IND,Roosevelt Potts,PottRo00,,1994,11,BYE,0,0,0,0,0,0,0,0,0,0
27,IND,Roosevelt Potts,PottRo00,1994-11-20,1994,12,REG,0,11,45,0,0,0,0,0,0,0
28,IND,Roosevelt Potts,PottRo00,1994-11-27,1994,13,REG,1,6,74,0,1,0,0,0,0,0
29,IND,Roosevelt Potts,PottRo00,1994-12-04,1994,14,REG,1,4,4,0,3,2,16,0,0,0
30,IND,Roosevelt Potts,PottRo00,1994-12-11,1994,15,REG,1,4,18,0,4,2,22,0,0,0
