CarGm,Team,Player,pfr_id,Date,Season,Week,Season_type,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp
0,PHI,Ryan Moats,MoatRy00,2005-09-12,2005,1,DNP,0,0,0,0,0,0,0,0,0,0
0,PHI,Ryan Moats,MoatRy00,2005-09-18,2005,2,DNP,0,0,0,0,0,0,0,0,0,0
0,PHI,Ryan Moats,MoatRy00,2005-09-25,2005,3,DNP,0,0,0,0,0,0,0,0,0,0
0,PHI,Ryan Moats,MoatRy00,2005-10-02,2005,4,DNP,0,0,0,0,0,0,0,0,0,0
0,PHI,Ryan Moats,MoatRy00,2005-10-09,2005,5,DNP,0,0,0,0,0,0,0,0,0,0
0,PHI,Ryan Moats,MoatRy00,1970-01-01,2005,6,BYE,0,0,0,0,0,0,0,0,0,0
1,PHI,Ryan Moats,MoatRy00,2005-10-23,2005,7,REG,0,0,0,0,0,0,0,0,0,0
0,PHI,Ryan Moats,MoatRy00,2005-10-30,2005,8,DNP,0,0,0,0,0,0,0,0,0,0
0,PHI,Ryan Moats,MoatRy00,2005-11-06,2005,9,DNP,0,0,0,0,0,0,0,0,0,0
0,PHI,Ryan Moats,MoatRy00,2005-11-14,2005,10,DNP,0,0,0,0,0,0,0,0,0,0
0,PHI,Ryan Moats,MoatRy00,2005-11-20,2005,11,DNP,0,0,0,0,0,0,0,0,0,0
2,PHI,Ryan Moats,MoatRy00,2005-11-27,2005,12,REG,0,6,24,0,0,0,0,0,0,0
3,PHI,Ryan Moats,MoatRy00,2005-12-05,2005,13,REG,0,10,26,0,2,1,3,0,0,0
4,PHI,Ryan Moats,MoatRy00,2005-12-11,2005,14,REG,0,11,114,2,0,0,0,0,0,0
5,PHI,Ryan Moats,MoatRy00,2005-12-18,2005,15,REG,0,12,78,1,0,0,0,0,0,0
6,PHI,Ryan Moats,MoatRy00,2005-12-24,2005,16,REG,1,9,13,0,1,0,0,0,0,0
7,PHI,Ryan Moats,MoatRy00,2006-01-01,2005,17,REG,0,7,23,0,3,3,4,0,0,0
8,PHI,Ryan Moats,MoatRy00,2006-09-10,2006,1,REG,0,0,0,0,0,0,0,0,0,0
9,PHI,Ryan Moats,MoatRy00,2006-09-17,2006,2,REG,0,0,0,0,0,0,0,0,0,0
10,PHI,Ryan Moats,MoatRy00,2006-09-24,2006,3,REG,0,2,16,0,0,0,0,0,0,0
11,PHI,Ryan Moats,MoatRy00,2006-10-02,2006,4,REG,0,7,22,0,1,0,0,0,0,0
12,PHI,Ryan Moats,MoatRy00,2006-10-08,2006,5,REG,0,1,2,0,0,0,0,0,0,0
13,PHI,Ryan Moats,MoatRy00,2006-10-15,2006,6,REG,0,1,7,0,0,0,0,0,0,0
14,PHI,Ryan Moats,MoatRy00,2006-10-22,2006,7,REG,0,0,0,0,0,0,0,0,0,0
0,PHI,Ryan Moats,MoatRy00,2006-10-29,2006,8,DNP,0,0,0,0,0,0,0,0,0,0
0,PHI,Ryan Moats,MoatRy00,1970-01-01,2006,9,BYE,0,0,0,0,0,0,0,0,0,0
0,PHI,Ryan Moats,MoatRy00,2006-11-12,2006,10,DNP,0,0,0,0,0,0,0,0,0,0
0,PHI,Ryan Moats,MoatRy00,2006-11-19,2006,11,DNP,0,0,0,0,0,0,0,0,0,0
