CarGm,Team,Player,pfr_id,Date,Season,Week,Season_type,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp
1,CHI,Senorise Perry,PerrSe00,2014-09-07,2014,1,REG,0,0,0,0,0,0,0,0,0,18
2,CHI,Senorise Perry,PerrSe00,2014-09-14,2014,2,REG,0,0,0,0,0,0,0,0,0,18
3,CHI,Senorise Perry,PerrSe00,2014-09-22,2014,3,REG,0,0,0,0,0,0,0,0,0,19
4,CHI,Senorise Perry,PerrSe00,2014-09-28,2014,4,REG,0,0,0,0,0,0,0,0,0,11
5,CHI,Senorise Perry,PerrSe00,2014-10-05,2014,5,REG,0,0,0,0,0,0,0,0,0,19
6,CHI,Senorise Perry,PerrSe00,2014-10-12,2014,6,REG,0,0,0,0,0,0,0,0,0,20
7,CHI,Senorise Perry,PerrSe00,2014-10-19,2014,7,REG,0,0,0,0,0,0,0,0,0,11
8,CHI,Senorise Perry,PerrSe00,2014-10-26,2014,8,REG,0,0,0,0,0,0,0,0,0,17
0,CHI,Senorise Perry,PerrSe00,,2014,9,BYE,0,0,0,0,0,0,0,0,0,0
9,CHI,Senorise Perry,PerrSe00,2014-11-09,2014,10,REG,0,0,0,0,0,0,0,0,0,18
10,CHI,Senorise Perry,PerrSe00,2014-11-16,2014,11,REG,0,0,0,0,0,0,0,0,0,13
11,CHI,Senorise Perry,PerrSe00,2014-11-23,2014,12,REG,0,0,0,0,0,0,0,0,0,20
12,CHI,Senorise Perry,PerrSe00,2014-11-27,2014,13,REG,0,0,0,0,1,1,-1,0,1,19
13,CHI,Senorise Perry,PerrSe00,2014-12-04,2014,14,REG,0,0,0,0,0,0,0,0,0,18
14,CHI,Senorise Perry,PerrSe00,2014-12-15,2014,15,REG,0,0,0,0,0,0,0,0,0,16
15,CHI,Senorise Perry,PerrSe00,2014-12-21,2014,16,REG,0,0,0,0,0,0,0,0,0,13
16,CHI,Senorise Perry,PerrSe00,2014-12-28,2014,17,REG,0,0,0,0,0,0,0,0,0,9
0,MIA,Senorise Perry,PerrSe00,2016-09-11,2016,1,DNP,0,0,0,0,0,0,0,0,0,0
0,MIA,Senorise Perry,PerrSe00,2016-09-18,2016,2,DNP,0,0,0,0,0,0,0,0,0,0
0,MIA,Senorise Perry,PerrSe00,2016-09-25,2016,3,DNP,0,0,0,0,0,0,0,0,0,0
0,MIA,Senorise Perry,PerrSe00,2016-09-29,2016,4,DNP,0,0,0,0,0,0,0,0,0,0
0,MIA,Senorise Perry,PerrSe00,2016-10-09,2016,5,DNP,0,0,0,0,0,0,0,0,0,0
0,MIA,Senorise Perry,PerrSe00,2016-10-16,2016,6,DNP,0,0,0,0,0,0,0,0,0,0
0,MIA,Senorise Perry,PerrSe00,2016-10-23,2016,7,DNP,0,0,0,0,0,0,0,0,0,0
0,MIA,Senorise Perry,PerrSe00,2016-11-06,2016,9,DNP,0,0,0,0,0,0,0,0,0,0
0,MIA,Senorise Perry,PerrSe00,2016-11-13,2016,10,DNP,0,0,0,0,0,0,0,0,0,0
0,MIA,Senorise Perry,PerrSe00,2016-11-20,2016,11,DNP,0,0,0,0,0,0,0,0,0,0
0,MIA,Senorise Perry,PerrSe00,2016-11-27,2016,12,DNP,0,0,0,0,0,0,0,0,0,0
0,MIA,Senorise Perry,PerrSe00,2016-12-04,2016,13,DNP,0,0,0,0,0,0,0,0,0,0
0,MIA,Senorise Perry,PerrSe00,2016-12-11,2016,14,DNP,0,0,0,0,0,0,0,0,0,0
0,MIA,Senorise Perry,PerrSe00,2016-12-17,2016,15,DNP,0,0,0,0,0,0,0,0,0,0
0,MIA,Senorise Perry,PerrSe00,2016-12-24,2016,16,DNP,0,0,0,0,0,0,0,0,0,0
