CarGm,Team,Player,pfr_id,Date,Season,Week,Season_type,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp
0,ARI,TJ Logan,LogaT.00,2018-09-09,2018,1,DNP,0,0,0,0,0,0,0,0,0,0
1,ARI,TJ Logan,LogaT.00,2018-09-16,2018,2,REG,0,0,0,0,0,0,0,0,0,5
0,ARI,TJ Logan,LogaT.00,2018-09-23,2018,3,DNP,0,0,0,0,0,0,0,0,0,0
0,ARI,TJ Logan,LogaT.00,2018-09-30,2018,4,DNP,0,0,0,0,0,0,0,0,0,0
0,ARI,TJ Logan,LogaT.00,2018-10-07,2018,5,DNP,0,0,0,0,0,0,0,0,0,0
0,ARI,TJ Logan,LogaT.00,2018-10-14,2018,6,DNP,0,0,0,0,0,0,0,0,0,0
0,ARI,TJ Logan,LogaT.00,2018-10-18,2018,7,DNP,0,0,0,0,0,0,0,0,0,0
2,ARI,TJ Logan,LogaT.00,2018-10-28,2018,8,REG,0,0,0,0,0,0,0,0,1,4
0,ARI,TJ Logan,LogaT.00,1970-01-01,2018,9,BYE,0,0,0,0,0,0,0,0,0,0
3,ARI,TJ Logan,LogaT.00,2018-11-11,2018,10,REG,0,0,0,0,2,2,14,0,3,6
4,ARI,TJ Logan,LogaT.00,2018-11-18,2018,11,REG,0,0,0,0,0,0,0,0,1,5
5,ARI,TJ Logan,LogaT.00,2018-11-25,2018,12,REG,0,0,0,0,1,1,5,0,2,9
6,ARI,TJ Logan,LogaT.00,2018-12-02,2018,13,REG,0,1,5,0,0,0,0,0,3,4
7,ARI,TJ Logan,LogaT.00,2018-12-09,2018,14,REG,0,0,0,0,0,0,0,0,1,4
8,ARI,TJ Logan,LogaT.00,2018-12-16,2018,15,REG,0,1,-3,0,4,4,18,0,10,8
9,ARI,TJ Logan,LogaT.00,2018-12-23,2018,16,REG,0,0,0,0,0,0,0,0,0,5
10,ARI,TJ Logan,LogaT.00,2018-12-30,2018,17,REG,0,0,0,0,0,0,0,0,0,3
11,TAM,TJ Logan,LogaT.00,2019-09-08,2019,1,REG,0,0,0,0,0,0,0,0,1,7
12,TAM,TJ Logan,LogaT.00,2019-09-12,2019,2,REG,0,0,0,0,0,0,0,0,0,7
13,TAM,TJ Logan,LogaT.00,2019-09-22,2019,3,REG,0,0,0,0,0,0,0,0,1,9
14,TAM,TJ Logan,LogaT.00,2019-09-29,2019,4,REG,0,0,0,0,0,0,0,0,1,19
15,TAM,TJ Logan,LogaT.00,2019-10-06,2019,5,REG,0,0,0,0,0,0,0,0,1,19
16,TAM,TJ Logan,LogaT.00,2019-10-13,2019,6,REG,0,0,0,0,0,0,0,0,0,25
0,TAM,TJ Logan,LogaT.00,1970-01-01,2019,7,BYE,0,0,0,0,0,0,0,0,0,0
17,TAM,TJ Logan,LogaT.00,2019-10-27,2019,8,REG,0,0,0,0,0,0,0,0,0,19
18,TAM,TJ Logan,LogaT.00,2019-11-03,2019,9,REG,0,0,0,0,1,1,2,0,2,22
19,TAM,TJ Logan,LogaT.00,2019-11-10,2019,10,REG,0,1,6,0,1,0,0,0,4,20
20,TAM,TJ Logan,LogaT.00,2019-11-17,2019,11,REG,0,0,0,0,1,1,11,0,1,17
21,TAM,TJ Logan,LogaT.00,2019-11-24,2019,12,REG,0,1,2,0,0,0,0,0,7,24
22,TAM,TJ Logan,LogaT.00,2019-12-01,2019,13,REG,0,1,2,0,0,0,0,0,5,17
0,TAM,TJ Logan,LogaT.00,2019-12-08,2019,14,DNP,0,0,0,0,0,0,0,0,0,0
0,TAM,TJ Logan,LogaT.00,2019-12-15,2019,15,DNP,0,0,0,0,0,0,0,0,0,0
0,TAM,TJ Logan,LogaT.00,2019-12-21,2019,16,DNP,0,0,0,0,0,0,0,0,0,0
0,TAM,TJ Logan,LogaT.00,2019-12-29,2019,17,DNP,0,0,0,0,0,0,0,0,0,0
