CarGm,Team,Player,pfr_id,Date,Season,Week,Season_type,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp
1,JAX,Tavian Banks,BankTa00,1998-09-06,1998,1,REG,0,0,0,0,1,1,10,0,0,0
2,JAX,Tavian Banks,BankTa00,1998-09-13,1998,2,REG,0,1,1,0,1,1,5,0,0,0
3,JAX,Tavian Banks,BankTa00,1998-09-20,1998,3,REG,0,4,26,0,1,1,-1,0,0,0
4,JAX,Tavian Banks,BankTa00,1998-09-27,1998,4,REG,0,4,8,0,0,0,0,0,0,0
0,JAX,Tavian Banks,BankTa00,,1998,5,BYE,0,0,0,0,0,0,0,0,0,0
5,JAX,Tavian Banks,BankTa00,1998-10-12,1998,6,REG,0,9,75,0,1,1,6,0,0,0
6,JAX,Tavian Banks,BankTa00,1998-10-18,1998,7,REG,1,8,30,1,0,0,0,0,0,0
0,JAX,Tavian Banks,BankTa00,1998-10-25,1998,8,DNP,0,0,0,0,0,0,0,0,0,0
0,JAX,Tavian Banks,BankTa00,1998-11-01,1998,9,DNP,0,0,0,0,0,0,0,0,0,0
0,JAX,Tavian Banks,BankTa00,1998-11-08,1998,10,DNP,0,0,0,0,0,0,0,0,0,0
0,JAX,Tavian Banks,BankTa00,1998-11-15,1998,11,DNP,0,0,0,0,0,0,0,0,0,0
0,JAX,Tavian Banks,BankTa00,1998-11-22,1998,12,DNP,0,0,0,0,0,0,0,0,0,0
0,JAX,Tavian Banks,BankTa00,1998-11-29,1998,13,DNP,0,0,0,0,0,0,0,0,0,0
0,JAX,Tavian Banks,BankTa00,1998-12-06,1998,14,DNP,0,0,0,0,0,0,0,0,0,0
0,JAX,Tavian Banks,BankTa00,1998-12-13,1998,15,DNP,0,0,0,0,0,0,0,0,0,0
0,JAX,Tavian Banks,BankTa00,1998-12-20,1998,16,DNP,0,0,0,0,0,0,0,0,0,0
0,JAX,Tavian Banks,BankTa00,1998-12-28,1998,17,DNP,0,0,0,0,0,0,0,0,0,0
7,JAX,Tavian Banks,BankTa00,1999-01-10,1998,19,POST,1,0,0,0,1,1,7,0,0,0
8,JAX,Tavian Banks,BankTa00,1999-09-12,1999,1,REG,0,2,-2,0,0,0,0,0,0,0
9,JAX,Tavian Banks,BankTa00,1999-09-19,1999,2,REG,0,8,43,0,1,1,6,0,0,0
10,JAX,Tavian Banks,BankTa00,1999-09-26,1999,3,REG,0,1,0,0,1,1,7,0,0,0
11,JAX,Tavian Banks,BankTa00,1999-10-03,1999,4,REG,0,1,2,0,1,1,3,0,0,0
12,JAX,Tavian Banks,BankTa00,1999-10-11,1999,5,REG,0,3,14,0,5,3,26,0,0,0
13,JAX,Tavian Banks,BankTa00,1999-10-17,1999,6,REG,0,1,1,0,6,5,40,0,0,0
0,JAX,Tavian Banks,BankTa00,,1999,7,BYE,0,0,0,0,0,0,0,0,0,0
14,JAX,Tavian Banks,BankTa00,1999-10-31,1999,8,REG,1,6,12,0,4,2,50,0,0,0
15,JAX,Tavian Banks,BankTa00,1999-11-07,1999,9,REG,0,1,12,0,1,1,5,0,0,0
0,JAX,Tavian Banks,BankTa00,1999-11-14,1999,10,DNP,0,0,0,0,0,0,0,0,0,0
0,JAX,Tavian Banks,BankTa00,1999-11-21,1999,11,DNP,0,0,0,0,0,0,0,0,0,0
0,JAX,Tavian Banks,BankTa00,1999-11-28,1999,12,DNP,0,0,0,0,0,0,0,0,0,0
0,JAX,Tavian Banks,BankTa00,1999-12-02,1999,13,DNP,0,0,0,0,0,0,0,0,0,0
0,JAX,Tavian Banks,BankTa00,1999-12-13,1999,14,DNP,0,0,0,0,0,0,0,0,0,0
0,JAX,Tavian Banks,BankTa00,1999-12-19,1999,15,DNP,0,0,0,0,0,0,0,0,0,0
0,JAX,Tavian Banks,BankTa00,1999-12-26,1999,16,DNP,0,0,0,0,0,0,0,0,0,0
0,JAX,Tavian Banks,BankTa00,2000-01-02,1999,17,DNP,0,0,0,0,0,0,0,0,0,0
