CarGm,Team,Player,pfr_id,Date,Season,Week,Season_type,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp
1,SFO,Terry Jackson,JackTe00,1999-09-12,1999,1,REG,0,0,0,0,1,1,3,0,0,0
2,SFO,Terry Jackson,JackTe00,1999-09-19,1999,2,REG,0,0,0,0,0,0,0,0,0,0
3,SFO,Terry Jackson,JackTe00,1999-09-27,1999,3,REG,0,0,0,0,0,0,0,0,0,0
4,SFO,Terry Jackson,JackTe00,1999-10-03,1999,4,REG,0,0,0,0,0,0,0,0,0,0
5,SFO,Terry Jackson,JackTe00,1999-10-10,1999,5,REG,0,0,0,0,0,0,0,0,0,0
6,SFO,Terry Jackson,JackTe00,1999-10-17,1999,6,REG,0,0,0,0,0,0,0,0,0,0
7,SFO,Terry Jackson,JackTe00,1999-10-24,1999,7,REG,0,0,0,0,0,0,0,0,0,0
0,SFO,Terry Jackson,JackTe00,,1999,8,BYE,0,0,0,0,0,0,0,0,0,0
8,SFO,Terry Jackson,JackTe00,1999-11-07,1999,9,REG,0,0,0,0,0,0,0,0,0,0
9,SFO,Terry Jackson,JackTe00,1999-11-14,1999,10,REG,0,0,0,0,0,0,0,0,0,0
10,SFO,Terry Jackson,JackTe00,1999-11-21,1999,11,REG,0,0,0,0,0,0,0,0,0,0
11,SFO,Terry Jackson,JackTe00,1999-11-29,1999,12,REG,0,0,0,0,0,0,0,0,0,0
12,SFO,Terry Jackson,JackTe00,1999-12-05,1999,13,REG,0,0,0,0,0,0,0,0,0,0
13,SFO,Terry Jackson,JackTe00,1999-12-12,1999,14,REG,0,5,24,0,0,0,0,0,0,0
14,SFO,Terry Jackson,JackTe00,1999-12-18,1999,15,REG,0,0,0,0,0,0,0,0,0,0
15,SFO,Terry Jackson,JackTe00,1999-12-26,1999,16,REG,0,5,16,0,0,0,0,0,0,0
16,SFO,Terry Jackson,JackTe00,2000-01-03,1999,17,REG,0,5,35,0,2,2,3,0,0,0
17,SFO,Terry Jackson,JackTe00,2000-09-03,2000,1,REG,0,1,0,0,0,0,0,0,0,0
18,SFO,Terry Jackson,JackTe00,2000-09-10,2000,2,REG,0,1,1,1,0,0,0,0,0,0
19,SFO,Terry Jackson,JackTe00,2000-09-17,2000,3,REG,0,1,2,0,0,0,0,0,0,0
20,SFO,Terry Jackson,JackTe00,2000-09-24,2000,4,REG,0,0,0,0,0,0,0,0,0,0
21,SFO,Terry Jackson,JackTe00,2000-10-01,2000,5,REG,0,0,0,0,0,0,0,0,0,0
