CarGm,Team,Player,pfr_id,Date,Season,Week,Season_type,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp
1,NYG,Tiki Barber,BarbTi00,1997-08-31,1997,1,REG,1,20,88,1,5,3,32,0,0,0
2,NYG,Tiki Barber,BarbTi00,1997-09-07,1997,2,REG,1,11,17,1,4,3,43,0,0,0
3,NYG,Tiki Barber,BarbTi00,1997-09-14,1997,3,REG,0,16,64,1,7,5,27,0,0,0
4,NYG,Tiki Barber,BarbTi00,1997-09-21,1997,4,REG,1,9,4,0,5,3,15,0,0,0
5,NYG,Tiki Barber,BarbTi00,1997-09-28,1997,5,REG,1,11,42,0,3,2,29,0,0,0
0,NYG,Tiki Barber,BarbTi00,1997-10-05,1997,6,DNP,0,0,0,0,0,0,0,0,0,0
0,NYG,Tiki Barber,BarbTi00,1997-10-12,1997,7,DNP,0,0,0,0,0,0,0,0,0,0
0,NYG,Tiki Barber,BarbTi00,1997-10-19,1997,8,DNP,0,0,0,0,0,0,0,0,0,0
0,NYG,Tiki Barber,BarbTi00,1997-10-26,1997,9,DNP,0,0,0,0,0,0,0,0,0,0
0,NYG,Tiki Barber,BarbTi00,,1997,10,BYE,0,0,0,0,0,0,0,0,0,0
6,NYG,Tiki Barber,BarbTi00,1997-11-09,1997,11,REG,0,2,-1,0,0,0,0,0,0,0
7,NYG,Tiki Barber,BarbTi00,1997-11-16,1997,12,REG,0,7,42,0,4,4,44,0,0,0
8,NYG,Tiki Barber,BarbTi00,1997-11-23,1997,13,REG,0,6,23,0,8,7,65,0,0,0
9,NYG,Tiki Barber,BarbTi00,1997-11-30,1997,14,REG,0,3,4,0,4,1,7,0,0,0
10,NYG,Tiki Barber,BarbTi00,1997-12-07,1997,15,REG,0,21,114,0,6,4,28,1,0,0
11,NYG,Tiki Barber,BarbTi00,1997-12-13,1997,16,REG,1,13,32,0,3,1,7,0,0,0
12,NYG,Tiki Barber,BarbTi00,1997-12-21,1997,17,REG,1,17,82,0,5,1,2,0,0,0
13,NYG,Tiki Barber,BarbTi00,1997-12-27,1997,18,POST,0,17,29,0,10,3,31,0,0,0
14,NYG,Tiki Barber,BarbTi00,1998-09-06,1998,1,REG,1,12,37,0,3,0,0,0,0,0
15,NYG,Tiki Barber,BarbTi00,1998-09-13,1998,2,REG,1,13,32,0,7,5,34,0,0,0
16,NYG,Tiki Barber,BarbTi00,1998-09-21,1998,3,REG,1,3,11,0,6,4,23,0,0,0
17,NYG,Tiki Barber,BarbTi00,1998-09-27,1998,4,REG,1,3,-3,0,1,1,5,0,0,0
18,NYG,Tiki Barber,BarbTi00,1998-10-04,1998,5,REG,0,2,-2,0,6,3,10,0,0,0
19,NYG,Tiki Barber,BarbTi00,1998-10-11,1998,6,REG,0,3,12,0,9,9,56,0,0,0
20,NYG,Tiki Barber,BarbTi00,1998-10-18,1998,7,REG,0,1,2,0,5,3,40,0,0,0
0,NYG,Tiki Barber,BarbTi00,,1998,8,BYE,0,0,0,0,0,0,0,0,0,0
21,NYG,Tiki Barber,BarbTi00,1998-11-01,1998,9,REG,0,2,16,0,4,3,14,0,0,0
22,NYG,Tiki Barber,BarbTi00,1998-11-08,1998,10,REG,0,6,17,0,0,0,0,0,0,0
23,NYG,Tiki Barber,BarbTi00,1998-11-15,1998,11,REG,0,0,0,0,1,1,1,0,0,0
24,NYG,Tiki Barber,BarbTi00,1998-11-22,1998,12,REG,0,1,2,0,2,1,8,1,0,0
25,NYG,Tiki Barber,BarbTi00,1998-11-30,1998,13,REG,0,2,9,0,4,4,13,0,0,0
26,NYG,Tiki Barber,BarbTi00,1998-12-06,1998,14,REG,0,1,2,0,2,2,91,1,0,0
27,NYG,Tiki Barber,BarbTi00,1998-12-13,1998,15,REG,0,0,0,0,3,2,29,1,0,0
28,NYG,Tiki Barber,BarbTi00,1998-12-20,1998,16,REG,0,1,23,0,1,1,3,0,0,0
29,NYG,Tiki Barber,BarbTi00,1998-12-27,1998,17,REG,0,2,8,0,5,3,21,0,0,0
30,NYG,Tiki Barber,BarbTi00,1999-09-12,1999,1,REG,0,0,0,0,1,0,0,0,0,0
31,NYG,Tiki Barber,BarbTi00,1999-09-19,1999,2,REG,0,0,0,0,3,1,4,0,0,0
32,NYG,Tiki Barber,BarbTi00,1999-09-26,1999,3,REG,0,1,3,0,6,5,46,1,0,0
33,NYG,Tiki Barber,BarbTi00,1999-10-03,1999,4,REG,0,0,0,0,2,2,6,0,0,0
34,NYG,Tiki Barber,BarbTi00,1999-10-10,1999,5,REG,0,1,7,0,4,4,23,0,0,0
35,NYG,Tiki Barber,BarbTi00,1999-10-18,1999,6,REG,0,10,35,0,6,5,73,0,0,0
36,NYG,Tiki Barber,BarbTi00,1999-10-24,1999,7,REG,0,1,9,0,1,1,7,0,0,0
37,NYG,Tiki Barber,BarbTi00,1999-10-31,1999,8,REG,0,1,4,0,5,4,43,0,0,0
0,NYG,Tiki Barber,BarbTi00,,1999,9,BYE,0,0,0,0,0,0,0,0,0,0
38,NYG,Tiki Barber,BarbTi00,1999-11-14,1999,10,REG,1,9,57,0,6,4,15,0,0,0
39,NYG,Tiki Barber,BarbTi00,1999-11-21,1999,11,REG,0,10,44,0,5,4,46,0,0,0
40,NYG,Tiki Barber,BarbTi00,1999-11-28,1999,12,REG,0,10,37,0,7,3,64,1,0,0
41,NYG,Tiki Barber,BarbTi00,1999-12-05,1999,13,REG,0,4,9,0,4,1,-7,0,0,0
42,NYG,Tiki Barber,BarbTi00,1999-12-12,1999,14,REG,0,4,6,0,11,8,90,0,0,0
43,NYG,Tiki Barber,BarbTi00,1999-12-19,1999,15,REG,0,5,33,0,4,3,43,0,0,0
44,NYG,Tiki Barber,BarbTi00,1999-12-26,1999,16,REG,0,5,11,0,12,8,56,0,0,0
45,NYG,Tiki Barber,BarbTi00,2000-01-02,1999,17,REG,0,1,3,0,14,13,100,0,0,0
46,NYG,Tiki Barber,BarbTi00,2000-09-03,2000,1,REG,1,13,144,2,5,3,25,0,0,0
47,NYG,Tiki Barber,BarbTi00,2000-09-10,2000,2,REG,1,11,96,1,4,3,29,0,0,0
48,NYG,Tiki Barber,BarbTi00,2000-09-17,2000,3,REG,1,17,86,1,8,6,58,0,0,0
49,NYG,Tiki Barber,BarbTi00,2000-09-24,2000,4,REG,1,16,65,0,9,6,41,0,0,0
