CarGm,Team,Player,pfr_id,Date,Season,Week,Season_type,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp
1,SEA,Tommie Agee,AgeeTo00,1988-09-04,1988,1,REG,0,0,0,0,0,0,0,0,0,0
2,SEA,Tommie Agee,AgeeTo00,1988-09-11,1988,2,REG,0,0,0,0,0,0,0,0,0,0
3,SEA,Tommie Agee,AgeeTo00,1988-09-18,1988,3,REG,0,0,0,0,0,0,0,0,0,0
4,SEA,Tommie Agee,AgeeTo00,1988-09-25,1988,4,REG,0,0,0,0,3,2,23,0,0,0
5,SEA,Tommie Agee,AgeeTo00,1988-10-02,1988,5,REG,0,0,0,0,0,0,0,0,0,0
6,SEA,Tommie Agee,AgeeTo00,1988-10-09,1988,6,REG,0,0,0,0,0,0,0,0,0,0
7,SEA,Tommie Agee,AgeeTo00,1988-10-16,1988,7,REG,0,0,0,0,0,0,0,0,0,0
8,SEA,Tommie Agee,AgeeTo00,1988-10-23,1988,8,REG,0,1,2,0,2,1,8,0,0,0
9,SEA,Tommie Agee,AgeeTo00,1988-10-30,1988,9,REG,0,0,0,0,0,0,0,0,0,0
10,SEA,Tommie Agee,AgeeTo00,1988-11-06,1988,10,REG,0,0,0,0,0,0,0,0,0,0
11,SEA,Tommie Agee,AgeeTo00,1988-11-13,1988,11,REG,0,0,0,0,0,0,0,0,0,0
12,SEA,Tommie Agee,AgeeTo00,1988-11-20,1988,12,REG,0,0,0,0,0,0,0,0,0,0
13,SEA,Tommie Agee,AgeeTo00,1988-11-28,1988,13,REG,0,0,0,0,0,0,0,0,0,0
14,SEA,Tommie Agee,AgeeTo00,1988-12-04,1988,14,REG,0,0,0,0,0,0,0,0,0,0
15,SEA,Tommie Agee,AgeeTo00,1988-12-11,1988,15,REG,0,0,0,0,0,0,0,0,0,0
16,SEA,Tommie Agee,AgeeTo00,1988-12-18,1988,16,REG,0,0,0,0,0,0,0,0,0,0
17,SEA,Tommie Agee,AgeeTo00,1988-12-31,1988,18,POST,0,0,0,0,0,0,0,0,0,0
18,KAN,Tommie Agee,AgeeTo00,1989-10-29,1989,8,REG,0,0,0,0,0,0,0,0,0,0
19,KAN,Tommie Agee,AgeeTo00,1989-11-05,1989,9,REG,0,0,0,0,0,0,0,0,0,0
20,KAN,Tommie Agee,AgeeTo00,1989-11-12,1989,10,REG,0,0,0,0,0,0,0,0,0,0
21,KAN,Tommie Agee,AgeeTo00,1989-11-19,1989,11,REG,0,0,0,0,0,0,0,0,0,0
22,KAN,Tommie Agee,AgeeTo00,1989-11-26,1989,12,REG,0,1,3,0,0,0,0,0,0,0
23,KAN,Tommie Agee,AgeeTo00,1989-12-03,1989,13,REG,0,0,0,0,0,0,0,0,0,0
24,KAN,Tommie Agee,AgeeTo00,1989-12-10,1989,14,REG,0,0,0,0,0,0,0,0,0,0
25,KAN,Tommie Agee,AgeeTo00,1989-12-17,1989,15,REG,0,0,0,0,0,0,0,0,0,0
26,KAN,Tommie Agee,AgeeTo00,1989-12-24,1989,16,REG,0,0,0,0,0,0,0,0,0,0
27,DAL,Tommie Agee,AgeeTo00,1990-09-09,1990,1,REG,1,13,59,0,6,4,50,0,0,0
28,DAL,Tommie Agee,AgeeTo00,1990-09-16,1990,2,REG,1,3,5,0,4,3,16,0,0,0
29,DAL,Tommie Agee,AgeeTo00,1990-09-23,1990,3,REG,0,0,0,0,0,0,0,0,0,0
30,DAL,Tommie Agee,AgeeTo00,1990-09-30,1990,4,REG,0,0,0,0,0,0,0,0,0,0
31,DAL,Tommie Agee,AgeeTo00,1990-10-07,1990,5,REG,0,1,4,0,3,2,48,0,0,0
32,DAL,Tommie Agee,AgeeTo00,1990-10-14,1990,6,REG,0,2,7,0,2,1,-1,0,0,0
33,DAL,Tommie Agee,AgeeTo00,1990-10-21,1990,7,REG,0,3,6,0,3,1,14,0,0,0
34,DAL,Tommie Agee,AgeeTo00,1990-10-28,1990,8,REG,1,6,54,0,6,5,36,0,0,0
35,DAL,Tommie Agee,AgeeTo00,1990-11-04,1990,9,REG,1,4,15,0,3,3,21,0,0,0
36,DAL,Tommie Agee,AgeeTo00,1990-11-11,1990,10,REG,1,3,3,0,3,1,9,0,0,0
37,DAL,Tommie Agee,AgeeTo00,1990-11-18,1990,11,REG,1,2,6,0,1,1,6,1,0,0
38,DAL,Tommie Agee,AgeeTo00,1990-11-22,1990,12,REG,1,1,1,0,1,1,6,0,0,0
39,DAL,Tommie Agee,AgeeTo00,1990-12-02,1990,13,REG,1,3,2,0,1,1,7,0,0,0
0,DAL,Tommie Agee,AgeeTo00,,1990,14,BYE,0,0,0,0,0,0,0,0,0,0
40,DAL,Tommie Agee,AgeeTo00,1990-12-16,1990,15,REG,1,11,48,0,3,3,24,0,0,0
