CarGm,Team,Player,pfr_id,Date,Season,Week,Season_type,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp
1,NYJ,Tommy Bohanon,BohaTo00,2013-09-08,2013,1,REG,0,0,0,0,2,1,21,0,34,4
2,NYJ,Tommy Bohanon,BohaTo00,2013-09-12,2013,2,REG,0,4,12,0,1,1,-3,0,29,7
3,NYJ,Tommy Bohanon,BohaTo00,2013-09-22,2013,3,REG,1,1,0,0,1,1,9,0,24,6
4,NYJ,Tommy Bohanon,BohaTo00,2013-09-29,2013,4,REG,0,4,17,0,3,3,17,0,26,7
5,NYJ,Tommy Bohanon,BohaTo00,2013-10-07,2013,5,REG,1,0,0,0,0,0,0,0,15,5
6,NYJ,Tommy Bohanon,BohaTo00,2013-10-13,2013,6,REG,0,0,0,0,0,0,0,0,27,6
7,NYJ,Tommy Bohanon,BohaTo00,2013-10-20,2013,7,REG,0,6,21,0,0,0,0,0,54,5
8,NYJ,Tommy Bohanon,BohaTo00,2013-10-27,2013,8,REG,0,0,0,0,0,0,0,0,13,7
9,NYJ,Tommy Bohanon,BohaTo00,2013-11-03,2013,9,REG,1,0,0,0,2,1,11,0,27,0
0,NYJ,Tommy Bohanon,BohaTo00,,2013,10,BYE,0,0,0,0,0,0,0,0,0,0
10,NYJ,Tommy Bohanon,BohaTo00,2013-11-17,2013,11,REG,1,0,0,0,2,2,5,0,16,6
11,NYJ,Tommy Bohanon,BohaTo00,2013-11-24,2013,12,REG,1,0,0,0,0,0,0,0,17,8
12,NYJ,Tommy Bohanon,BohaTo00,2013-12-01,2013,13,REG,1,0,0,0,0,0,0,0,14,6
13,NYJ,Tommy Bohanon,BohaTo00,2013-12-08,2013,14,REG,1,0,0,0,2,1,6,0,23,5
14,NYJ,Tommy Bohanon,BohaTo00,2013-12-15,2013,15,REG,1,0,0,0,2,1,3,0,19,7
15,NYJ,Tommy Bohanon,BohaTo00,2013-12-22,2013,16,REG,0,0,0,0,1,0,0,0,17,4
16,NYJ,Tommy Bohanon,BohaTo00,2013-12-29,2013,17,REG,0,2,12,0,0,0,0,0,16,2
17,NYJ,Tommy Bohanon,BohaTo00,2014-09-07,2014,1,REG,0,0,0,0,0,0,0,0,12,2
18,NYJ,Tommy Bohanon,BohaTo00,2014-09-14,2014,2,REG,0,1,3,0,2,2,30,0,13,2
19,NYJ,Tommy Bohanon,BohaTo00,2014-09-22,2014,3,REG,1,0,0,0,0,0,0,0,13,0
20,NYJ,Tommy Bohanon,BohaTo00,2014-09-28,2014,4,REG,1,0,0,0,0,0,0,0,16,8
0,NYJ,Tommy Bohanon,BohaTo00,2014-10-05,2014,5,DNP,0,0,0,0,0,0,0,0,0,0
0,NYJ,Tommy Bohanon,BohaTo00,2014-10-12,2014,6,DNP,0,0,0,0,0,0,0,0,0,0
0,NYJ,Tommy Bohanon,BohaTo00,2014-10-16,2014,7,DNP,0,0,0,0,0,0,0,0,0,0
0,NYJ,Tommy Bohanon,BohaTo00,2014-10-26,2014,8,DNP,0,0,0,0,0,0,0,0,0,0
0,NYJ,Tommy Bohanon,BohaTo00,2014-11-02,2014,9,DNP,0,0,0,0,0,0,0,0,0,0
0,NYJ,Tommy Bohanon,BohaTo00,2014-11-09,2014,10,DNP,0,0,0,0,0,0,0,0,0,0
0,NYJ,Tommy Bohanon,BohaTo00,,2014,11,BYE,0,0,0,0,0,0,0,0,0,0
0,NYJ,Tommy Bohanon,BohaTo00,2014-11-24,2014,12,DNP,0,0,0,0,0,0,0,0,0,0
0,NYJ,Tommy Bohanon,BohaTo00,2014-12-01,2014,13,DNP,0,0,0,0,0,0,0,0,0,0
0,NYJ,Tommy Bohanon,BohaTo00,2014-12-07,2014,14,DNP,0,0,0,0,0,0,0,0,0,0
0,NYJ,Tommy Bohanon,BohaTo00,2014-12-14,2014,15,DNP,0,0,0,0,0,0,0,0,0,0
0,NYJ,Tommy Bohanon,BohaTo00,2014-12-21,2014,16,DNP,0,0,0,0,0,0,0,0,0,0
0,NYJ,Tommy Bohanon,BohaTo00,2014-12-28,2014,17,DNP,0,0,0,0,0,0,0,0,0,0
21,NYJ,Tommy Bohanon,BohaTo00,2015-09-13,2015,1,REG,0,2,2,0,0,0,0,0,12,11
22,NYJ,Tommy Bohanon,BohaTo00,2015-09-21,2015,2,REG,1,0,0,0,0,0,0,0,29,13
23,NYJ,Tommy Bohanon,BohaTo00,2015-09-27,2015,3,REG,0,0,0,0,0,0,0,0,2,21
24,NYJ,Tommy Bohanon,BohaTo00,2015-10-04,2015,4,REG,1,0,0,0,0,0,0,0,39,17
0,NYJ,Tommy Bohanon,BohaTo00,,2015,5,BYE,0,0,0,0,0,0,0,0,0,0
25,NYJ,Tommy Bohanon,BohaTo00,2015-10-18,2015,6,REG,0,0,0,0,0,0,0,0,18,16
26,NYJ,Tommy Bohanon,BohaTo00,2015-10-25,2015,7,REG,1,0,0,0,4,2,36,0,23,12
27,NYJ,Tommy Bohanon,BohaTo00,2015-11-01,2015,8,REG,0,0,0,0,0,0,0,0,7,19
28,NYJ,Tommy Bohanon,BohaTo00,2015-11-08,2015,9,REG,1,0,0,0,0,0,0,0,24,18
29,NYJ,Tommy Bohanon,BohaTo00,2015-11-12,2015,10,REG,0,0,0,0,1,1,18,0,19,17
30,NYJ,Tommy Bohanon,BohaTo00,2015-11-22,2015,11,REG,0,0,0,0,0,0,0,0,11,20
31,NYJ,Tommy Bohanon,BohaTo00,2015-11-29,2015,12,REG,0,0,0,0,1,0,0,0,27,15
32,NYJ,Tommy Bohanon,BohaTo00,2015-12-06,2015,13,REG,0,0,0,0,0,0,0,0,8,13
33,NYJ,Tommy Bohanon,BohaTo00,2015-12-13,2015,14,REG,0,0,0,0,2,1,2,0,27,7
34,NYJ,Tommy Bohanon,BohaTo00,2015-12-19,2015,15,REG,0,0,0,0,0,0,0,0,13,10
35,NYJ,Tommy Bohanon,BohaTo00,2015-12-27,2015,16,REG,0,0,0,0,0,0,0,0,2,11
36,NYJ,Tommy Bohanon,BohaTo00,2016-01-03,2015,17,REG,0,0,0,0,0,0,0,0,7,14
0,NYJ,Tommy Bohanon,BohaTo00,2016-09-11,2016,1,DNP,0,0,0,0,0,0,0,0,0,0
0,NYJ,Tommy Bohanon,BohaTo00,2016-09-15,2016,2,DNP,0,0,0,0,0,0,0,0,0,0
0,NYJ,Tommy Bohanon,BohaTo00,2016-09-25,2016,3,DNP,0,0,0,0,0,0,0,0,0,0
0,NYJ,Tommy Bohanon,BohaTo00,2016-10-02,2016,4,DNP,0,0,0,0,0,0,0,0,0,0
0,NYJ,Tommy Bohanon,BohaTo00,2016-10-09,2016,5,DNP,0,0,0,0,0,0,0,0,0,0
0,NYJ,Tommy Bohanon,BohaTo00,2016-10-17,2016,6,DNP,0,0,0,0,0,0,0,0,0,0
0,NYJ,Tommy Bohanon,BohaTo00,2016-10-23,2016,7,DNP,0,0,0,0,0,0,0,0,0,0
0,NYJ,Tommy Bohanon,BohaTo00,2016-10-30,2016,8,DNP,0,0,0,0,0,0,0,0,0,0
0,NYJ,Tommy Bohanon,BohaTo00,2016-11-06,2016,9,DNP,0,0,0,0,0,0,0,0,0,0
0,NYJ,Tommy Bohanon,BohaTo00,2016-11-13,2016,10,DNP,0,0,0,0,0,0,0,0,0,0
0,NYJ,Tommy Bohanon,BohaTo00,2016-11-27,2016,12,DNP,0,0,0,0,0,0,0,0,0,0
0,NYJ,Tommy Bohanon,BohaTo00,2016-12-05,2016,13,DNP,0,0,0,0,0,0,0,0,0,0
0,NYJ,Tommy Bohanon,BohaTo00,2016-12-11,2016,14,DNP,0,0,0,0,0,0,0,0,0,0
0,NYJ,Tommy Bohanon,BohaTo00,2016-12-17,2016,15,DNP,0,0,0,0,0,0,0,0,0,0
0,NYJ,Tommy Bohanon,BohaTo00,2016-12-24,2016,16,DNP,0,0,0,0,0,0,0,0,0,0
0,NYJ,Tommy Bohanon,BohaTo00,2017-01-01,2016,17,DNP,0,0,0,0,0,0,0,0,0,0
37,JAX,Tommy Bohanon,BohaTo00,2017-09-10,2017,1,REG,1,1,0,0,1,1,1,1,26,17
38,JAX,Tommy Bohanon,BohaTo00,2017-09-17,2017,2,REG,1,0,0,0,0,0,0,0,9,15
39,JAX,Tommy Bohanon,BohaTo00,2017-09-24,2017,3,REG,0,0,0,0,3,1,8,0,36,20
40,JAX,Tommy Bohanon,BohaTo00,2017-10-01,2017,4,REG,1,0,0,0,2,2,14,0,18,24
41,JAX,Tommy Bohanon,BohaTo00,2017-10-08,2017,5,REG,1,0,0,0,0,0,0,0,12,9
42,JAX,Tommy Bohanon,BohaTo00,2017-10-15,2017,6,REG,1,0,0,0,2,0,0,0,22,6
43,JAX,Tommy Bohanon,BohaTo00,2017-10-22,2017,7,REG,0,1,0,0,1,1,14,0,21,3
0,JAX,Tommy Bohanon,BohaTo00,,2017,8,BYE,0,0,0,0,0,0,0,0,0,0
44,JAX,Tommy Bohanon,BohaTo00,2017-11-05,2017,9,REG,0,0,0,0,1,1,6,0,22,5
45,JAX,Tommy Bohanon,BohaTo00,2017-11-12,2017,10,REG,0,0,0,0,1,0,0,0,9,12
46,JAX,Tommy Bohanon,BohaTo00,2017-11-19,2017,11,REG,1,1,3,0,0,0,0,0,29,15
47,JAX,Tommy Bohanon,BohaTo00,2017-11-26,2017,12,REG,1,0,0,0,0,0,0,0,7,12
48,JAX,Tommy Bohanon,BohaTo00,2017-12-03,2017,13,REG,0,0,0,0,0,0,0,0,8,5
49,JAX,Tommy Bohanon,BohaTo00,2017-12-10,2017,14,REG,1,0,0,0,0,0,0,0,18,9
50,JAX,Tommy Bohanon,BohaTo00,2017-12-17,2017,15,REG,1,2,2,2,0,0,0,0,25,8
51,JAX,Tommy Bohanon,BohaTo00,2017-12-24,2017,16,REG,1,0,0,0,0,0,0,0,8,14
52,JAX,Tommy Bohanon,BohaTo00,2017-12-31,2017,17,REG,0,0,0,0,0,0,0,0,3,9
53,JAX,Tommy Bohanon,BohaTo00,2018-01-07,2017,18,POST,0,0,0,0,1,0,0,0,19,5
54,JAX,Tommy Bohanon,BohaTo00,2018-01-14,2017,19,POST,1,0,0,0,1,1,14,1,27,10
55,JAX,Tommy Bohanon,BohaTo00,2018-01-21,2017,20,POST,0,0,0,0,1,1,20,0,16,11
56,JAX,Tommy Bohanon,BohaTo00,2018-09-09,2018,1,REG,1,0,0,0,0,0,0,0,12,0
57,JAX,Tommy Bohanon,BohaTo00,2018-09-16,2018,2,REG,1,0,0,0,0,0,0,0,6,1
58,JAX,Tommy Bohanon,BohaTo00,2018-09-23,2018,3,REG,0,0,0,0,2,1,5,0,5,0
59,JAX,Tommy Bohanon,BohaTo00,2018-09-30,2018,4,REG,0,0,0,0,0,0,0,0,2,2
60,JAX,Tommy Bohanon,BohaTo00,2018-10-07,2018,5,REG,1,0,0,0,1,0,0,0,11,0
61,JAX,Tommy Bohanon,BohaTo00,2018-10-14,2018,6,REG,0,0,0,0,0,0,0,0,4,10
62,JAX,Tommy Bohanon,BohaTo00,2018-10-21,2018,7,REG,0,0,0,0,1,1,5,0,10,11
63,JAX,Tommy Bohanon,BohaTo00,2018-10-28,2018,8,REG,1,0,0,0,0,0,0,0,6,7
0,JAX,Tommy Bohanon,BohaTo00,,2018,9,BYE,0,0,0,0,0,0,0,0,0,0
