CarGm,Team,Player,pfr_id,Date,Season,Week,Season_type,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp
1,HOU,Tracy Johnson,JohnTr00,1989-09-10,1989,1,REG,0,0,0,0,0,0,0,0,0,0
2,HOU,Tracy Johnson,JohnTr00,1989-09-17,1989,2,REG,0,0,0,0,0,0,0,0,0,0
3,HOU,Tracy Johnson,JohnTr00,1989-09-24,1989,3,REG,0,0,0,0,0,0,0,0,0,0
4,HOU,Tracy Johnson,JohnTr00,1989-10-01,1989,4,REG,0,1,-1,0,0,0,0,0,0,0
5,HOU,Tracy Johnson,JohnTr00,1989-10-08,1989,5,REG,0,0,0,0,0,0,0,0,0,0
6,HOU,Tracy Johnson,JohnTr00,1989-10-15,1989,6,REG,0,0,0,0,0,0,0,0,0,0
7,HOU,Tracy Johnson,JohnTr00,1989-10-22,1989,7,REG,0,0,0,0,0,0,0,0,0,0
8,HOU,Tracy Johnson,JohnTr00,1989-10-29,1989,8,REG,0,0,0,0,0,0,0,0,0,0
9,HOU,Tracy Johnson,JohnTr00,1989-11-05,1989,9,REG,0,0,0,0,0,0,0,0,0,0
10,HOU,Tracy Johnson,JohnTr00,1989-11-13,1989,10,REG,0,0,0,0,0,0,0,0,0,0
11,HOU,Tracy Johnson,JohnTr00,1989-11-19,1989,11,REG,0,0,0,0,1,1,8,0,0,0
12,HOU,Tracy Johnson,JohnTr00,1989-11-26,1989,12,REG,0,0,0,0,0,0,0,0,0,0
13,HOU,Tracy Johnson,JohnTr00,1989-12-03,1989,13,REG,0,0,0,0,0,0,0,0,0,0
14,HOU,Tracy Johnson,JohnTr00,1989-12-10,1989,14,REG,0,0,0,0,0,0,0,0,0,0
15,HOU,Tracy Johnson,JohnTr00,1989-12-17,1989,15,REG,0,3,17,0,0,0,0,0,0,0
16,HOU,Tracy Johnson,JohnTr00,1989-12-23,1989,16,REG,0,0,0,0,0,0,0,0,0,0
17,HOU,Tracy Johnson,JohnTr00,1989-12-31,1989,17,POST,0,0,0,0,0,0,0,0,0,0
18,ATL,Tracy Johnson,JohnTr00,1990-09-09,1990,1,REG,0,0,0,0,0,0,0,0,0,0
19,ATL,Tracy Johnson,JohnTr00,1990-09-16,1990,2,REG,0,1,3,0,1,1,12,0,0,0
20,ATL,Tracy Johnson,JohnTr00,1990-09-23,1990,3,REG,0,0,0,0,1,0,0,0,0,0
0,ATL,Tracy Johnson,JohnTr00,,1990,4,BYE,0,0,0,0,0,0,0,0,0,0
21,ATL,Tracy Johnson,JohnTr00,1990-10-07,1990,5,REG,0,0,0,0,0,0,0,0,0,0
22,ATL,Tracy Johnson,JohnTr00,1990-10-14,1990,6,REG,1,0,0,0,3,3,29,0,0,0
23,ATL,Tracy Johnson,JohnTr00,1990-10-21,1990,7,REG,1,1,12,0,0,0,0,0,0,0
24,ATL,Tracy Johnson,JohnTr00,1990-10-28,1990,8,REG,0,0,0,0,1,1,8,0,0,0
25,ATL,Tracy Johnson,JohnTr00,1990-11-04,1990,9,REG,0,0,0,0,0,0,0,0,0,0
26,ATL,Tracy Johnson,JohnTr00,1990-11-11,1990,10,REG,1,4,16,0,5,4,24,1,0,0
27,ATL,Tracy Johnson,JohnTr00,1990-11-18,1990,11,REG,0,3,3,1,0,0,0,0,0,0
28,ATL,Tracy Johnson,JohnTr00,1990-11-25,1990,12,REG,0,1,5,0,1,1,6,0,0,0
29,ATL,Tracy Johnson,JohnTr00,1990-12-02,1990,13,REG,1,9,33,1,0,0,0,0,0,0
30,ATL,Tracy Johnson,JohnTr00,1990-12-09,1990,14,REG,0,0,0,0,0,0,0,0,0,0
31,ATL,Tracy Johnson,JohnTr00,1990-12-16,1990,15,REG,0,4,23,0,1,0,0,0,0,0
32,ATL,Tracy Johnson,JohnTr00,1990-12-23,1990,16,REG,0,4,9,0,0,0,0,0,0,0
33,ATL,Tracy Johnson,JohnTr00,1990-12-30,1990,17,REG,1,3,2,1,0,0,0,0,0,0
34,ATL,Tracy Johnson,JohnTr00,1991-09-01,1991,1,REG,1,0,0,0,1,0,0,0,0,0
35,ATL,Tracy Johnson,JohnTr00,1991-09-08,1991,2,REG,1,1,6,0,0,0,0,0,0,0
36,ATL,Tracy Johnson,JohnTr00,1991-09-15,1991,3,REG,0,1,5,0,1,1,13,0,0,0
37,ATL,Tracy Johnson,JohnTr00,1991-09-22,1991,4,REG,0,2,1,0,0,0,0,0,0,0
38,ATL,Tracy Johnson,JohnTr00,1991-09-29,1991,5,REG,1,0,0,0,1,1,1,0,0,0
0,ATL,Tracy Johnson,JohnTr00,,1991,6,BYE,0,0,0,0,0,0,0,0,0,0
39,ATL,Tracy Johnson,JohnTr00,1991-10-13,1991,7,REG,0,0,0,0,0,0,0,0,0,0
40,ATL,Tracy Johnson,JohnTr00,1991-10-20,1991,8,REG,0,0,0,0,0,0,0,0,0,0
41,ATL,Tracy Johnson,JohnTr00,1991-10-27,1991,9,REG,0,0,0,0,0,0,0,0,0,0
42,ATL,Tracy Johnson,JohnTr00,1991-11-03,1991,10,REG,0,0,0,0,1,0,0,0,0,0
43,ATL,Tracy Johnson,JohnTr00,1991-11-10,1991,11,REG,0,0,0,0,0,0,0,0,0,0
44,ATL,Tracy Johnson,JohnTr00,1991-11-17,1991,12,REG,1,0,0,0,0,0,0,0,0,0
45,ATL,Tracy Johnson,JohnTr00,1991-11-24,1991,13,REG,1,3,10,0,1,1,13,0,0,0
46,ATL,Tracy Johnson,JohnTr00,1991-12-01,1991,14,REG,0,0,0,0,0,0,0,0,0,0
47,ATL,Tracy Johnson,JohnTr00,1991-12-08,1991,15,REG,0,0,0,0,0,0,0,0,0,0
48,ATL,Tracy Johnson,JohnTr00,1991-12-15,1991,16,REG,0,0,0,0,0,0,0,0,0,0
49,ATL,Tracy Johnson,JohnTr00,1991-12-22,1991,17,REG,0,1,4,0,0,0,0,0,0,0
50,ATL,Tracy Johnson,JohnTr00,1991-12-28,1991,18,POST,0,0,0,0,0,0,0,0,0,0
51,ATL,Tracy Johnson,JohnTr00,1992-01-04,1991,19,POST,0,8,33,1,0,0,0,0,0,0
52,SEA,Tracy Johnson,JohnTr00,1992-09-06,1992,1,REG,0,0,0,0,0,0,0,0,0,0
