CarGm,Team,Player,pfr_id,Date,Season,Week,Season_type,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp
1,GNB,Travis Jervey,JervTr00,1995-09-03,1995,1,REG,0,0,0,0,0,0,0,0,0,0
2,GNB,Travis Jervey,JervTr00,1995-09-11,1995,2,REG,0,0,0,0,0,0,0,0,0,0
3,GNB,Travis Jervey,JervTr00,1995-09-17,1995,3,REG,0,0,0,0,0,0,0,0,0,0
4,GNB,Travis Jervey,JervTr00,1995-09-24,1995,4,REG,0,0,0,0,0,0,0,0,0,0
0,GNB,Travis Jervey,JervTr00,,1995,5,BYE,0,0,0,0,0,0,0,0,0,0
5,GNB,Travis Jervey,JervTr00,1995-10-08,1995,6,REG,0,0,0,0,0,0,0,0,0,0
6,GNB,Travis Jervey,JervTr00,1995-10-15,1995,7,REG,0,0,0,0,0,0,0,0,0,0
7,GNB,Travis Jervey,JervTr00,1995-10-22,1995,8,REG,0,0,0,0,0,0,0,0,0,0
8,GNB,Travis Jervey,JervTr00,1995-10-29,1995,9,REG,0,0,0,0,0,0,0,0,0,0
9,GNB,Travis Jervey,JervTr00,1995-11-05,1995,10,REG,0,0,0,0,0,0,0,0,0,0
10,GNB,Travis Jervey,JervTr00,1995-11-12,1995,11,REG,0,0,0,0,0,0,0,0,0,0
11,GNB,Travis Jervey,JervTr00,1995-11-19,1995,12,REG,0,0,0,0,0,0,0,0,0,0
12,GNB,Travis Jervey,JervTr00,1995-11-26,1995,13,REG,0,0,0,0,0,0,0,0,0,0
13,GNB,Travis Jervey,JervTr00,1995-12-03,1995,14,REG,0,0,0,0,0,0,0,0,0,0
14,GNB,Travis Jervey,JervTr00,1995-12-10,1995,15,REG,0,0,0,0,0,0,0,0,0,0
15,GNB,Travis Jervey,JervTr00,1995-12-16,1995,16,REG,0,0,0,0,0,0,0,0,0,0
16,GNB,Travis Jervey,JervTr00,1995-12-24,1995,17,REG,0,0,0,0,0,0,0,0,0,0
17,GNB,Travis Jervey,JervTr00,1995-12-31,1995,18,POST,0,0,0,0,0,0,0,0,0,0
18,GNB,Travis Jervey,JervTr00,1996-01-06,1995,19,POST,0,0,0,0,0,0,0,0,0,0
19,GNB,Travis Jervey,JervTr00,1996-01-14,1995,20,POST,0,0,0,0,0,0,0,0,0,0
20,GNB,Travis Jervey,JervTr00,1996-09-01,1996,1,REG,0,5,13,0,0,0,0,0,0,0
21,GNB,Travis Jervey,JervTr00,1996-09-09,1996,2,REG,0,3,12,0,0,0,0,0,0,0
22,GNB,Travis Jervey,JervTr00,1996-09-15,1996,3,REG,0,4,14,0,0,0,0,0,0,0
23,GNB,Travis Jervey,JervTr00,1996-09-22,1996,4,REG,0,0,0,0,0,0,0,0,0,0
24,GNB,Travis Jervey,JervTr00,1996-09-29,1996,5,REG,0,0,0,0,0,0,0,0,0,0
25,GNB,Travis Jervey,JervTr00,1996-10-06,1996,6,REG,0,6,25,0,0,0,0,0,0,0
26,GNB,Travis Jervey,JervTr00,1996-10-14,1996,7,REG,0,0,0,0,0,0,0,0,0,0
0,GNB,Travis Jervey,JervTr00,,1996,8,BYE,0,0,0,0,0,0,0,0,0,0
27,GNB,Travis Jervey,JervTr00,1996-10-27,1996,9,REG,0,0,0,0,0,0,0,0,0,0
28,GNB,Travis Jervey,JervTr00,1996-11-03,1996,10,REG,0,0,0,0,0,0,0,0,0,0
29,GNB,Travis Jervey,JervTr00,1996-11-10,1996,11,REG,0,0,0,0,0,0,0,0,0,0
30,GNB,Travis Jervey,JervTr00,1996-11-18,1996,12,REG,0,0,0,0,0,0,0,0,0,0
31,GNB,Travis Jervey,JervTr00,1996-11-24,1996,13,REG,0,0,0,0,0,0,0,0,0,0
32,GNB,Travis Jervey,JervTr00,1996-12-01,1996,14,REG,0,0,0,0,0,0,0,0,0,0
33,GNB,Travis Jervey,JervTr00,1996-12-08,1996,15,REG,0,3,7,0,0,0,0,0,0,0
34,GNB,Travis Jervey,JervTr00,1996-12-15,1996,16,REG,0,0,0,0,0,0,0,0,0,0
35,GNB,Travis Jervey,JervTr00,1996-12-22,1996,17,REG,0,5,35,0,0,0,0,0,0,0
36,GNB,Travis Jervey,JervTr00,1997-01-04,1996,19,POST,0,0,0,0,0,0,0,0,0,0
37,GNB,Travis Jervey,JervTr00,1997-01-12,1996,20,POST,0,0,0,0,0,0,0,0,0,0
38,GNB,Travis Jervey,JervTr00,1997-01-26,1996,21,POST,0,0,0,0,0,0,0,0,0,0
39,GNB,Travis Jervey,JervTr00,1997-09-01,1997,1,REG,0,0,0,0,0,0,0,0,0,0
40,GNB,Travis Jervey,JervTr00,1997-09-07,1997,2,REG,0,0,0,0,0,0,0,0,0,0
41,GNB,Travis Jervey,JervTr00,1997-09-14,1997,3,REG,0,0,0,0,0,0,0,0,0,0
42,GNB,Travis Jervey,JervTr00,1997-09-21,1997,4,REG,0,0,0,0,0,0,0,0,0,0
43,GNB,Travis Jervey,JervTr00,1997-09-28,1997,5,REG,0,0,0,0,0,0,0,0,0,0
44,GNB,Travis Jervey,JervTr00,1997-10-05,1997,6,REG,0,0,0,0,0,0,0,0,0,0
45,GNB,Travis Jervey,JervTr00,1997-10-12,1997,7,REG,0,0,0,0,0,0,0,0,0,0
0,GNB,Travis Jervey,JervTr00,,1997,8,BYE,0,0,0,0,0,0,0,0,0,0
46,GNB,Travis Jervey,JervTr00,1997-10-27,1997,9,REG,0,0,0,0,0,0,0,0,0,0
47,GNB,Travis Jervey,JervTr00,1997-11-02,1997,10,REG,0,0,0,0,0,0,0,0,0,0
48,GNB,Travis Jervey,JervTr00,1997-11-09,1997,11,REG,0,0,0,0,0,0,0,0,0,0
49,GNB,Travis Jervey,JervTr00,1997-11-16,1997,12,REG,0,0,0,0,0,0,0,0,0,0
50,GNB,Travis Jervey,JervTr00,1997-11-23,1997,13,REG,0,0,0,0,0,0,0,0,0,0
51,GNB,Travis Jervey,JervTr00,1997-12-01,1997,14,REG,0,0,0,0,0,0,0,0,0,0
52,GNB,Travis Jervey,JervTr00,1997-12-07,1997,15,REG,0,0,0,0,0,0,0,0,0,0
53,GNB,Travis Jervey,JervTr00,1997-12-14,1997,16,REG,0,0,0,0,0,0,0,0,0,0
54,GNB,Travis Jervey,JervTr00,1997-12-20,1997,17,REG,0,0,0,0,0,0,0,0,0,0
55,GNB,Travis Jervey,JervTr00,1998-01-04,1997,19,POST,0,0,0,0,0,0,0,0,0,0
56,GNB,Travis Jervey,JervTr00,1998-01-11,1997,20,POST,0,0,0,0,0,0,0,0,0,0
57,GNB,Travis Jervey,JervTr00,1998-01-25,1997,21,POST,0,0,0,0,0,0,0,0,0,0
58,GNB,Travis Jervey,JervTr00,1998-09-06,1998,1,REG,0,2,8,0,0,0,0,0,0,0
59,GNB,Travis Jervey,JervTr00,1998-09-13,1998,2,REG,0,0,0,0,0,0,0,0,0,0
60,GNB,Travis Jervey,JervTr00,1998-09-20,1998,3,REG,0,0,0,0,0,0,0,0,0,0
0,GNB,Travis Jervey,JervTr00,1998-09-27,1998,4,DNP,0,0,0,0,0,0,0,0,0,0
61,GNB,Travis Jervey,JervTr00,1998-10-05,1998,5,REG,1,8,55,0,4,3,13,0,0,0
