CarGm,Team,Player,pfr_id,Date,Season,Week,Season_type,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp
1,SDG,Tremayne Stephens,StepTr00,1998-09-06,1998,1,REG,0,1,6,0,0,0,0,0,0,0
2,SDG,Tremayne Stephens,StepTr00,1998-09-13,1998,2,REG,0,1,12,0,0,0,0,0,0,0
3,SDG,Tremayne Stephens,StepTr00,1998-09-20,1998,3,REG,0,0,0,0,0,0,0,0,0,0
4,SDG,Tremayne Stephens,StepTr00,1998-09-27,1998,4,REG,0,0,0,0,0,0,0,0,0,0
5,SDG,Tremayne Stephens,StepTr00,1998-10-04,1998,5,REG,0,0,0,0,0,0,0,0,0,0
6,SDG,Tremayne Stephens,StepTr00,1998-10-11,1998,6,REG,0,5,10,0,1,0,0,0,0,0
7,SDG,Tremayne Stephens,StepTr00,1998-10-18,1998,7,REG,0,1,5,0,0,0,0,0,0,0
8,SDG,Tremayne Stephens,StepTr00,1998-10-25,1998,8,REG,0,1,0,0,0,0,0,0,0,0
0,SDG,Tremayne Stephens,StepTr00,,1998,9,BYE,0,0,0,0,0,0,0,0,0,0
9,SDG,Tremayne Stephens,StepTr00,1998-11-08,1998,10,REG,0,0,0,0,0,0,0,0,0,0
0,SDG,Tremayne Stephens,StepTr00,1998-11-15,1998,11,DNP,0,0,0,0,0,0,0,0,0,0
10,SDG,Tremayne Stephens,StepTr00,1998-11-22,1998,12,REG,0,4,17,1,0,0,0,0,0,0
0,SDG,Tremayne Stephens,StepTr00,1998-11-29,1998,13,DNP,0,0,0,0,0,0,0,0,0,0
0,SDG,Tremayne Stephens,StepTr00,1998-12-06,1998,14,DNP,0,0,0,0,0,0,0,0,0,0
11,SDG,Tremayne Stephens,StepTr00,1998-12-13,1998,15,REG,0,4,16,0,1,0,0,0,0,0
12,SDG,Tremayne Stephens,StepTr00,1998-12-20,1998,16,REG,1,8,14,0,0,0,0,0,0,0
13,SDG,Tremayne Stephens,StepTr00,1998-12-27,1998,17,REG,0,10,42,0,4,2,9,0,0,0
0,SDG,Tremayne Stephens,StepTr00,,1999,1,BYE,0,0,0,0,0,0,0,0,0,0
0,SDG,Tremayne Stephens,StepTr00,1999-09-19,1999,2,DNP,0,0,0,0,0,0,0,0,0,0
0,SDG,Tremayne Stephens,StepTr00,1999-09-26,1999,3,DNP,0,0,0,0,0,0,0,0,0,0
14,SDG,Tremayne Stephens,StepTr00,1999-10-03,1999,4,REG,0,0,0,0,0,0,0,0,0,0
15,SDG,Tremayne Stephens,StepTr00,1999-10-10,1999,5,REG,0,3,4,1,0,0,0,0,0,0
16,SDG,Tremayne Stephens,StepTr00,1999-10-17,1999,6,REG,0,0,0,0,4,3,22,0,0,0
17,SDG,Tremayne Stephens,StepTr00,1999-10-24,1999,7,REG,0,4,10,0,3,2,7,0,0,0
18,SDG,Tremayne Stephens,StepTr00,1999-10-31,1999,8,REG,0,2,2,0,0,0,0,0,0,0
19,SDG,Tremayne Stephens,StepTr00,1999-11-07,1999,9,REG,0,3,13,0,3,3,38,0,0,0
20,SDG,Tremayne Stephens,StepTr00,1999-11-14,1999,10,REG,1,1,9,0,3,2,14,0,0,0
21,SDG,Tremayne Stephens,StepTr00,1999-11-21,1999,11,REG,0,5,22,0,7,7,49,1,0,0
22,SDG,Tremayne Stephens,StepTr00,1999-11-28,1999,12,REG,1,6,1,2,2,0,0,0,0,0
0,SDG,Tremayne Stephens,StepTr00,1999-12-05,1999,13,DNP,0,0,0,0,0,0,0,0,0,0
0,SDG,Tremayne Stephens,StepTr00,1999-12-12,1999,14,DNP,0,0,0,0,0,0,0,0,0,0
23,SDG,Tremayne Stephens,StepTr00,1999-12-19,1999,15,REG,0,0,0,0,0,0,0,0,0,0
0,SDG,Tremayne Stephens,StepTr00,1999-12-26,1999,16,DNP,0,0,0,0,0,0,0,0,0,0
24,SDG,Tremayne Stephens,StepTr00,2000-01-02,1999,17,REG,0,0,0,0,1,1,3,0,0,0
