CarGm,Team,Player,pfr_id,Date,Season,Week,Season_type,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp
1,NOR,Troy Davis,DaviTr00,1997-08-31,1997,1,REG,0,4,30,0,2,1,18,0,0,0
2,NOR,Troy Davis,DaviTr00,1997-09-07,1997,2,REG,1,10,34,0,5,4,46,0,0,0
3,NOR,Troy Davis,DaviTr00,1997-09-14,1997,3,REG,1,5,11,0,0,0,0,0,0,0
4,NOR,Troy Davis,DaviTr00,1997-09-21,1997,4,REG,0,4,4,0,0,0,0,0,0,0
5,NOR,Troy Davis,DaviTr00,1997-09-28,1997,5,REG,0,1,0,0,0,0,0,0,0,0
6,NOR,Troy Davis,DaviTr00,1997-10-05,1997,6,REG,0,6,14,0,2,0,0,0,0,0
7,NOR,Troy Davis,DaviTr00,1997-10-12,1997,7,REG,0,2,15,0,2,2,2,0,0,0
8,NOR,Troy Davis,DaviTr00,1997-10-19,1997,8,REG,1,12,45,0,2,2,3,0,0,0
9,NOR,Troy Davis,DaviTr00,1997-10-26,1997,9,REG,0,2,3,0,0,0,0,0,0,0
0,NOR,Troy Davis,DaviTr00,,1997,10,BYE,0,0,0,0,0,0,0,0,0,0
10,NOR,Troy Davis,DaviTr00,1997-11-09,1997,11,REG,0,5,1,0,2,2,9,0,0,0
11,NOR,Troy Davis,DaviTr00,1997-11-16,1997,12,REG,0,0,0,0,0,0,0,0,0,0
12,NOR,Troy Davis,DaviTr00,1997-11-23,1997,13,REG,0,0,0,0,1,1,3,0,0,0
13,NOR,Troy Davis,DaviTr00,1997-11-30,1997,14,REG,1,9,37,0,0,0,0,0,0,0
14,NOR,Troy Davis,DaviTr00,1997-12-07,1997,15,REG,1,4,23,0,0,0,0,0,0,0
15,NOR,Troy Davis,DaviTr00,1997-12-14,1997,16,REG,1,6,13,0,1,0,0,0,0,0
16,NOR,Troy Davis,DaviTr00,1997-12-21,1997,17,REG,1,5,41,0,1,1,4,0,0,0
17,NOR,Troy Davis,DaviTr00,1998-09-06,1998,1,REG,0,0,0,0,0,0,0,0,0,0
18,NOR,Troy Davis,DaviTr00,1998-09-13,1998,2,REG,0,3,6,0,2,2,3,0,0,0
0,NOR,Troy Davis,DaviTr00,,1998,3,BYE,0,0,0,0,0,0,0,0,0,0
0,NOR,Troy Davis,DaviTr00,1998-09-27,1998,4,DNP,0,0,0,0,0,0,0,0,0,0
19,NOR,Troy Davis,DaviTr00,1998-10-04,1998,5,REG,0,0,0,0,1,1,19,0,0,0
20,NOR,Troy Davis,DaviTr00,1998-10-11,1998,6,REG,0,3,9,0,2,2,15,0,0,0
21,NOR,Troy Davis,DaviTr00,1998-10-18,1998,7,REG,0,1,1,0,0,0,0,0,0,0
22,NOR,Troy Davis,DaviTr00,1998-10-25,1998,8,REG,1,18,48,0,6,5,34,0,0,0
23,NOR,Troy Davis,DaviTr00,1998-11-01,1998,9,REG,1,10,41,0,7,5,19,0,0,0
24,NOR,Troy Davis,DaviTr00,1998-11-08,1998,10,REG,0,0,0,0,0,0,0,0,0,0
25,NOR,Troy Davis,DaviTr00,1998-11-15,1998,11,REG,0,0,0,0,0,0,0,0,0,0
26,NOR,Troy Davis,DaviTr00,1998-11-22,1998,12,REG,0,1,1,0,0,0,0,0,0,0
27,NOR,Troy Davis,DaviTr00,1998-11-29,1998,13,REG,0,0,0,0,0,0,0,0,0,0
