CarGm,Team,Player,pfr_id,Date,Season,Week,Season_type,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp
0,CAR,Tyrell Sutton,SuttTy00,2009-09-13,2009,1,DNP,0,0,0,0,0,0,0,0,0,0
0,CAR,Tyrell Sutton,SuttTy00,2009-09-20,2009,2,DNP,0,0,0,0,0,0,0,0,0,0
0,CAR,Tyrell Sutton,SuttTy00,2009-09-28,2009,3,DNP,0,0,0,0,0,0,0,0,0,0
0,CAR,Tyrell Sutton,SuttTy00,1970-01-01,2009,4,BYE,0,0,0,0,0,0,0,0,0,0
0,CAR,Tyrell Sutton,SuttTy00,2009-10-11,2009,5,DNP,0,0,0,0,0,0,0,0,0,0
0,CAR,Tyrell Sutton,SuttTy00,2009-10-18,2009,6,DNP,0,0,0,0,0,0,0,0,0,0
0,CAR,Tyrell Sutton,SuttTy00,2009-10-25,2009,7,DNP,0,0,0,0,0,0,0,0,0,0
0,CAR,Tyrell Sutton,SuttTy00,2009-11-01,2009,8,DNP,0,0,0,0,0,0,0,0,0,0
1,CAR,Tyrell Sutton,SuttTy00,2009-11-08,2009,9,REG,1,3,15,0,1,1,11,0,0,0
2,CAR,Tyrell Sutton,SuttTy00,2009-11-15,2009,10,REG,0,0,0,0,0,0,0,0,0,0
3,CAR,Tyrell Sutton,SuttTy00,2009-11-19,2009,11,REG,0,0,0,0,3,2,18,0,0,0
4,CAR,Tyrell Sutton,SuttTy00,2009-11-29,2009,12,REG,0,0,0,0,1,0,0,0,0,0
5,CAR,Tyrell Sutton,SuttTy00,2009-12-06,2009,13,REG,0,6,38,0,2,0,0,0,0,0
6,CAR,Tyrell Sutton,SuttTy00,2009-12-13,2009,14,REG,0,1,6,0,2,2,21,0,0,0
7,CAR,Tyrell Sutton,SuttTy00,2009-12-20,2009,15,REG,0,2,9,0,2,1,12,0,0,0
0,CAR,Tyrell Sutton,SuttTy00,2009-12-27,2009,16,DNP,0,0,0,0,0,0,0,0,0,0
0,CAR,Tyrell Sutton,SuttTy00,2010-01-03,2009,17,DNP,0,0,0,0,0,0,0,0,0,0
0,CAR,Tyrell Sutton,SuttTy00,2010-09-12,2010,1,DNP,0,0,0,0,0,0,0,0,0,0
8,CAR,Tyrell Sutton,SuttTy00,2010-09-19,2010,2,REG,0,0,0,0,0,0,0,0,0,0
9,CAR,Tyrell Sutton,SuttTy00,2010-09-26,2010,3,REG,0,0,0,0,0,0,0,0,0,0
0,CAR,Tyrell Sutton,SuttTy00,2010-10-03,2010,4,DNP,0,0,0,0,0,0,0,0,0,0
0,CAR,Tyrell Sutton,SuttTy00,2010-10-10,2010,5,DNP,0,0,0,0,0,0,0,0,0,0
0,CAR,Tyrell Sutton,SuttTy00,1970-01-01,2010,6,BYE,0,0,0,0,0,0,0,0,0,0
0,CAR,Tyrell Sutton,SuttTy00,2010-10-24,2010,7,DNP,0,0,0,0,0,0,0,0,0,0
10,CAR,Tyrell Sutton,SuttTy00,2010-10-31,2010,8,REG,0,0,0,0,0,0,0,0,0,0
11,CAR,Tyrell Sutton,SuttTy00,2010-11-07,2010,9,REG,0,7,41,0,3,3,15,0,0,0
0,CAR,Tyrell Sutton,SuttTy00,2010-11-14,2010,10,DNP,0,0,0,0,0,0,0,0,0,0
0,CAR,Tyrell Sutton,SuttTy00,2010-11-21,2010,11,DNP,0,0,0,0,0,0,0,0,0,0
0,CAR,Tyrell Sutton,SuttTy00,2010-11-28,2010,12,DNP,0,0,0,0,0,0,0,0,0,0
12,CAR,Tyrell Sutton,SuttTy00,2010-12-05,2010,13,REG,0,4,17,0,3,3,14,0,0,0
13,CAR,Tyrell Sutton,SuttTy00,2010-12-12,2010,14,REG,0,0,0,0,3,3,20,0,0,0
14,CAR,Tyrell Sutton,SuttTy00,2010-12-19,2010,15,REG,0,0,0,0,0,0,0,0,0,0
15,CAR,Tyrell Sutton,SuttTy00,2010-12-23,2010,16,REG,0,0,0,0,0,0,0,0,0,0
16,CAR,Tyrell Sutton,SuttTy00,2011-01-02,2010,17,REG,0,2,13,0,3,3,21,0,0,0
