CarGm,Team,Player,pfr_id,Date,Season,Week,Season_type,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp
0,SFO,Tyrion DavisPrice,DaviTy03,2022-09-11,2022,1,DNP,0,0,0,0,0,0,0,0,0,0
1,SFO,Tyrion DavisPrice,DaviTy03,2022-09-18,2022,2,REG,0,14,33,0,0,0,0,0,30,0
0,SFO,Tyrion DavisPrice,DaviTy03,2022-09-25,2022,3,DNP,0,0,0,0,0,0,0,0,0,0
0,SFO,Tyrion DavisPrice,DaviTy03,2022-10-03,2022,4,DNP,0,0,0,0,0,0,0,0,0,0
0,SFO,Tyrion DavisPrice,DaviTy03,2022-10-09,2022,5,DNP,0,0,0,0,0,0,0,0,0,0
2,SFO,Tyrion DavisPrice,DaviTy03,2022-10-16,2022,6,REG,0,0,0,0,0,0,0,0,1,5
3,SFO,Tyrion DavisPrice,DaviTy03,2022-10-23,2022,7,REG,0,2,4,0,2,0,0,0,13,8
0,SFO,Tyrion DavisPrice,DaviTy03,2022-10-30,2022,8,DNP,0,0,0,0,0,0,0,0,0,0
0,SFO,Tyrion DavisPrice,DaviTy03,1970-01-01,2022,9,BYE,0,0,0,0,0,0,0,0,0,0
0,SFO,Tyrion DavisPrice,DaviTy03,2022-11-13,2022,10,DNP,0,0,0,0,0,0,0,0,0,0
0,SFO,Tyrion DavisPrice,DaviTy03,2022-11-21,2022,11,DNP,0,0,0,0,0,0,0,0,0,0
0,SFO,Tyrion DavisPrice,DaviTy03,2022-11-27,2022,12,DNP,0,0,0,0,0,0,0,0,0,0
0,SFO,Tyrion DavisPrice,DaviTy03,2022-12-04,2022,13,DNP,0,0,0,0,0,0,0,0,0,0
0,SFO,Tyrion DavisPrice,DaviTy03,2022-12-11,2022,14,DNP,0,0,0,0,0,0,0,0,0,0
0,SFO,Tyrion DavisPrice,DaviTy03,2022-12-15,2022,15,DNP,0,0,0,0,0,0,0,0,0,0
4,SFO,Tyrion DavisPrice,DaviTy03,2022-12-24,2022,16,REG,0,9,30,0,0,0,0,0,13,0
5,SFO,Tyrion DavisPrice,DaviTy03,2023-01-01,2022,17,REG,0,1,5,0,0,0,0,0,5,6
6,SFO,Tyrion DavisPrice,DaviTy03,2023-01-08,2022,18,REG,0,8,27,0,0,0,0,0,8,4
0,SFO,Tyrion DavisPrice,DaviTy03,2023-09-10,2023,1,DNP,0,0,0,0,0,0,0,0,0,0
0,SFO,Tyrion DavisPrice,DaviTy03,2023-09-17,2023,2,DNP,0,0,0,0,0,0,0,0,0,0
0,SFO,Tyrion DavisPrice,DaviTy03,2023-09-21,2023,3,DNP,0,0,0,0,0,0,0,0,0,0
0,SFO,Tyrion DavisPrice,DaviTy03,2023-10-01,2023,4,DNP,0,0,0,0,0,0,0,0,0,0
7,SFO,Tyrion DavisPrice,DaviTy03,2023-10-08,2023,5,REG,0,6,21,0,0,0,0,0,7,0
