CarGm,Team,Player,pfr_id,Date,Season,Week,Season_type,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp
1,PIT,Warren Williams,WillWa00,1988-09-04,1988,1,REG,0,4,5,0,0,0,0,0,0,0
2,PIT,Warren Williams,WillWa00,1988-09-11,1988,2,REG,0,0,0,0,1,1,0,0,0,0
3,PIT,Warren Williams,WillWa00,1988-09-18,1988,3,REG,0,0,0,0,1,0,0,0,0,0
4,PIT,Warren Williams,WillWa00,1988-09-25,1988,4,REG,0,8,35,0,3,2,5,1,0,0
5,PIT,Warren Williams,WillWa00,1988-10-02,1988,5,REG,1,9,28,0,1,1,6,0,0,0
6,PIT,Warren Williams,WillWa00,1988-10-09,1988,6,REG,0,0,0,0,0,0,0,0,0,0
7,PIT,Warren Williams,WillWa00,1988-10-23,1988,8,REG,0,1,3,0,0,0,0,0,0,0
8,PIT,Warren Williams,WillWa00,1988-10-30,1988,9,REG,0,3,9,0,0,0,0,0,0,0
9,PIT,Warren Williams,WillWa00,1988-11-06,1988,10,REG,1,10,44,0,3,2,26,0,0,0
10,PIT,Warren Williams,WillWa00,1988-11-13,1988,11,REG,1,6,44,0,4,1,3,0,0,0
11,PIT,Warren Williams,WillWa00,1988-11-20,1988,12,REG,1,8,32,0,2,1,1,0,0,0
12,PIT,Warren Williams,WillWa00,1988-11-27,1988,13,REG,1,10,42,0,1,1,8,0,0,0
13,PIT,Warren Williams,WillWa00,1988-12-04,1988,14,REG,1,5,10,0,2,1,7,0,0,0
14,PIT,Warren Williams,WillWa00,1988-12-11,1988,15,REG,1,7,40,0,2,1,10,0,0,0
15,PIT,Warren Williams,WillWa00,1988-12-18,1988,16,REG,1,16,117,0,1,0,0,0,0,0
16,PIT,Warren Williams,WillWa00,1989-09-24,1989,3,REG,0,1,11,0,1,1,16,0,0,0
17,PIT,Warren Williams,WillWa00,1989-10-01,1989,4,REG,1,12,47,0,2,0,0,0,0,0
18,PIT,Warren Williams,WillWa00,1989-10-15,1989,6,REG,0,15,47,1,2,1,8,0,0,0
19,PIT,Warren Williams,WillWa00,1989-10-22,1989,7,REG,0,0,0,0,2,1,0,0,0,0
20,PIT,Warren Williams,WillWa00,1989-10-29,1989,8,REG,1,9,26,0,4,3,24,0,0,0
21,PIT,Warren Williams,WillWa00,1990-09-09,1990,1,REG,0,2,2,0,0,0,0,0,0,0
22,PIT,Warren Williams,WillWa00,1990-09-16,1990,2,REG,0,0,0,0,0,0,0,0,0,0
23,PIT,Warren Williams,WillWa00,1990-09-23,1990,3,REG,0,1,2,0,0,0,0,0,0,0
24,PIT,Warren Williams,WillWa00,1990-09-30,1990,4,REG,0,0,0,0,0,0,0,0,0,0
25,PIT,Warren Williams,WillWa00,1990-10-07,1990,5,REG,0,9,37,1,1,0,0,0,0,0
26,PIT,Warren Williams,WillWa00,1990-10-14,1990,6,REG,1,6,22,0,3,3,34,0,0,0
27,PIT,Warren Williams,WillWa00,1990-10-21,1990,7,REG,1,5,30,0,0,0,0,0,0,0
28,PIT,Warren Williams,WillWa00,1990-10-29,1990,8,REG,1,8,78,0,0,0,0,0,0,0
29,PIT,Warren Williams,WillWa00,1990-11-04,1990,9,REG,1,7,89,1,1,1,3,0,0,0
0,PIT,Warren Williams,WillWa00,,1990,10,BYE,0,0,0,0,0,0,0,0,0,0
0,PIT,Warren Williams,WillWa00,1990-11-18,1990,11,DNP,0,0,0,0,0,0,0,0,0,0
30,PIT,Warren Williams,WillWa00,1990-11-25,1990,12,REG,0,6,31,0,2,1,5,1,0,0
0,PIT,Warren Williams,WillWa00,1990-12-02,1990,13,DNP,0,0,0,0,0,0,0,0,0,0
31,PIT,Warren Williams,WillWa00,1990-12-09,1990,14,REG,0,7,28,0,1,0,0,0,0,0
32,PIT,Warren Williams,WillWa00,1990-12-16,1990,15,REG,0,0,0,0,0,0,0,0,0,0
33,PIT,Warren Williams,WillWa00,1990-12-23,1990,16,REG,0,12,47,1,1,0,0,0,0,0
34,PIT,Warren Williams,WillWa00,1990-12-30,1990,17,REG,0,5,23,0,0,0,0,0,0,0
35,PIT,Warren Williams,WillWa00,1991-09-01,1991,1,REG,0,0,0,0,0,0,0,0,0,0
36,PIT,Warren Williams,WillWa00,1991-09-08,1991,2,REG,0,4,-1,1,2,2,6,0,0,0
37,PIT,Warren Williams,WillWa00,1991-09-15,1991,3,REG,0,0,0,0,1,1,29,0,0,0
38,PIT,Warren Williams,WillWa00,1991-09-22,1991,4,REG,0,0,0,0,0,0,0,0,0,0
0,PIT,Warren Williams,WillWa00,,1991,5,BYE,0,0,0,0,0,0,0,0,0,0
39,PIT,Warren Williams,WillWa00,1991-10-06,1991,6,REG,0,5,17,0,1,1,5,0,0,0
40,PIT,Warren Williams,WillWa00,1991-10-14,1991,7,REG,0,0,0,0,0,0,0,0,0,0
41,PIT,Warren Williams,WillWa00,1991-10-20,1991,8,REG,0,0,0,0,0,0,0,0,0,0
42,PIT,Warren Williams,WillWa00,1991-10-27,1991,9,REG,0,9,26,1,0,0,0,0,0,0
43,PIT,Warren Williams,WillWa00,1991-11-03,1991,10,REG,1,11,63,0,2,2,20,0,0,0
44,PIT,Warren Williams,WillWa00,1991-11-10,1991,11,REG,0,4,9,0,4,3,44,0,0,0
45,PIT,Warren Williams,WillWa00,1991-11-17,1991,12,REG,0,0,0,0,0,0,0,0,0,0
46,PIT,Warren Williams,WillWa00,1991-11-24,1991,13,REG,0,5,15,1,0,0,0,0,0,0
47,PIT,Warren Williams,WillWa00,1991-11-28,1991,14,REG,0,8,59,1,4,4,33,0,0,0
48,PIT,Warren Williams,WillWa00,1991-12-08,1991,15,REG,0,4,39,0,2,0,0,0,0,0
49,PIT,Warren Williams,WillWa00,1991-12-15,1991,16,REG,1,6,35,0,2,2,2,0,0,0
50,PIT,Warren Williams,WillWa00,1991-12-22,1991,17,REG,1,1,0,0,1,0,0,0,0,0
51,PIT,Warren Williams,WillWa00,1992-09-06,1992,1,REG,0,0,0,0,1,1,44,0,0,0
52,PIT,Warren Williams,WillWa00,1992-09-13,1992,2,REG,0,0,0,0,0,0,0,0,0,0
