CarGm,Team,Player,pfr_id,Date,Season,Week,Season_type,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp
1,SFO,Will Tukuafu,TukuWi00,2011-09-11,2011,1,REG,0,0,0,0,0,0,0,0,0,0
2,SFO,Will Tukuafu,TukuWi00,2011-09-18,2011,2,REG,0,0,0,0,0,0,0,0,0,0
3,SFO,Will Tukuafu,TukuWi00,2011-09-25,2011,3,REG,0,0,0,0,0,0,0,0,0,0
4,SFO,Will Tukuafu,TukuWi00,2011-10-02,2011,4,REG,0,0,0,0,0,0,0,0,0,0
0,SFO,Will Tukuafu,TukuWi00,2011-10-09,2011,5,DNP,0,0,0,0,0,0,0,0,0,0
0,SFO,Will Tukuafu,TukuWi00,2011-10-16,2011,6,DNP,0,0,0,0,0,0,0,0,0,0
0,SFO,Will Tukuafu,TukuWi00,,2011,7,BYE,0,0,0,0,0,0,0,0,0,0
0,SFO,Will Tukuafu,TukuWi00,2011-10-30,2011,8,DNP,0,0,0,0,0,0,0,0,0,0
0,SFO,Will Tukuafu,TukuWi00,2011-11-06,2011,9,DNP,0,0,0,0,0,0,0,0,0,0
0,SFO,Will Tukuafu,TukuWi00,2011-11-13,2011,10,DNP,0,0,0,0,0,0,0,0,0,0
0,SFO,Will Tukuafu,TukuWi00,2011-11-20,2011,11,DNP,0,0,0,0,0,0,0,0,0,0
0,SFO,Will Tukuafu,TukuWi00,2011-11-24,2011,12,DNP,0,0,0,0,0,0,0,0,0,0
0,SFO,Will Tukuafu,TukuWi00,2011-12-04,2011,13,DNP,0,0,0,0,0,0,0,0,0,0
0,SFO,Will Tukuafu,TukuWi00,2011-12-11,2011,14,DNP,0,0,0,0,0,0,0,0,0,0
0,SFO,Will Tukuafu,TukuWi00,2011-12-19,2011,15,DNP,0,0,0,0,0,0,0,0,0,0
0,SFO,Will Tukuafu,TukuWi00,2011-12-24,2011,16,DNP,0,0,0,0,0,0,0,0,0,0
0,SFO,Will Tukuafu,TukuWi00,2012-01-01,2011,17,DNP,0,0,0,0,0,0,0,0,0,0
5,SFO,Will Tukuafu,TukuWi00,2012-09-09,2012,1,REG,0,0,0,0,0,0,0,0,5,14
6,SFO,Will Tukuafu,TukuWi00,2012-09-16,2012,2,REG,0,0,0,0,0,0,0,0,8,19
7,SFO,Will Tukuafu,TukuWi00,2012-09-23,2012,3,REG,0,0,0,0,0,0,0,0,5,12
8,SFO,Will Tukuafu,TukuWi00,2012-09-30,2012,4,REG,0,0,0,0,0,0,0,0,12,11
9,SFO,Will Tukuafu,TukuWi00,2012-10-07,2012,5,REG,0,0,0,0,0,0,0,0,17,11
10,SFO,Will Tukuafu,TukuWi00,2012-10-14,2012,6,REG,0,0,0,0,0,0,0,0,4,17
11,SFO,Will Tukuafu,TukuWi00,2012-10-18,2012,7,REG,0,0,0,0,0,0,0,0,5,10
12,SFO,Will Tukuafu,TukuWi00,2012-10-29,2012,8,REG,0,0,0,0,0,0,0,0,0,8
0,SFO,Will Tukuafu,TukuWi00,,2012,9,BYE,0,0,0,0,0,0,0,0,0,0
13,SFO,Will Tukuafu,TukuWi00,2012-11-11,2012,10,REG,0,0,0,0,0,0,0,0,1,12
14,SFO,Will Tukuafu,TukuWi00,2012-11-19,2012,11,REG,0,0,0,0,0,0,0,0,9,4
0,SFO,Will Tukuafu,TukuWi00,2012-11-25,2012,12,DNP,0,0,0,0,0,0,0,0,0,0
15,SFO,Will Tukuafu,TukuWi00,2012-12-02,2012,13,REG,0,0,0,0,0,0,0,0,10,20
16,SFO,Will Tukuafu,TukuWi00,2012-12-09,2012,14,REG,0,0,0,0,0,0,0,0,10,15
17,SFO,Will Tukuafu,TukuWi00,2012-12-16,2012,15,REG,0,0,0,0,0,0,0,0,4,14
18,SFO,Will Tukuafu,TukuWi00,2012-12-23,2012,16,REG,0,0,0,0,0,0,0,0,0,9
0,SFO,Will Tukuafu,TukuWi00,2012-12-30,2012,17,DNP,0,0,0,0,0,0,0,0,0,0
19,SFO,Will Tukuafu,TukuWi00,2013-01-12,2012,19,POST,0,0,0,0,0,0,0,0,2,9
20,SFO,Will Tukuafu,TukuWi00,2013-01-20,2012,20,POST,0,0,0,0,0,0,0,0,0,11
21,SFO,Will Tukuafu,TukuWi00,2013-02-03,2012,21,POST,0,0,0,0,0,0,0,0,1,19
0,SFO,Will Tukuafu,TukuWi00,2013-09-08,2013,1,DNP,0,0,0,0,0,0,0,0,0,0
0,SFO,Will Tukuafu,TukuWi00,2013-09-15,2013,2,DNP,0,0,0,0,0,0,0,0,0,0
0,SFO,Will Tukuafu,TukuWi00,2013-09-22,2013,3,DNP,0,0,0,0,0,0,0,0,0,0
0,SFO,Will Tukuafu,TukuWi00,2013-09-26,2013,4,DNP,0,0,0,0,0,0,0,0,0,0
0,SFO,Will Tukuafu,TukuWi00,2013-10-06,2013,5,DNP,0,0,0,0,0,0,0,0,0,0
0,SFO,Will Tukuafu,TukuWi00,2013-10-13,2013,6,DNP,0,0,0,0,0,0,0,0,0,0
0,SFO,Will Tukuafu,TukuWi00,2013-10-20,2013,7,DNP,0,0,0,0,0,0,0,0,0,0
0,SFO,Will Tukuafu,TukuWi00,2013-10-27,2013,8,DNP,0,0,0,0,0,0,0,0,0,0
0,SFO,Will Tukuafu,TukuWi00,,2013,9,BYE,0,0,0,0,0,0,0,0,0,0
0,SFO,Will Tukuafu,TukuWi00,2013-11-10,2013,10,DNP,0,0,0,0,0,0,0,0,0,0
0,SFO,Will Tukuafu,TukuWi00,2013-11-17,2013,11,DNP,0,0,0,0,0,0,0,0,0,0
0,SFO,Will Tukuafu,TukuWi00,2013-11-25,2013,12,DNP,0,0,0,0,0,0,0,0,0,0
0,SFO,Will Tukuafu,TukuWi00,2013-12-01,2013,13,DNP,0,0,0,0,0,0,0,0,0,0
0,SFO,Will Tukuafu,TukuWi00,2013-12-08,2013,14,DNP,0,0,0,0,0,0,0,0,0,0
0,SFO,Will Tukuafu,TukuWi00,2013-12-15,2013,15,DNP,0,0,0,0,0,0,0,0,0,0
22,SFO,Will Tukuafu,TukuWi00,2013-12-23,2013,16,REG,0,0,0,0,0,0,0,0,12,0
23,SFO,Will Tukuafu,TukuWi00,2013-12-29,2013,17,REG,0,0,0,0,0,0,0,0,12,0
24,SFO,Will Tukuafu,TukuWi00,2014-01-05,2013,18,POST,1,0,0,0,0,0,0,0,22,0
25,SFO,Will Tukuafu,TukuWi00,2014-01-12,2013,19,POST,1,0,0,0,1,1,2,0,3,1
26,SFO,Will Tukuafu,TukuWi00,2014-01-19,2013,20,POST,0,0,0,0,0,0,0,0,2,0
0,SEA,Will Tukuafu,TukuWi00,2014-09-04,2014,1,DNP,0,0,0,0,0,0,0,0,0,0
0,SEA,Will Tukuafu,TukuWi00,2014-09-14,2014,2,DNP,0,0,0,0,0,0,0,0,0,0
0,SEA,Will Tukuafu,TukuWi00,2014-09-21,2014,3,DNP,0,0,0,0,0,0,0,0,0,0
0,SEA,Will Tukuafu,TukuWi00,,2014,4,BYE,0,0,0,0,0,0,0,0,0,0
0,SEA,Will Tukuafu,TukuWi00,2014-10-06,2014,5,DNP,0,0,0,0,0,0,0,0,0,0
0,SEA,Will Tukuafu,TukuWi00,2014-10-12,2014,6,DNP,0,0,0,0,0,0,0,0,0,0
0,SEA,Will Tukuafu,TukuWi00,2014-10-19,2014,7,DNP,0,0,0,0,0,0,0,0,0,0
0,SEA,Will Tukuafu,TukuWi00,2014-10-26,2014,8,DNP,0,0,0,0,0,0,0,0,0,0
27,SEA,Will Tukuafu,TukuWi00,2014-11-02,2014,9,REG,1,0,0,0,1,0,0,0,12,1
28,SEA,Will Tukuafu,TukuWi00,2014-11-09,2014,10,REG,0,0,0,0,0,0,0,0,17,12
29,SEA,Will Tukuafu,TukuWi00,2014-11-16,2014,11,REG,0,0,0,0,0,0,0,0,8,6
30,SEA,Will Tukuafu,TukuWi00,2014-11-23,2014,12,REG,0,0,0,0,0,0,0,0,8,2
31,SEA,Will Tukuafu,TukuWi00,2014-11-27,2014,13,REG,0,0,0,0,0,0,0,0,19,2
32,SEA,Will Tukuafu,TukuWi00,2014-12-07,2014,14,REG,0,0,0,0,1,1,4,0,24,3
33,SEA,Will Tukuafu,TukuWi00,2014-12-14,2014,15,REG,0,0,0,0,0,0,0,0,17,4
34,SEA,Will Tukuafu,TukuWi00,2014-12-21,2014,16,REG,1,0,0,0,0,0,0,0,19,3
35,SEA,Will Tukuafu,TukuWi00,2014-12-28,2014,17,REG,0,1,2,0,0,0,0,0,16,6
36,SEA,Will Tukuafu,TukuWi00,2015-01-10,2014,19,POST,0,0,0,0,0,0,0,0,18,2
37,SEA,Will Tukuafu,TukuWi00,2015-01-18,2014,20,POST,0,0,0,0,1,1,8,0,14,9
38,SEA,Will Tukuafu,TukuWi00,2015-02-01,2014,21,POST,0,0,0,0,0,0,0,0,12,5
0,SEA,Will Tukuafu,TukuWi00,2015-09-13,2015,1,DNP,0,0,0,0,0,0,0,0,0,0
0,SEA,Will Tukuafu,TukuWi00,2015-09-20,2015,2,DNP,0,0,0,0,0,0,0,0,0,0
39,SEA,Will Tukuafu,TukuWi00,2015-09-27,2015,3,REG,0,0,0,0,0,0,0,0,12,1
40,SEA,Will Tukuafu,TukuWi00,2015-10-05,2015,4,REG,0,0,0,0,0,0,0,0,11,7
41,SEA,Will Tukuafu,TukuWi00,2015-10-11,2015,5,REG,0,0,0,0,0,0,0,0,13,12
42,SEA,Will Tukuafu,TukuWi00,2015-10-18,2015,6,REG,0,0,0,0,0,0,0,0,22,12
43,SEA,Will Tukuafu,TukuWi00,2015-10-22,2015,7,REG,0,0,0,0,0,0,0,0,26,6
44,SEA,Will Tukuafu,TukuWi00,2015-11-01,2015,8,REG,1,0,0,0,0,0,0,0,19,5
0,SEA,Will Tukuafu,TukuWi00,,2015,9,BYE,0,0,0,0,0,0,0,0,0,0
45,SEA,Will Tukuafu,TukuWi00,2015-11-15,2015,10,REG,0,2,2,1,0,0,0,0,5,7
46,SEA,Will Tukuafu,TukuWi00,2015-11-22,2015,11,REG,0,0,0,0,0,0,0,0,20,8
47,SEA,Will Tukuafu,TukuWi00,2015-11-29,2015,12,REG,0,0,0,0,0,0,0,0,4,2
48,SEA,Will Tukuafu,TukuWi00,2015-12-06,2015,13,REG,0,1,4,0,0,0,0,0,13,0
49,SEA,Will Tukuafu,TukuWi00,2015-12-13,2015,14,REG,0,0,0,0,0,0,0,0,16,2
50,SEA,Will Tukuafu,TukuWi00,2015-12-20,2015,15,REG,0,0,0,0,0,0,0,0,18,4
51,SEA,Will Tukuafu,TukuWi00,2015-12-27,2015,16,REG,0,1,-5,0,0,0,0,0,15,8
52,SEA,Will Tukuafu,TukuWi00,2016-01-03,2015,17,REG,0,0,0,0,1,1,7,1,14,10
53,SEA,Will Tukuafu,TukuWi00,2016-01-10,2015,18,POST,1,0,0,0,0,0,0,0,4,4
0,SEA,Will Tukuafu,TukuWi00,2016-09-11,2016,1,DNP,0,0,0,0,0,0,0,0,0,0
54,SEA,Will Tukuafu,TukuWi00,2016-09-18,2016,2,REG,0,0,0,0,1,0,0,0,7,4
0,SEA,Will Tukuafu,TukuWi00,2016-09-25,2016,3,DNP,0,0,0,0,0,0,0,0,0,0
0,SEA,Will Tukuafu,TukuWi00,2016-10-02,2016,4,DNP,0,0,0,0,0,0,0,0,0,0
0,SEA,Will Tukuafu,TukuWi00,,2016,5,BYE,0,0,0,0,0,0,0,0,0,0
0,SEA,Will Tukuafu,TukuWi00,2016-10-16,2016,6,DNP,0,0,0,0,0,0,0,0,0,0
0,SEA,Will Tukuafu,TukuWi00,2016-10-23,2016,7,DNP,0,0,0,0,0,0,0,0,0,0
