CarGm,Team,Player,pfr_id,Date,Season,Week,Season_type,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp
1,SEA,Zach Charbonnet,CharZa00,2023-09-10,2023,1,REG,0,3,11,0,0,0,0,0,12,2
2,SEA,Zach Charbonnet,CharZa00,2023-09-17,2023,2,REG,0,4,16,0,2,2,14,0,19,9
3,SEA,Zach Charbonnet,CharZa00,2023-09-24,2023,3,REG,0,9,46,0,2,1,-1,0,32,13
4,SEA,Zach Charbonnet,CharZa00,2023-10-02,2023,4,REG,0,5,31,0,3,1,9,0,13,12
0,SEA,Zach Charbonnet,CharZa00,,2023,5,BYE,0,0,0,0,0,0,0,0,0,0
5,SEA,Zach Charbonnet,CharZa00,2023-10-15,2023,6,REG,0,2,5,0,2,2,14,0,18,12
0,SEA,Zach Charbonnet,CharZa00,2023-10-22,2023,7,DNP,0,0,0,0,0,0,0,0,0,0
6,SEA,Zach Charbonnet,CharZa00,2023-10-29,2023,8,REG,0,5,53,0,2,2,11,0,34,12
7,SEA,Zach Charbonnet,CharZa00,2023-11-05,2023,9,REG,0,4,8,0,1,1,5,0,27,12
8,SEA,Zach Charbonnet,CharZa00,2023-11-12,2023,10,REG,0,6,44,0,5,4,18,0,42,11
9,SEA,Zach Charbonnet,CharZa00,2023-11-19,2023,11,REG,0,15,47,0,6,6,22,0,55,1
10,SEA,Zach Charbonnet,CharZa00,2023-11-23,2023,12,REG,1,14,47,0,4,4,11,0,49,0
11,SEA,Zach Charbonnet,CharZa00,2023-11-30,2023,13,REG,1,19,60,1,2,1,39,0,42,0
12,SEA,Zach Charbonnet,CharZa00,2023-12-10,2023,14,REG,0,9,44,0,1,1,4,0,25,0
13,SEA,Zach Charbonnet,CharZa00,2023-12-18,2023,15,REG,0,4,16,0,1,0,0,0,27,0
14,SEA,Zach Charbonnet,CharZa00,2023-12-24,2023,16,REG,0,2,0,0,2,1,-4,0,26,0
15,SEA,Zach Charbonnet,CharZa00,2023-12-31,2023,17,REG,0,2,2,0,5,5,39,0,28,0
16,SEA,Zach Charbonnet,CharZa00,2024-01-07,2023,18,REG,0,5,32,0,2,2,28,0,29,5
17,SEA,Zach Charbonnet,CharZa00,2024-09-08,2024,1,REG,0,8,12,0,3,2,29,1,23,5
18,SEA,Zach Charbonnet,CharZa00,2024-09-15,2024,2,REG,1,14,38,1,5,5,31,0,67,0
19,SEA,Zach Charbonnet,CharZa00,2024-09-22,2024,3,REG,1,18,91,2,4,3,16,0,54,0
20,SEA,Zach Charbonnet,CharZa00,2024-09-30,2024,4,REG,0,2,15,0,5,5,39,0,38,3
21,SEA,Zach Charbonnet,CharZa00,2024-10-06,2024,5,REG,0,2,11,0,5,3,19,0,21,4
22,SEA,Zach Charbonnet,CharZa00,2024-10-10,2024,6,REG,0,5,20,0,1,1,15,0,24,4
23,SEA,Zach Charbonnet,CharZa00,2024-10-20,2024,7,REG,0,7,14,0,1,1,-5,0,33,3
24,SEA,Zach Charbonnet,CharZa00,2024-10-27,2024,8,REG,0,3,4,1,4,3,20,0,23,4
25,SEA,Zach Charbonnet,CharZa00,2024-11-03,2024,9,REG,0,2,8,0,3,2,25,0,20,7
0,SEA,Zach Charbonnet,CharZa00,,2024,10,BYE,0,0,0,0,0,0,0,0,0,0
26,SEA,Zach Charbonnet,CharZa00,2024-11-17,2024,11,REG,0,4,3,0,2,2,2,0,19,2
27,SEA,Zach Charbonnet,CharZa00,2024-11-24,2024,12,REG,0,6,22,0,0,0,0,0,24,5
28,SEA,Zach Charbonnet,CharZa00,2024-12-01,2024,13,REG,0,4,28,1,3,2,13,0,29,3
29,SEA,Zach Charbonnet,CharZa00,2024-12-08,2024,14,REG,1,22,134,2,7,7,59,0,51,0
30,SEA,Zach Charbonnet,CharZa00,2024-12-15,2024,15,REG,1,8,54,1,4,1,12,0,47,0
31,SEA,Zach Charbonnet,CharZa00,2024-12-22,2024,16,REG,0,1,-1,0,2,2,14,0,14,6
32,SEA,Zach Charbonnet,CharZa00,2024-12-26,2024,17,REG,1,15,57,0,3,3,19,0,39,0
33,SEA,Zach Charbonnet,CharZa00,2025-01-05,2024,18,REG,1,14,59,0,0,0,32,0,42,0
34,SEA,Zach Charbonnet,CharZa00,2025-09-07,2025,1,REG,0,12,47,1,0,0,0,0,30,0
