CarGm,Team,Player,pfr_id,Date,Season,Week,Season_type,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp
1,LVR,Zamir White,WhitZa01,2022-09-11,2022,1,REG,0,0,0,0,0,0,0,0,0,4
2,LVR,Zamir White,WhitZa01,2022-09-18,2022,2,REG,0,1,2,0,0,0,0,0,6,9
3,LVR,Zamir White,WhitZa01,2022-09-25,2022,3,REG,0,0,0,0,0,0,0,0,0,9
4,LVR,Zamir White,WhitZa01,2022-10-02,2022,4,REG,0,2,24,0,0,0,0,0,3,0
5,LVR,Zamir White,WhitZa01,2022-10-10,2022,5,REG,0,1,-7,0,0,0,0,0,3,6
0,LVR,Zamir White,WhitZa01,,2022,6,BYE,0,0,0,0,0,0,0,0,0,0
6,LVR,Zamir White,WhitZa01,2022-10-23,2022,7,REG,0,1,2,0,0,0,0,0,5,5
7,LVR,Zamir White,WhitZa01,2022-10-30,2022,8,REG,0,0,0,0,0,0,0,0,5,1
8,LVR,Zamir White,WhitZa01,2022-11-06,2022,9,REG,0,1,-1,0,0,0,0,0,1,5
9,LVR,Zamir White,WhitZa01,2022-11-13,2022,10,REG,0,2,-1,0,0,0,0,0,2,5
0,LVR,Zamir White,WhitZa01,2022-11-20,2022,11,DNP,0,0,0,0,0,0,0,0,0,0
10,LVR,Zamir White,WhitZa01,2022-11-27,2022,12,REG,0,2,28,0,0,0,0,0,3,8
11,LVR,Zamir White,WhitZa01,2022-12-04,2022,13,REG,0,2,6,0,0,0,0,0,4,5
12,LVR,Zamir White,WhitZa01,2022-12-08,2022,14,REG,0,3,9,0,0,0,0,0,3,0
13,LVR,Zamir White,WhitZa01,2022-12-18,2022,15,REG,0,1,4,0,0,0,0,0,3,6
0,LVR,Zamir White,WhitZa01,2022-12-24,2022,16,DNP,0,0,0,0,0,0,0,0,0,0
0,LVR,Zamir White,WhitZa01,2023-01-01,2022,17,DNP,0,0,0,0,0,0,0,0,0,0
14,LVR,Zamir White,WhitZa01,2023-01-07,2022,18,REG,0,1,4,0,0,0,0,0,2,0
15,LVR,Zamir White,WhitZa01,2023-09-10,2023,1,REG,0,1,2,0,1,1,5,0,5,0
16,LVR,Zamir White,WhitZa01,2023-09-17,2023,2,REG,0,4,22,0,0,0,0,0,6,0
17,LVR,Zamir White,WhitZa01,2023-09-24,2023,3,REG,0,0,0,0,0,0,0,0,1,12
18,LVR,Zamir White,WhitZa01,2023-10-01,2023,4,REG,0,3,15,0,0,0,0,0,7,4
19,LVR,Zamir White,WhitZa01,2023-10-09,2023,5,REG,0,0,0,0,0,0,0,0,0,8
20,LVR,Zamir White,WhitZa01,2023-10-15,2023,6,REG,0,2,2,0,2,2,7,0,4,11
21,LVR,Zamir White,WhitZa01,2023-10-22,2023,7,REG,0,2,2,0,3,3,26,0,14,1
22,LVR,Zamir White,WhitZa01,2023-10-30,2023,8,REG,0,0,0,0,0,0,0,0,1,7
23,LVR,Zamir White,WhitZa01,2023-11-05,2023,9,REG,0,4,-2,0,0,0,0,0,5,14
24,LVR,Zamir White,WhitZa01,2023-11-12,2023,10,REG,0,1,5,0,0,0,0,0,1,10
25,LVR,Zamir White,WhitZa01,2023-11-19,2023,11,REG,0,0,0,0,0,0,0,0,0,11
26,LVR,Zamir White,WhitZa01,2023-11-26,2023,12,REG,0,1,0,0,0,0,0,0,2,17
0,LVR,Zamir White,WhitZa01,,2023,13,BYE,0,0,0,0,0,0,0,0,0,0
27,LVR,Zamir White,WhitZa01,2023-12-10,2023,14,REG,0,2,8,0,0,0,0,0,5,11
28,LVR,Zamir White,WhitZa01,2023-12-14,2023,15,REG,1,17,69,1,4,3,16,0,45,0
29,LVR,Zamir White,WhitZa01,2023-12-25,2023,16,REG,1,22,145,0,1,0,0,0,42,0
30,LVR,Zamir White,WhitZa01,2023-12-31,2023,17,REG,1,20,71,0,6,5,35,0,43,6
