CarGm,Team,Player,pfr_id,Date,Season,Week,Season_type,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp
0,NYJ,Zonovan Knight,KnigZo00,2022-09-11,2022,1,DNP,0,0,0,0,0,0,0,0,0,0
0,NYJ,Zonovan Knight,KnigZo00,2022-09-18,2022,2,DNP,0,0,0,0,0,0,0,0,0,0
0,NYJ,Zonovan Knight,KnigZo00,2022-09-25,2022,3,DNP,0,0,0,0,0,0,0,0,0,0
0,NYJ,Zonovan Knight,KnigZo00,2022-10-02,2022,4,DNP,0,0,0,0,0,0,0,0,0,0
0,NYJ,Zonovan Knight,KnigZo00,2022-10-09,2022,5,DNP,0,0,0,0,0,0,0,0,0,0
0,NYJ,Zonovan Knight,KnigZo00,2022-10-16,2022,6,DNP,0,0,0,0,0,0,0,0,0,0
0,NYJ,Zonovan Knight,KnigZo00,2022-10-23,2022,7,DNP,0,0,0,0,0,0,0,0,0,0
0,NYJ,Zonovan Knight,KnigZo00,2022-10-30,2022,8,DNP,0,0,0,0,0,0,0,0,0,0
0,NYJ,Zonovan Knight,KnigZo00,2022-11-06,2022,9,DNP,0,0,0,0,0,0,0,0,0,0
0,NYJ,Zonovan Knight,KnigZo00,1970-01-01,2022,10,BYE,0,0,0,0,0,0,0,0,0,0
0,NYJ,Zonovan Knight,KnigZo00,2022-11-20,2022,11,DNP,0,0,0,0,0,0,0,0,0,0
1,NYJ,Zonovan Knight,KnigZo00,2022-11-27,2022,12,REG,0,14,69,0,3,3,34,0,30,12
2,NYJ,Zonovan Knight,KnigZo00,2022-12-04,2022,13,REG,1,15,90,0,5,5,28,0,47,0
3,NYJ,Zonovan Knight,KnigZo00,2022-12-11,2022,14,REG,1,17,71,1,2,2,6,0,35,0
4,NYJ,Zonovan Knight,KnigZo00,2022-12-18,2022,15,REG,1,13,23,0,0,0,0,0,30,0
5,NYJ,Zonovan Knight,KnigZo00,2022-12-22,2022,16,REG,1,6,-2,0,1,1,15,0,24,0
6,NYJ,Zonovan Knight,KnigZo00,2023-01-01,2022,17,REG,0,8,27,0,3,2,17,0,15,0
7,NYJ,Zonovan Knight,KnigZo00,2023-01-08,2022,18,REG,0,12,22,0,0,0,0,0,17,4
0,DET,Zonovan Knight,KnigZo00,2023-09-07,2023,1,DNP,0,0,0,0,0,0,0,0,0,0
0,DET,Zonovan Knight,KnigZo00,2023-09-17,2023,2,DNP,0,0,0,0,0,0,0,0,0,0
8,DET,Zonovan Knight,KnigZo00,2023-09-24,2023,3,REG,0,3,13,0,0,0,0,0,7,7
0,DET,Zonovan Knight,KnigZo00,2023-09-28,2023,4,DNP,0,0,0,0,0,0,0,0,0,0
9,DET,Zonovan Knight,KnigZo00,2023-10-08,2023,5,REG,0,0,0,0,1,1,8,0,2,11
0,DET,Zonovan Knight,KnigZo00,2023-10-15,2023,6,DNP,0,0,0,0,0,0,0,0,0,0
0,DET,Zonovan Knight,KnigZo00,2023-10-22,2023,7,DNP,0,0,0,0,0,0,0,0,0,0
0,DET,Zonovan Knight,KnigZo00,2023-10-30,2023,8,DNP,0,0,0,0,0,0,0,0,0,0
0,DET,Zonovan Knight,KnigZo00,1970-01-01,2023,9,BYE,0,0,0,0,0,0,0,0,0,0
0,DET,Zonovan Knight,KnigZo00,2023-11-12,2023,10,DNP,0,0,0,0,0,0,0,0,0,0
0,DET,Zonovan Knight,KnigZo00,2023-11-19,2023,11,DNP,0,0,0,0,0,0,0,0,0,0
0,DET,Zonovan Knight,KnigZo00,2023-11-23,2023,12,DNP,0,0,0,0,0,0,0,0,0,0
0,DET,Zonovan Knight,KnigZo00,2023-12-03,2023,13,DNP,0,0,0,0,0,0,0,0,0,0
0,DET,Zonovan Knight,KnigZo00,2023-12-10,2023,14,DNP,0,0,0,0,0,0,0,0,0,0
0,DET,Zonovan Knight,KnigZo00,2023-12-16,2023,15,DNP,0,0,0,0,0,0,0,0,0,0
0,DET,Zonovan Knight,KnigZo00,2023-12-24,2023,16,DNP,0,0,0,0,0,0,0,0,0,0
0,DET,Zonovan Knight,KnigZo00,2023-12-30,2023,17,DNP,0,0,0,0,0,0,0,0,0,0
0,DET,Zonovan Knight,KnigZo00,2024-01-07,2023,18,DNP,0,0,0,0,0,0,0,0,0,0
