season,team,position,full_name,height,weight,age,years_exp,pfr_id,gm_log_rtrvd
2024,PIT,RB,Cordarrelle Patterson,74,238,33,11,PattCo00,1
2024,MIA,RB,Raheem Mostert,70,197,32,9,MostRa00,1
2024,LV,RB,Ameer Abdullah,69,203,31,9,AbduAm00,1
2024,BAL,RB,Derrick Henry,75,247,30,8,HenrDe00,1
2024,LAC,RB,Ezekiel Elliott,72,228,29,8,ElliEz00,1
2024,SF,RB,Christian McCaffrey,71,205,28,7,McCaCh01,1
2024,MIN,RB,Aaron Jones,69,208,29,7,JoneAa00,1
2024,SF,RB,Matt Breida,70,190,29,7,BreiMa00,1
2024,KC,RB,Samaje Perine,70,240,28,7,PeriSa00,1
2024,ARI,RB,James Conner,73,233,29,7,ConnJa00,1
2024,NYJ,RB,Tarik Cohen,66,191,29,7,CoheTa00,1
2024,WAS,RB,Austin Ekeler,70,200,29,7,EkelAu00,1
2024,HOU,RB,Dare Ogunbowale,71,205,30,7,OgunDa00,1
2024,DAL,RB,Dalvin Cook,70,210,29,7,CookDa01,1
2024,HOU,RB,Joe Mixon,73,220,28,7,MixoJo00,1
2024,NO,RB,Alvin Kamara,70,215,29,7,KamaAl00,1
2024,KC,RB,Kareem Hunt,71,216,29,7,HuntKa00,1
2024,CLE,RB,D'Onta Foreman,73,233,28,7,ForeDO00,1
2024,NO,RB,Jamaal Williams,72,213,29,7,WillJa06,1
2024,WAS,RB,Jeremy McNichols,69,205,28,7,McNiJe00,1
2024,MIA,RB,Jeff Wilson,72,194,28,6,WilsJe01,1
2024,LAC,RB,Gus Edwards,73,238,29,6,EdwaGu00,1
2024,CAR,RB,Mike Boone,70,205,29,6,BoonMi00,1
2024,CLE,RB,Nyheim Hines,69,198,27,6,HineNy00,1
2024,PIT,RB,Boston Scott,66,203,29,6,ScotBo02,1
2024,TB,RB,Chase Edmonds,69,210,28,6,EdmoCh00,1
2024,CAR,RB,Rashaad Penny,71,220,28,6,PennRa00,1
2024,CLE,RB,Nick Chubb,71,225,28,6,ChubNi00,1
2024,CLE,RB,John Kelly,70,205,27,6,KellJo00,2
2024,LA,RB,Royce Freeman,72,238,28,6,FreeRo00,1
2024,PHI,RB,Saquon Barkley,72,233,27,6,BarkSa00,1
2024,LV,RB,Alexander Mattison,71,220,26,5,MattAl01,1
2024,BAL,RB,Justice Hill,70,200,26,5,HillJu00,1
2024,CAR,RB,Miles Sanders,71,211,27,5,SandMi01,1
2024,NYG,RB,Devin Singletary,67,203,27,5,SingDe00,1
2024,TEN,RB,Tony Pollard,72,209,27,5,PollTo00,1
2024,CIN,RB,Trayveon Williams,68,206,26,5,WillTr06,2
2024,JAX,RB,Myles Gaskin,70,200,27,5,GaskMy00,1
2024,BUF,RB,Ty Johnson,70,210,26,5,JohnTy02,1
2024,DET,RB,Craig Reynolds,71,215,28,5,ReynCr00,1
2024,CHI,RB,Travis Homer,70,202,26,5,HomeTr00,1
2024,JAX,RB,D'Ernest Johnson,70,208,28,5,JohnDE04,1
2024,DET,RB,David Montgomery,71,222,27,5,MontDa01,1
2024,GB,RB,Josh Jacobs,70,220,26,5,JacoJo01,1
2024,NE,RB,JaMycal Hasty,68,205,28,4,HastJa02,1
2024,NO,RB,James Robinson,70,220,26,4,RobiJa00,1
2024,ARI,RB,Tony Jones,71,225,26,4,JoneTo04,2
2024,PIT,RB,Jonathan Ward,72,202,26,4,WardJo00,2
2024,SF,RB,Patrick Taylor,73,223,26,4,TaylPa01,1
2024,IND,RB,Salvon Ahmed,71,196,25,4,AhmeSa01,1
2024,HOU,RB,J.J. Taylor,66,185,26,4,TaylJJ01,2
2024,DAL,RB,Rico Dowdle,72,215,26,4,DowdRi01,1
2024,LAC,RB,J.K. Dobbins,70,214,25,4,DobbJK00,1
2024,IND,RB,Jonathan Taylor,70,221,25,4,TaylJo02,1
2024,CIN,RB,Zack Moss,70,215,26,4,MossZa00,1
2024,GB,RB,AJ Dillon,72,250,26,4,DillAJ00,1
2024,PIT,RB,La'Mical Perine,71,220,26,4,PeriLa00,2
2024,CHI,RB,D'Andre Swift,69,211,25,4,SwifDA00,1
2024,CHI,RB,Darrynton Evans,70,200,26,4,EvanDa02,2
2024,NE,RB,Antonio Gibson,72,221,26,4,GibsAn00,1
2024,MIA,RB,Anthony McFarland,69,198,26,4,McFaAn00,2
2024,NO,RB,Clyde Edwards-Helaire,67,209,25,4,EdwaCl00,1
